source_path,source_relative,size_bytes,modified_time,export_path
C:\Users\clive\Documents\Cosmology\quaia_G20p0_nside64_zdipole_zdipole_model.png,quaia_G20p0_nside64_zdipole_zdipole_model.png,434055,2025-11-20T23:15:14,github_export/results/2026-07-14/skymap/figures/quaia_G20p0_nside64_zdipole_zdipole_model.png
C:\Users\clive\Documents\Cosmology\quaia_G20p0_nside64_zdipole_zmean.png,quaia_G20p0_nside64_zdipole_zmean.png,213716,2025-11-20T23:15:12,github_export/results/2026-07-14/skymap/figures/quaia_G20p0_nside64_zdipole_zmean.png
C:\Users\clive\Documents\Cosmology\quaia_G20p0_nside64_zdipole_zresidual.png,quaia_G20p0_nside64_zdipole_zresidual.png,223809,2025-11-20T23:15:14,github_export/results/2026-07-14/skymap/figures/quaia_G20p0_nside64_zdipole_zresidual.png
C:\Users\clive\Documents\Cosmology\quaia_G20p0_random_mocks_dipole_hist.png,quaia_G20p0_random_mocks_dipole_hist.png,44233,2025-11-21T08:56:50,github_export/results/2026-07-14/skymap/figures/quaia_G20p0_random_mocks_dipole_hist.png
C:\Users\clive\Documents\Cosmology\SM_RBAO_demo.png,SM_RBAO_demo.png,1180236,2025-10-29T10:19:18,github_export/results/2026-07-14/skymap/figures/SM_RBAO_demo.png
