run_label,frame,frame_z_map,datasets,random_mode,prior_config,dataset_sigma_mag,survey_sigma_mag,model,N,k_base,k_random,dof_base,dof_nominal,H0,beta,H0_minus_67p5,beta_minus_0p5,raw_chi2_no_offsets,data_chi2_map,prior_chi2,posterior_objective,logdet_random_effect,marginal_score,chi2_dof_base,chi2_dof_nominal,AIC_random_marginal_base,BIC_random_marginal_base,success,method,random_effect_note
joint_des_pantheon_union31_HD_dataset_moderate_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,moderate,0.05,0.0,FR_BETA05_H0free,3422,1,3,3421,3418,68.86097116471534,0.5,1.3609711647153375,0.0,3760.75916215609,3150.171178930258,3.855054508454497,3154.0262334387126,14.934915025536267,3168.9611484642487,0.920833434355527,0.9216416556261726,3170.9611484642487,3177.099128918701,True,minimize_H0,"3 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.02 mag"
joint_des_pantheon_union31_HD_dataset_moderate_FR_BETAfree_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,moderate,0.05,0.0,FR_BETAfree_H0free,3422,2,3,3420,3417,69.80571529665752,0.5431892115208309,2.3057152966575245,0.043189211520830884,3568.496526528868,3128.87552636785,2.8434132912815273,3131.7189396591316,14.934915025536267,3146.6538546846677,0.9148758849028801,0.9156791121942786,3150.6538546846677,3162.929815593572,True,L-BFGS-B,"3 Gaussian calibration offsets; dataset sigma=0.05 mag, survey sigma=0.02 mag"
joint_des_pantheon_union31_HD_dataset_loose_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,loose,0.1,0.0,FR_BETA05_H0fixed675,3422,0,3,3422,3419,67.5,0.5,0.0,0.0,4227.901691317376,3150.1476735890537,1.534270720418525,3151.6819443094723,19.07794816011443,3170.7598924695867,0.9205574732872747,0.9213652160248768,3170.7598924695867,3170.7598924695867,True,fixed,"3 Gaussian calibration offsets; dataset sigma=0.1 mag, survey sigma=0.05 mag"
joint_des_pantheon_union31_HD_dataset_loose_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,loose,0.1,0.0,FR_BETAfree_H0fixed675,3422,1,3,3421,3418,67.5,0.541272701511485,0.0,0.04127270151148499,4686.05587886116,3128.8623549852305,2.2610245314690696,3131.1233795166995,19.07794816011443,3150.201327676814,0.9146046053742269,0.9154073595626772,3152.201327676814,3158.339308131266,True,minimize_beta,"3 Gaussian calibration offsets; dataset sigma=0.1 mag, survey sigma=0.05 mag"
joint_des_pantheon_union31_HD_dataset_loose_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,loose,0.1,0.0,FR_BETA05_H0free,3422,1,3,3421,3418,68.85943485474424,0.5,1.3594348547442365,0.0,3760.9112983741716,3150.1471033149587,0.9734085702223666,3151.1205118851813,19.07794816011443,3170.1984600452956,0.9208263967597073,0.921634611853411,3172.1984600452956,3178.336440499748,True,minimize_H0,"3 Gaussian calibration offsets; dataset sigma=0.1 mag, survey sigma=0.05 mag"
joint_des_pantheon_union31_HD_dataset_loose_FR_BETAfree_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,loose,0.1,0.0,FR_BETAfree_H0free,3422,2,3,3420,3417,69.78968842313597,0.5425236313249614,2.2896884231359707,0.0425236313249614,3570.936107586993,3128.848616669581,0.7216425188524999,3129.5702591884337,19.07794816011443,3148.648207348548,0.914868016570053,0.9156712369533454,3152.648207348548,3164.9241682574525,True,L-BFGS-B,"3 Gaussian calibration offsets; dataset sigma=0.1 mag, survey sigma=0.05 mag"
joint_des_pantheon_union31_HD_dataset_very_loose_FR_BETA05_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,very_loose,0.2,0.0,FR_BETA05_H0fixed675,3422,0,3,3422,3419,67.5,0.5,0.0,0.0,4227.901691317376,3150.1456181246594,0.38439013054078675,3150.5300082552003,23.2328550773391,3173.7628633325394,0.920556872625558,0.9213646148361098,3173.7628633325394,3173.7628633325394,True,fixed,"3 Gaussian calibration offsets; dataset sigma=0.2 mag, survey sigma=0.1 mag"
joint_des_pantheon_union31_HD_dataset_very_loose_FR_BETAfree_H0fixed675,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,very_loose,0.2,0.0,FR_BETAfree_H0fixed675,3422,1,3,3421,3418,67.5,0.5420397927856048,0.0,0.04203979278560477,4697.71220881864,3128.8477862796844,0.5711001890184118,3129.418886468703,23.2328550773391,3152.651741546042,0.9146003467640118,0.9154030972146532,3154.651741546042,3160.7897220004943,True,minimize_beta,"3 Gaussian calibration offsets; dataset sigma=0.2 mag, survey sigma=0.1 mag"
joint_des_pantheon_union31_HD_dataset_very_loose_FR_BETA05_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,very_loose,0.2,0.0,FR_BETA05_H0free,3422,1,3,3421,3418,68.85905243733397,0.5,1.3590524373339719,0.0,3760.949297256844,3150.1455824470295,0.24396072232308802,3150.3895431693527,23.2328550773391,3173.622398246692,0.9208259521914731,0.9216341668949765,3175.622398246692,3181.760378701144,True,minimize_H0,"3 Gaussian calibration offsets; dataset sigma=0.2 mag, survey sigma=0.1 mag"
joint_des_pantheon_union31_HD_dataset_very_loose_FR_BETAfree_H0free,HD,"{""DES_Dovekie_raw"": ""zHD"", ""PantheonPlusSH0ES"": ""zHD"", ""Union3p1_UNITY1p8"": ""z""}",PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset,very_loose,0.2,0.0,FR_BETAfree_H0free,3422,2,3,3420,3417,69.78526241050959,0.5423561808238949,2.2852624105095884,0.04235618082389492,3571.588612518596,3128.84690876475,0.18109392215788273,3129.0280026869077,23.2328550773391,3152.260857764247,0.9148675171826754,0.9156707371275241,3156.260857764247,3168.536818673151,True,L-BFGS-B,"3 Gaussian calibration offsets; dataset sigma=0.2 mag, survey sigma=0.1 mag"
