galaxy,stratum,distance_method,median_inclination_deg,n_points,selection_hash,stratum_population,stratum_pilot_allocation,selected
NGC3949,non_hubble__low_inc,4,55.0,7,092ea258755bb0978375e3bdcd4142a5b5c7975591fc8ee15dc51688424f823d,24,4,True
NGC3953,non_hubble__high_inc,4,62.0,8,ae3ee2e8916e3d7365c0b61607e5d9cac684328824a57c9a1fe2538461993ad1,47,7,False
NGC3972,non_hubble__high_inc,4,77.0,10,ea460e6213ca7071d2e5a8204bf2ff89511f2a513a48c37c6f2acfbc38487bb3,47,7,False
NGC3992,non_hubble__low_inc,5,56.0,9,f772c254c56541c3374d7506d4e5a3d535cd22799ce0a22126c052f1244a03d2,24,4,False
NGC4010,non_hubble__high_inc,4,89.0,12,84e4037db80c59b429f7c2bcff6acb69dc63b2ee151213f27726352235317032,47,7,False
NGC4013,non_hubble__high_inc,4,89.0,36,1bf3fc9e2ded35117ccb98ad880fb4620e6260ae7ba764a5d7854f9043cb24e5,47,7,True
NGC4051,non_hubble__low_inc,4,49.0,7,c409be9badf64a4312242439e99934ccdf902857b636d6a97c0d7c41f8b96c16,24,4,False
NGC4068,non_hubble__low_inc,2,44.0,6,97a9244781ddcb17933b193912bd00c7f242efef6395fddb9411245503e0d162,24,4,False
NGC4085,non_hubble__high_inc,4,82.0,7,53a4a28144259f66f755bfd436aac31ba5efa8357c45a01c601982ac922f3e58,47,7,False
NGC4088,non_hubble__high_inc,4,69.0,12,c7d066d8f0e6f65cc1cf8d6062bdd60ae4bd861ec6a6d423eb5dca5d74257ca4,47,7,False
NGC4100,non_hubble__high_inc,4,73.0,24,836448a4b0f6272fcfc05975253cf70c73ee19eb3acf796fd6ebf498d61ac07c,47,7,False
NGC4138,non_hubble__low_inc,4,53.0,7,37ffedaddd696eb90eaeb1dcae05ec735d524f7bf4a04f97147ffbcfb09c4593,24,4,False
NGC4157,non_hubble__high_inc,4,82.0,17,1e1ab53b45d38d01db028f25a6d9fa8d5c68ac5a4cec7dfcaa657067c1ad214d,47,7,True
NGC4183,non_hubble__high_inc,4,82.0,23,00c1e2d1655c0a6001edda032b9eb92b57dcae93dff0da88068b5d0a4a93a398,47,7,True
NGC4214,non_hubble__low_inc,2,15.0,14,9824712860bc716b5b0e3308488eaf34c9d2aa70533f3b71fe237372d4ecae87,24,4,False
NGC4217,non_hubble__high_inc,4,86.0,19,15a684ca609bd5c86c4084d18bd6a13d3269e8cb96487d80ad1363df5c850424,47,7,True
NGC4559,hubble__high_inc,1,67.0,32,221d9a6a852499429c5112318a54eb413a4ab9a4eb83f7e95f48e9029142d56d,36,5,False
NGC5005,non_hubble__high_inc,5,68.0,18,5c2f2ad46faa709c267d3779767cc45cf13a42c0f2fa6846098f988ce75a4d07,47,7,False
NGC5033,hubble__high_inc,1,66.0,22,cf6b9941623ca6a2a058ee80745757a7c8787ab26ad7bef57f4aa092b69e8693,36,5,False
NGC5055,non_hubble__low_inc,2,55.0,28,063b2bbb4527a423e947023e0986fe9bbcf10d08e104cb436bc30a7df80b61e3,24,4,True
NGC5371,hubble__low_inc,1,53.0,19,5def576a8e16d0642cc1a4de0c128bab1400071bd3678be557fe7915fc356418,50,8,False
NGC5585,hubble__low_inc,1,51.0,24,9432a2db810406883d7434a0ae70e903a208381d1cda4f0ae941c9c5398da313,50,8,False
NGC5907,non_hubble__high_inc,2,88.0,19,c166c5d052a159b0a6ec245370852456f7f3aded3b5e8601127cbc0053c08ca0,47,7,False
NGC6015,hubble__high_inc,1,60.0,44,462fc4820d95cf0f23af718c18cf44ee72975f2473209c75fc42194e3b3388d6,36,5,False
NGC6195,hubble__high_inc,1,62.0,23,ff215e468a6e404f4b4d35ab7907f86d5e7f6a7878bac7f9b44c19b6582ef2af,36,5,False
NGC6503,non_hubble__high_inc,2,74.0,31,918b956e42e1470a921068ebaf2668f0c697ad0968d941ba421afd63131ae0df,47,7,False
NGC6674,hubble__low_inc,1,54.0,15,fec423f368d523561afe93a5e463fd488a22d2aa7e55ae6cd926c648e0b2b9b4,50,8,False
NGC6789,non_hubble__low_inc,2,43.0,4,ca7bbf5a59346920a3d6fd54545cf2ab3aab820c59fb9791e0cd963b7d82871b,24,4,False
NGC6946,non_hubble__low_inc,2,38.0,58,89e622a43ff466e7cde6d1a5d46b57984802662b76ddc579b25000bf662c1d11,24,4,False
NGC7331,non_hubble__high_inc,3,75.0,36,035e5fc73ad7a995e04130cc8d66a4e00960b09b2fd86436026ec5d7d4695d14,47,7,True
NGC7793,non_hubble__low_inc,2,47.0,46,e96a9ec62628e3426700cffbabc5bf21384a5218e453ce8f49743ba85308aa6a,24,4,False
NGC7814,non_hubble__high_inc,2,90.0,18,367d99d6f280d91b5b44e6478b25c1043053f291689c88ff15cf39a1ba0d6c22,47,7,False
UGC00128,hubble__low_inc,1,57.0,22,3708a7c8d6efc67789033bae936a13621a31f481dc98b0c5e41cda0f40118af6,50,8,False
UGC00191,hubble__low_inc,1,45.0,9,197b4996412e870f52a122c321c7dbb3b3b9c5f946165c588ab00358701c6859,50,8,False
