parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_ydisk,-0.540987515402812,0.07211840132935017,-0.6720374808637597,-0.40443513710084167,0.002676436708895506,0.0014322456721839124,730.3147379192511,1213.3214797154235,1.0051724462414326
log_ybul,-2.410917630334376,0.19344424649883196,-2.7628288862150683,-2.0284145153846707,0.004266935389389097,0.0032270984213293827,2081.126168837323,1556.9084663922004,1.002846044123803
logd[0],-0.05103843437431829,0.03467379930517128,-0.11220586296450827,0.017828237377626288,0.0005047481174669679,0.0005882956358317145,4827.355319303244,2632.709625401328,1.0002798383096905
logd[1],-0.44343018884016955,0.03321837139795352,-0.5077496674617051,-0.38307932491585484,0.0005028670411735465,0.00045095308758281863,4363.451915407217,3376.329642391932,1.000741623249193
logd[2],0.327352247340123,0.04698781978549784,0.24550570527412424,0.3974202186052088,0.0007497814217135235,0.0007501885593538372,3384.2767945553423,2495.8361499143753,1.0002102273964182
logd[3],0.4182610761806322,0.06254550331049623,0.30120447711098597,0.5335101240803823,0.0014836618395360091,0.0011399085696976498,1771.7258050647881,2099.9861784036893,1.0026617181690616
logd[4],0.3661083708982124,0.0756859281439347,0.23157007755706424,0.5121852044109174,0.0011666065076386572,0.0011604404352290967,3966.632177791482,2008.019959576576,1.0029657167924093
logd[5],0.33266519119981464,0.06998702896428227,0.20115292618269034,0.46322808250290104,0.0011048664927554505,0.0010374556558587565,3908.862530419485,2464.8312214525595,1.000522547738508
logd[6],0.6739986072199535,0.05122093418972578,0.5773566433004121,0.7677502729455182,0.0013716968916856224,0.000770420620722331,1392.5311973215694,2614.1949000967315,1.0015236634951854
logd[7],-0.5919004006145263,0.07844941961779409,-0.7433796150347318,-0.4461001748315647,0.0011157128477614876,0.0014028803961039715,5088.2042777079405,2471.424924371234,1.0012942893980652
logd[8],0.05846943401676048,0.042078612800093666,-0.016439913405208045,0.14066012864986852,0.0005950555082195469,0.0008081388951783268,4937.323626825991,2017.4934815923118,1.0018553986530119
