model,max_abs_prediction_difference_kms,max_relative_prediction_difference,graph_chi2_data,legacy_chi2_data,chi2_data_absolute_difference,legacy_chi2_prior,legacy_total_objective,pass
RAR,5.684341886080802e-14,4.495940088017846e-16,6555.727596441311,6555.727596441311,0.0,0.0,6555.727596441311,True
PLAMB_OPTICAL_DEPTH_KAPPA_P,8.526512829121202e-14,4.928223349444815e-16,14226.302663020717,14226.302663020719,1.8189894035458565e-12,0.0,14226.302663020719,True
