model,status,ready_for_full_run,likelihood_equivalence_pass,max_rhat,rhat_target,rhat_absolute_ceiling,strict_rhat_pass,ceiling_rhat_pass,min_bulk_ess,min_tail_ess,minimum_ess_required,ess_pass,divergences,divergence_pass,minimum_bfmi,minimum_bfmi_required,energy_pass,maximum_tree_depth_observed,configured_max_tree_depth,max_tree_depth_hits,elapsed_seconds,chains,tune_per_chain,draws_per_chain,compile_seconds
RAR,PASS,True,True,1.0073805561390534,1.01,1.05,True,True,816.1615161493096,1193.3993049844955,400.0,True,0,True,0.8344561892727336,0.3,True,7,12,0,22.15820950001944,4,1000,1000,48.753049799997825
PLAMB_OPTICAL_DEPTH_KAPPA_P,PASS,True,True,1.0055058340940162,1.01,1.05,True,True,730.3147379192511,1194.663658093732,400.0,True,0,True,0.8624196852849736,0.3,True,8,12,0,28.439317500015022,4,1000,1000,56.13034740000148
