parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_ydisk,-0.65489859757899,0.07520300670156173,-0.7987052524074486,-0.5154952406331191,0.0026334696568542986,0.001578302356544107,816.1615161493096,1193.3993049844955,1.0039661929761243
log_ybul,-2.4541193961094407,0.19077331569993294,-2.830563380968356,-2.105265467955046,0.003464966424338087,0.0030795387280531197,2902.951507218308,1862.9309171089933,1.0021087972260962
logd[0],-0.025648187082565936,0.03569075556909792,-0.09395896528457895,0.03914453271562686,0.0005007253094365119,0.0005482668201598475,5113.387472810241,2717.8356123971344,1.0001496073533631
logd[1],-0.43166629296044357,0.03300841445885571,-0.4949827316527315,-0.37060508110213486,0.000575552229301006,0.0004200080353657114,3282.508114368318,3287.209498133567,1.0001575381887267
logd[2],0.321724480731571,0.04897046223821283,0.23721659640502807,0.39744707800171547,0.0007407442475903372,0.0007106663463742173,3538.4336082918862,1967.012671259299,1.0011234603182526
logd[3],0.350365653987131,0.07608143806010934,0.20529236617111793,0.4858247739643806,0.0019010054794708533,0.001477812355289676,1619.056487721851,1942.843461297612,1.0022052848073615
logd[4],0.3362914204083179,0.07977332382935559,0.1988408533287623,0.4959646708746758,0.0012271326522597928,0.001419453033696793,4111.732507658233,1977.4300644799769,1.004984313370749
logd[5],0.31181749725184726,0.07258512707449005,0.16980572697443985,0.4401986684699088,0.0014196080269825982,0.0011226984968069674,2549.461922775733,2404.1935770390446,1.0026347408246543
logd[6],0.6588390245296134,0.05951807436434838,0.5466506906809375,0.7704290058620655,0.001604130919383325,0.0008083388434731995,1368.2121227014688,2266.5187763279523,1.0019822005650365
logd[7],-0.5914007918308981,0.07802970598234069,-0.7454858926368981,-0.4494215838375754,0.0010900984925739869,0.0012553843935884817,5214.407013607425,3263.377859692499,0.9999851384950886
logd[8],0.06344960173762706,0.04332246161946683,-0.02208841368793626,0.14003276420093735,0.0006244400062814039,0.0007906738582360508,4741.12298290672,2127.5732849993474,0.9997662817067202
logd[9],-0.20702939659044534,0.06939799964380505,-0.3431704772822895,-0.08632640963629476,0.0014845089118198935,0.001217491357455189,2192.4745882981842,1795.191408408059,1.0016055755174504
logd[10],-0.017911775708380387,0.10818033859540746,-0.22150943318909785,0.17844204731178365,0.0018195856948863443,0.0016730342339083678,3539.5796563494982,2829.930087747179,1.0006255466684995
logd[11],0.20013656598137863,0.06642653753881286,0.07561379057387407,0.3265414949910338,0.0014300300654378098,0.0011377023946913334,2150.692089973883,2064.217524837966,1.001818612619059
logd[12],-0.042275077148099464,0.07935148504187713,-0.1839254932667018,0.10963117880097431,0.001512475184657312,0.0012491798771056576,2748.254573623097,2623.561928230935,1.0011893186516687
logd[13],-0.21195717222588425,0.07633269469015784,-0.37070018039808683,-0.08102840946236183,0.001437692176002044,0.001463007878316709,2922.5881784280305,1833.2051381983624,1.002358505473144
logd[14],0.35605324257081844,0.0914037765714273,0.19637831363518402,0.5326087272031084,0.0020209699942132712,0.0015378591099997681,1807.7469732585284,1316.1206200024817,0.9999597751844476
logd[15],-0.08163189706848309,0.022599550338206698,-0.12117974051600126,-0.04465860641465421,0.00044595566081878527,0.00032443781376550774,2253.2597634332938,1792.9706476816493,1.0012203903161987
logd[16],0.1759931263937768,0.0419128463314059,0.0957098163662596,0.25130648880679984,0.0010339090979599483,0.0006259166019056148,1634.7306258629753,2236.2821520175034,1.001641002103827
logd[17],-0.05126139371417531,0.04544192204164564,-0.1420338130411959,0.0281781608388764,0.0007350594925693417,0.0006263748002886265,3804.7973760351792,3012.0586674730357,1.000624562165552
logd[18],-0.26346779995925884,0.1750690519230031,-0.5905423788199178,0.0656806577173181,0.00231211444397132,0.0026287940237701164,5683.58138003758,2457.590697887366,0.9998066584667186
logd[19],-0.2215459154567926,0.1017997112473847,-0.40429344533422595,-0.02832728277699763,0.0013929276692256044,0.0015354622967138586,5423.239189557792,3085.822624906809,1.0001160896420997
logd[20],0.34515891313696884,0.05952080130098605,0.23259645196650966,0.45374852523212755,0.0009463580896706575,0.0009476014847558959,3992.6544427683857,2678.561192445176,1.0021184244159707
logd[21],-0.09086251338736105,0.07588776640667307,-0.23210834337792358,0.0511091544797206,0.001024210144518651,0.0011286331209875522,5508.259365103274,2896.194827644709,1.0006185627058608
logd[22],0.33485023276867587,0.10582447054067401,0.14558524109229581,0.5354273505841485,0.0014245539387042398,0.001627319436797935,5561.981712382521,3135.8927823392964,1.0017124268370914
logd[23],-0.1164105098250568,0.03856402935462553,-0.18970056596457446,-0.04910068302110688,0.0006018080719852282,0.0005866007364594218,3876.2911884647165,2141.0158706344882,1.001027491058655
logeta[0],-0.2939778254370939,0.20974138602367964,-0.6990544590613152,0.08332804256079163,0.002748209884080539,0.0033155644760175396,5854.358800303601,2909.91127248018,1.0006310509776848
logeta[1],-0.4676705912474414,0.19931977132404666,-0.8435408933174372,-0.09392916875738022,0.0029819283872319926,0.003195811434007772,4389.422086891783,2513.1680763309473,1.002439251426323
logeta[2],0.23637660669411423,0.24667989457055078,-0.22012742337146463,0.7091386029049476,0.0033894802964277563,0.005497431670716501,5270.749822762453,2232.7542302635193,0.999713515832389
logeta[3],0.04780249479285445,0.12904007478248253,-0.17712861559730342,0.302689104324668,0.003663855843176586,0.002601021900944697,1244.1977145114192,1798.8187858937304,1.0023816687317586
logeta[4],0.6043480367269957,0.1810004712295569,0.29626329478487645,0.970929023579665,0.0027960139800626426,0.0033526859481483404,3674.7639590887175,1601.2762441317066,1.0073805561390534
logeta[5],0.775329027721542,0.1359632059300195,0.5453451772000928,0.9997870933422148,0.0022776230840689657,0.0019328076436278296,3160.0578144493134,2095.451331278008,1.0001096986575089
logeta[6],-0.9450856939080033,0.05259331692259318,-0.999995702452572,-0.8472216181162576,0.0007778753810400173,0.0011299926738835035,3714.8136829600194,2514.994379618673,1.0014436309937071
logeta[7],-0.09526550483197001,0.23361776815804375,-0.5321358938647374,0.3521790260099049,0.003009286037327956,0.004164654394129011,6017.158923840623,2594.0724396619044,1.00290240763952
logeta[8],0.22632859030033586,0.12330436594859777,0.0013856252019246451,0.46503980360974806,0.0026621767708297312,0.002172706170890587,2167.3254520949963,1957.9156017454038,1.0023241952368138
logeta[9],0.36347441032043104,0.13679996459159138,0.12004632301954787,0.6221591673282485,0.0033393735316068446,0.0022981812254198523,1686.4011190390631,1614.7795610282076,0.9999523272226007
logeta[10],-0.11090150788208797,0.15749221770622943,-0.4096997759588994,0.17886756185430674,0.0029309784736168128,0.0023765482994907924,2878.9089757430843,2756.2123694623474,1.0006698516006693
logeta[11],-0.22076673361999516,0.12757627702189533,-0.4514993132148497,0.023902841256151275,0.003259352084915699,0.002189586894639979,1547.0694780441015,1904.671096556304,1.0014876133549449
logeta[12],-0.1910771850897416,0.1421795449952559,-0.4468459769157238,0.08123232670952119,0.003159989425480209,0.002301271176540958,2022.604842586174,1941.2384344850248,1.0016114843738424
logeta[13],0.4008910475941753,0.17067360139328652,0.09039737972333395,0.7326643875691874,0.003199545446431085,0.0030537093034951066,2850.3331057322166,1904.69202506564,1.0008551688725869
logeta[14],0.32535586749149187,0.18846586691826206,-0.025179122973869483,0.6719542884908287,0.004032893605694948,0.003062098163766581,2187.4940772373766,2530.786794775059,1.0017462074572783
logeta[15],-0.20733067251263612,0.08084155135195747,-0.3560481658567638,-0.05654469410197005,0.0026004198301673178,0.0015714180360488798,969.4971630839461,1604.4879984294444,1.0034163442811435
logeta[16],-0.4381953392074373,0.09575269534238064,-0.6130006040680146,-0.24623052097865106,0.003115800865390883,0.001875319983947188,945.0424287753938,1470.0153132059856,1.0048683333798747
logeta[17],0.8634339202936867,0.11229720237004324,0.6592394107260007,0.9999878713719799,0.0015922879244374085,0.0019314817761942834,4039.798063576614,2329.5022098596605,1.0007237975198966
logeta[18],-0.13914110982108777,0.23663361957302112,-0.5808871426269017,0.30352335533746455,0.0031878086874093615,0.0038786854667948595,5452.674778215723,3082.7007980638814,0.9998011661073106
