model,label,fit_mode,p,b_perpendicular,b_parallel,delta_b_parallel_minus_perpendicular,q_c0_over_H0rd,sn_chi2,bao_chi2,chi2,N,N_parameters,dof,BIC,goodness_upper_tail,parameter_at_boundary,optimisation_success,optimisation_message
baseline,No ruler evolution,joint_SN_BAO,2.0690531963303904,0.0,0.0,0.0,22.496202524878477,9943.145139865897,2324.859735998671,12268.004875864568,3435,5,3430,12308.71373688785,0.0,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
isotropic,Isotropic ruler power,joint_SN_BAO,1.1759318879621292,1.2769143436506465,1.2769143436506465,0.0,33.938079143260246,3708.1549774903638,2781.446449295896,6489.601426786259,3435,6,3429,6538.452060014198,2.7200387036714347e-192,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
transverse_only,Transverse-only power,joint_SN_BAO,2.0526057141918534,-0.08688711821211065,0.0,0.08688711821211065,21.52426440448853,9775.871599138587,2413.660879575249,12189.532478713836,3435,6,3429,12238.383111941775,0.0,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
radial_only,Radial-only power,joint_SN_BAO,1.448373302757681,0.0,0.8069132887172383,0.8069132887172383,20.47391777536455,4956.22517680848,2728.181159049863,7684.406335858343,3435,6,3429,7733.256969086281,0.0,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
separate,Separate transverse and radial powers,joint_SN_BAO,0.7983187740134093,1.0160786132474313,1.7777459420089659,0.7616673287615345,30.168965100901303,3047.678242941556,14.455506306303848,3062.13374924786,3435,7,3428,3119.1261546804553,0.999997655846249,False,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
