held_z,N_test,N_train,b_perpendicular_train,b_parallel_train,delta_b_train,q_train,conditional_chi2,conditional_p,training_optimisation_success
0.295,1,12,1.0226488528137658,1.7834959816788898,0.760847128865124,30.315265640523112,1.3727236901228008,0.24134446678834315,True
0.51,2,11,1.0179054701604016,1.7755584036675405,0.7576529335071389,30.145801855398773,5.488867731843328,0.06428468439512684,True
0.706,2,11,1.022782202010573,1.7810602841996408,0.7582780821890678,30.321683961328198,4.306497790485621,0.11610632704601402,True
0.934,2,11,1.0122796413232142,1.779382040154255,0.7671023988310408,30.0519682211285,3.7979349641741065,0.1497231312556911,True
1.321,2,11,1.0157280080260715,1.7818272622421134,0.7660992542160419,30.158350652590983,1.8151439867698018,0.4035027429568214,True
1.484,2,11,1.0187868859191813,1.7793325658122934,0.7605456798931121,30.18784991859887,1.005328264310121,0.6049169324249071,True
2.33,2,11,0.992065978020719,1.7524233893898837,0.7603574113691647,29.75923156873685,12.74035890618076,0.0017118520008683078,True
