model,dimension,rank,condition_number,minimum_bound_fraction,central_hessian_available,boundary_fractions,standard_errors,correlation
P_FREE,1,1.0,1.0,0.149146461906466,True,"{""p"": 0.149146461906466}","{""p"": 0.014315212196081053}",[[1.0000000000000002]]
ALPHA_FREE,1,1.0,1.0,0.2688024505571706,True,"{""alpha"": 0.2688024505571706}","{""alpha"": 0.008690961740340291}",[[1.0]]
GAMMA_FREE,1,1.0,1.0,0.4577004942534396,True,"{""gamma_c"": 0.4577004942534396}","{""gamma_c"": 0.018560912027650804}",[[1.0]]
PATH_FREE,2,,,0.0,False,"{""gamma_c"": 0.0, ""p"": 0.3760639253863456}",{},[]
P_ALPHA_FREE,2,2.0,1863.609575559605,0.16666665018049764,True,"{""alpha"": 0.17953187234738588, ""p"": 0.16666665018049764}","{""alpha"": 0.15030527347831216, ""p"": 0.30010759674777304}","[[1.0000000000000002, 0.9983269046011815], [0.9983269046011807, 1.0]]"
GENERAL_FREE,3,3.0,44610.39022753036,0.0840055535140447,True,"{""alpha"": 0.39921711219207856, ""gamma_c"": 0.0840055535140447, ""p"": 0.24890611894848166}","{""alpha"": 0.8039133640865544, ""gamma_c"": 0.3641653734071752, ""p"": 1.281246957077325}","[[1.0, -0.8859850303003879, -0.9169279778322711], [-0.8859850303005102, 0.9999999999999999, 0.9973628192757505], [-0.9169279778323765, 0.9973628192757317, 1.0]]"
LCDM,1,1.0,1.0,0.4896734162811523,True,"{""Omega_m"": 0.4896734162811523}","{""Omega_m"": 0.010542370306413603}",[[1.0]]
