model,label,N,chi2,N_shape_parameters,N_release_intercepts,N_parameters,BIC,parameters,offsets,optimisation_method,optimisation_success,delta_BIC_vs_LCDM
PETER_FIXED,Peter fixed,3422,3150.1454807797263,0,3,3,3174.559422143083,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 0.0}","{""DES_Dovekie_raw"": 0.00786567469860942, ""PantheonPlusSH0ES"": -0.12290424566399825, ""Union3p1_UNITY1p8"": -0.014807847306313019}",analytic,True,94.34498313933909
FRACTIONAL_FIXED,Fractional clock fixed,3422,8081.254480505638,0,3,3,8105.668421868994,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": 1.0}","{""DES_Dovekie_raw"": 0.4208831646304164, ""PantheonPlusSH0ES"": 0.09197648348550522, ""Union3p1_UNITY1p8"": 0.5538505633241977}",analytic,True,5025.4539828652505
P_FREE,Clock power free,3422,3136.7218881503654,1,3,4,3169.273809968174,"{""alpha"": 0.0, ""gamma_c"": 1.0, ""p"": -0.05256061428060205}","{""DES_Dovekie_raw"": -0.0145619207429843, ""PantheonPlusSH0ES"": -0.1344954730509133, ""Union3p1_UNITY1p8"": -0.04599985315738362}",bounded_scalar,True,89.0593709644304
ALPHA_FREE,Flux exponent free,3422,3131.4234382389773,1,3,4,3163.975360056786,"{""alpha"": 0.037604901114341276, ""gamma_c"": 1.0, ""p"": 0.0}","{""DES_Dovekie_raw"": -0.020192525499171124, ""PantheonPlusSH0ES"": -0.13782213896404993, ""Union3p1_UNITY1p8"": -0.051928002024118444}",analytic,True,83.76092105304224
GAMMA_FREE,Light-speed coefficient free,3422,3128.8467936957427,1,3,4,3161.3987155135515,"{""alpha"": 0.0, ""gamma_c"": 1.0845990114931208, ""p"": 0.0}","{""DES_Dovekie_raw"": -0.022895303471836354, ""PantheonPlusSH0ES"": -0.13936353880400962, ""Union3p1_UNITY1p8"": -0.05456309439372443}",bounded_scalar,True,81.18427650980766
PATH_FREE,Path law free,3422,3052.869588597891,2,3,5,3093.5594908701514,"{""alpha"": 0.0, ""gamma_c"": 2.0, ""p"": 0.6281917761590368}","{""DES_Dovekie_raw"": -0.05222438229805035, ""PantheonPlusSH0ES"": -0.16396200809611622, ""Union3p1_UNITY1p8"": -0.05488708858868956}",two_seed_DE_plus_L-BFGS-B,True,13.34505186640763
P_ALPHA_FREE,Clock power and flux exponent free,3422,3063.499775016859,2,3,5,3104.1896772891196,"{""alpha"": 1.1409362553052282, ""gamma_c"": 1.0, ""p"": 2.000000049458507}","{""DES_Dovekie_raw"": -0.04391736658894559, ""PantheonPlusSH0ES"": -0.15672559137141576, ""Union3p1_UNITY1p8"": -0.053281273710501315}",bounded_scalar,True,23.97523828537578
GENERAL_FREE,General clock law,3422,3047.174294578822,3,3,6,3096.0021773055346,"{""alpha"": 0.7015657756158429, ""gamma_c"": 1.8319888929719106, ""p"": 1.753281643154555}","{""DES_Dovekie_raw"": -0.06449765134060248, ""PantheonPlusSH0ES"": -0.173732374218129, ""Union3p1_UNITY1p8"": -0.05819668953523458}",two_seed_DE_plus_L-BFGS-B,True,15.787738301790796
LCDM,Flat Lambda-CDM,3422,3047.662517185935,1,3,4,3080.214439003744,"{""Omega_m"": 0.33067962104536625}","{""DES_Dovekie_raw"": -0.07022422495287793, ""PantheonPlusSH0ES"": -0.17768386167100098, ""Union3p1_UNITY1p8"": -0.055388787883083615}",bounded_scalar,True,0.0
