path,sha256,bytes,role,tracked_in_git
fr_charge_conjugation_derivation.md,9783c2f8016c992fdae81774731779a93aa80343735ce6bb842093c43461bce2,9988,source-audited derivation and claim boundary,True
fr_charge_conjugation_invariance_checks.csv,2b3d6811cf99200ad03010f9dd163a350fe79be57863f85ebe08c4d429cb954b,1416,deterministic synthetic symmetry checks,True
fr_charge_conjugation_rule.json,baaca554cb19dac0f4c23a59b5a1054b0db07d9b8f531890683b1d02187504f0,1514,machine-readable transformation and decision rule,True
fr_charge_conjugation_transformation_matrix.csv,f1c198d1447919a672fe27549de0d2cc5ff77ee347083a6d840372493d7a1e3a,1393,quantity-by-quantity charge-conjugation map,True
github_export/code/sparc/derive_fr_charge_conjugation_rule_2026-07-18.py,7ad2fc1e3ac1c0635d7da0e1ea92bdb2d50ed8db3e7ceec39424d5ce767ca4e6,26045,programme used to generate and verify this bundle,True
