excluded_release,included_releases,N_train,N_test,PATH_gamma_c,PATH_p,PATH_high_z_chi2,LCDM_Omega_m,LCDM_high_z_chi2,delta_chi2_PATH_minus_LCDM,status
NONE,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,2337,1085,1.5249954708090496,0.2467754533317634,1271.8945987935153,0.34551389438231134,949.9663641425384,321.92823465097695,post_hoc_influence_sensitivity
PantheonPlusSH0ES,DES_Dovekie_raw+Union3p1_UNITY1p8,967,875,0.8098599658897233,-0.32383201932735867,1499.8806781785456,0.35857006259954943,821.0118920729367,678.8687861056089,post_hoc_influence_sensitivity
DES_Dovekie_raw,PantheonPlusSH0ES+Union3p1_UNITY1p8,1379,223,1.6361723602766043,0.3208168399515188,403.0361034044438,0.33884417360995206,152.07020305677125,250.96590034767254,post_hoc_influence_sensitivity
Union3p1_UNITY1p8,PantheonPlusSH0ES+DES_Dovekie_raw,2328,1072,1.7290554383273973,0.3926359450019856,972.9465198859888,0.3417759978369944,934.3400877685971,38.606432117391705,post_hoc_influence_sensitivity
