covariance_readout,model,high_z_chi2,training_parameters,LCDM_high_z_chi2,delta_chi2_vs_LCDM
released_conditional,PATH_FREE,1271.8945985651771,"{""alpha"": 0.0, ""gamma_c"": 1.5249954707984887, ""p"": 0.24677545339512924}",949.9663641425384,321.92823442263875
released_marginal,PATH_FREE,1117.5111270026139,"{""alpha"": 0.0, ""gamma_c"": 1.5249954707984887, ""p"": 0.24677545339512924}",934.4726400801117,183.03848692250222
released_conditional,GENERAL_FREE,1267.9698582273018,"{""alpha"": -0.5, ""gamma_c"": 2.050232781349239, ""p"": -0.2256697722779804}",949.9663641425384,318.00349408476336
released_marginal,GENERAL_FREE,1115.6047260061493,"{""alpha"": -0.5, ""gamma_c"": 2.050232781349239, ""p"": -0.2256697722779804}",934.4726400801117,181.1320859260377
released_conditional,LCDM,949.9663641425384,"{""Omega_m"": 0.34551389438231134}",949.9663641425384,0.0
released_marginal,LCDM,934.4726400801117,"{""Omega_m"": 0.34551389438231134}",934.4726400801117,0.0
diagonal_refit,PATH_FREE,984.9368379360515,"{""alpha"": 0.0, ""gamma_c"": 1.6133497099563663, ""p"": 0.319107425368273}",894.3092781887592,90.62755974729225
diagonal_refit,GENERAL_FREE,984.9001529130087,"{""alpha"": -0.49982716072834976, ""gamma_c"": 2.1198567679762084, ""p"": -0.17324579692868242}",894.3092781887592,90.59087472424949
diagonal_refit,LCDM,894.3092781887592,"{""Omega_m"": 0.35559559212140146}",894.3092781887592,0.0
