model,eta10,clock_factor,li_suppression,stellar_depletion,chi2_total,chi2_yD,chi2_Yp,chi2_yLi,chi2_eta_cmb,sigma_yD,sigma_Yp,sigma_yLi,yD,Yp,yLi_bbn,yLi_surface,delta_neff
li_as_lower_bound_cmb,6.12,1.0,1.0,1.0,0.9565049178765208,0.4198579989576115,0.5366469189189093,0.0,0.0,0.08063533716677819,0.00304138126514911,0.7508421938063949,2.4557511637158957,0.24722799999999998,4.72,4.72,0.0
li_production_suppression_cmb,6.12,1.0,0.305,1.0,0.9574960286356442,0.4198579989576115,0.5366469189189093,0.0009911107591234287,0.0,0.08063533716677819,0.00304138126514911,0.3303484275730702,2.4557511637158957,0.24722799999999998,1.4396,1.4396,0.0
li_production_suppression_cmb,6.12,1.0,0.31,1.0,0.958079307367961,0.4198579989576115,0.5366469189189093,0.001574389491440215,0.0,0.08063533716677819,0.00304138126514911,0.33267321863955324,2.4557511637158957,0.24722799999999998,1.4631999999999998,1.4631999999999998,0.0
li_production_suppression_cmb,6.12,1.0,0.3,1.0,0.9672470385867349,0.4198579989576115,0.5366469189189093,0.01074212071021403,0.0,0.08063533716677819,0.00304138126514911,0.32804536271680473,2.4557511637158957,0.24722799999999998,1.416,1.416,0.0
li_production_suppression_cmb,6.12,1.0,0.315,1.0,0.9685707152039631,0.4198579989576115,0.5366469189189093,0.012065797327442252,0.0,0.08063533716677819,0.00304138126514911,0.3350192836240923,2.4557511637158957,0.24722799999999998,1.4868,1.4868,0.0
li_production_suppression_cmb,6.12,1.0,0.295,1.0,0.9877684106561425,0.4198579989576115,0.5366469189189093,0.03126349277962175,0.0,0.08063533716677819,0.00304138126514911,0.3257644848659841,2.4557511637158957,0.24722799999999998,1.3923999999999999,1.3923999999999999,0.0
li_production_suppression_cmb,6.12,1.0,0.32,1.0,0.9885542735187508,0.4198579989576115,0.5366469189189093,0.032049355642229965,0.0,0.08063533716677819,0.00304138126514911,0.33738617873291726,2.4557511637158957,0.24722799999999998,1.5104,1.5104,0.0
li_production_suppression_cmb,6.12,1.0,0.325,1.0,1.0176243970165968,0.4198579989576115,0.5366469189189093,0.06111947914007607,0.0,0.08063533716677819,0.00304138126514911,0.3397734686522772,2.4557511637158957,0.24722799999999998,1.534,1.534,0.0
li_production_suppression_cmb,6.12,1.0,0.29000000000000004,1.0,1.019505806010325,0.4198579989576115,0.5366469189189093,0.06300088813380424,0.0,0.08063533716677819,0.00304138126514911,0.32350626330876503,2.4557511637158957,0.24722799999999998,1.3688,1.3688,0.0
li_production_suppression_cmb,6.12,1.0,0.32999999999999996,1.0,1.0553860555503267,0.4198579989576115,0.5366469189189093,0.09888113767380582,0.0,0.08063533716677819,0.00304138126514911,0.3421807265174355,2.4557511637158957,0.24722799999999998,1.5575999999999997,1.5575999999999997,0.0
li_production_suppression_cmb,6.12,1.0,0.28500000000000003,1.0,1.0629140839928448,0.4198579989576115,0.5366469189189093,0.10640916611632398,0.0,0.08063533716677819,0.00304138126514911,0.3212711758001331,2.4557511637158957,0.24722799999999998,1.3452000000000002,1.3452000000000002,0.0
li_production_suppression_cmb,6.12,1.0,0.33499999999999996,1.0,1.1014548894112057,0.4198579989576115,0.5366469189189093,0.1449499715346849,0.0,0.08063533716677819,0.00304138126514911,0.3446075338700534,2.4557511637158957,0.24722799999999998,1.5811999999999997,1.5811999999999997,0.0
li_production_suppression_cmb,6.12,1.0,0.28,1.0,1.1184568446488066,0.4198579989576115,0.5366469189189093,0.16195192677228568,0.0,0.08063533716677819,0.00304138126514911,0.31905970851864074,2.4557511637158957,0.24722799999999998,1.3216,1.3216,0.0
li_production_suppression_cmb,6.12,1.0,0.33999999999999997,1.0,1.155457281957022,0.4198579989576115,0.5366469189189093,0.19895236408050118,0.0,0.08063533716677819,0.00304138126514911,0.34705348060493496,2.4557511637158957,0.24722799999999998,1.6047999999999998,1.6047999999999998,0.0
li_production_suppression_cmb,6.12,1.0,0.275,1.0,1.186605898783537,0.4198579989576115,0.5366469189189093,0.2301009809070163,0.0,0.08063533716677819,0.00304138126514911,0.3168723560047484,2.4557511637158957,0.24722799999999998,1.298,1.298,0.0
li_production_suppression_cmb,6.12,1.0,0.345,1.0,1.2170303932785236,0.4198579989576115,0.5366469189189093,0.2605254754020028,0.0,0.08063533716677819,0.00304138126514911,0.3495181649070617,2.4557511637158957,0.24722799999999998,1.6283999999999998,1.6283999999999998,0.0
li_production_suppression_cmb,6.12,1.0,0.27,1.0,1.2678406609907127,0.4198579989576115,0.5366469189189093,0.3113357431141919,0.0,0.08063533716677819,0.00304138126514911,0.31470962107949607,2.4557511637158957,0.24722799999999998,1.2744,1.2744,0.0
li_production_suppression_cmb,6.12,1.0,0.35,1.0,1.2858221584298357,0.4198579989576115,0.5366469189189093,0.32931724055331485,0.0,0.08063533716677819,0.00304138126514911,0.3520011931797959,2.4557511637158957,0.24722799999999998,1.652,1.652,0.0
li_production_suppression_cmb,6.12,1.0,0.355,1.0,1.361491253569491,0.4198579989576115,0.5366469189189093,0.4049863356929701,0.0,0.08063533716677819,0.00304138126514911,0.3545021799650885,2.4557511637158957,0.24722799999999998,1.6755999999999998,1.6755999999999998,0.0
li_production_suppression_cmb,6.12,1.0,0.265,1.0,1.3626474611044468,0.4198579989576115,0.5366469189189093,0.406142543227926,0.0,0.08063533716677819,0.00304138126514911,0.31257201474220303,2.4557511637158957,0.24722799999999998,1.2508,1.2508,0.0
li_production_suppression_cmb,6.12,1.0,0.36,1.0,1.44370703317741,0.4198579989576115,0.5366469189189093,0.48720211530088925,0.0,0.08063533716677819,0.00304138126514911,0.3570207478564796,2.4557511637158957,0.24722799999999998,1.6991999999999998,1.6991999999999998,0.0
li_production_suppression_cmb,6.12,1.0,0.26,1.0,1.4715187695942835,0.4198579989576115,0.5366469189189093,0.5150138517177626,0.0,0.08063533716677819,0.00304138126514911,0.31046005604586235,2.4557511637158957,0.24722799999999998,1.2272,1.2272,0.0
li_production_suppression_cmb,6.12,1.0,0.365,1.0,1.5321494413314185,0.4198579989576115,0.5366469189189093,0.5756445234548976,0.0,0.08063533716677819,0.00304138126514911,0.35955652740563615,2.4557511637158957,0.24722799999999998,1.7227999999999999,1.7227999999999999,0.0
li_production_suppression_cmb,6.12,1.0,0.255,1.0,1.594952332537467,0.4198579989576115,0.5366469189189093,0.6384474146609461,0.0,0.08063533716677819,0.00304138126514911,0.30837427194887707,2.4557511637158957,0.24722799999999998,1.2036,1.2036,0.0
