galaxy,scenarios,fraction_scenarios_plamb_worse,minimum_delta_profile_objective,maximum_delta_profile_objective,baseline_delta_profile_objective,combined_delta_profile_objective,robustness_status
UGC06787,12,0.25,-430.44969872903977,2.824867487496192,-3.0228005568797016,-1.141023937420215,erased_or_reversed
UGC03580,12,0.0,-5.06681823441312,-0.13114172243986388,-2.6978763235173204,-0.13114172243986388,erased_or_reversed
UGC02487,12,0.9166666666666666,-0.026589847561645286,0.6529025539459496,0.5478653599280179,0.05463265141087703,persistent_conventional_tension
NGC5985,12,0.25,-3.68971114519951,22.894072134125793,-3.6606849994039976,0.07020482182679189,erased_or_reversed
UGC09133,12,1.0,1.260548281267809,12.238628547898088,12.151033647069966,1.260548281267809,persistent_conventional_tension
NGC2903,12,1.0,2.2157448089804035,9.54095450301682,6.216802496767798,2.2157448089804035,persistent_conventional_tension
