scenario,model,galaxy,N_points,success,message,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,RAR,UGC06787,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,282.7634029084677,252.87234042223423,29.891062486233444,1.0469651642672597,3.727071569776122,2.8489917628448986,-1.0,0.36787944117144233,-1.0,0.36787944117144233,0.0,0.0,66.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC06787,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,279.740602351588,249.8752555315967,29.865346819991274,1.0461031127579419,3.7236201229437027,2.846536843481203,-1.0,0.36787944117144233,-1.0,0.36787944117144233,0.0,0.0,66.0,0.0,1.0
baseline,RAR,UGC03580,47,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,96.96950351481777,80.71676440634263,16.252739108475144,0.24236224672265214,0.5027316465820945,1.2742557041733173,-1.0,0.36787944117144233,-1.0,0.36787944117144233,0.0,0.0,63.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC03580,47,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,94.27162719130045,78.02768785991152,16.243939331388926,0.24014420832720917,0.4939021475848503,1.2714324882539492,-1.0,0.36787944117144233,-1.0,0.36787944117144233,0.0,0.0,63.0,0.0,1.0
baseline,RAR,UGC02487,17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.97377093033464,32.23330033536208,6.7404705949725585,0.06792349913677899,-0.3199108887705649,1.0702834277407274,0.644114101800808,1.90429926649839,0.644114101800808,1.90429926649839,0.0,0.0,36.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC02487,17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39.521636290262656,32.850132796696776,6.671503493565879,0.0657060641127256,-0.3346440387861504,1.067912773140041,0.6402888440418303,1.897028745627536,0.6402888440418303,1.897028745627536,0.0,0.0,36.0,0.0,1.0
baseline,RAR,NGC5985,33,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,424.2272164470457,407.2680926114052,16.95912383564047,-0.12814828025955657,-0.9793486792968416,0.8797229239294182,1.0,2.718281828459045,1.0,2.718281828459045,0.0,0.0,60.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC5985,33,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,420.5665314476417,403.54536321731933,17.021168230322335,-0.13592364779888033,-1.0105286885201905,0.872909278489193,1.0,2.718281828459045,1.0,2.718281828459045,0.0,0.0,60.0,0.0,1.0
baseline,RAR,UGC09133,68,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,199.4468030135008,193.5863333979745,5.860469615526309,-0.22083448742230447,-1.6874886149426176,0.8018493854664166,0.43393920872955777,1.5433250445745248,0.43393920872955777,1.5433250445745248,0.0,0.0,53.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC09133,68,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,211.59783666057078,205.82052304486533,5.777313615705442,-0.2226927814579476,-1.6967963859457074,0.8003606971746089,0.4256021939812919,1.5305118072071142,0.4256021939812919,1.5305118072071142,0.0,0.0,53.0,0.0,1.0
