label,n_bcuts,N_min,N_max,amp_mean,amp_min,amp_max,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score,mock_id
mock,5,118193,183527,0.00217229208169322,0.0016866985758131133,0.002487525915646688,3.0904060218877794,2.8482478271760896,19.483266098696618,0.991854148835543,2.139088943427392,0
mock,5,118193,183527,0.0019363608046458554,0.0016761549141826797,0.0020923150475375607,3.6482466680169043,3.173049223350508,15.774275368257987,0.9924970526461282,2.681057601306749,1
mock,5,118193,183527,0.001568582944496498,0.001143436935289966,0.002372442081225277,2.6156785776851743,2.2339004980816233,36.93790322786631,0.970475778636222,1.3941090410585595,2
mock,5,118193,183527,0.002591007296200205,0.0021637405269582214,0.0031152399500187244,3.667044589849673,3.5030496499256474,19.953693315492885,0.9895816458725962,2.514064906807595,3
mock,5,118193,183527,0.001599944243361403,0.0013263457957323054,0.0019539634508179936,3.139426959357708,2.81891159343646,38.13257201786949,0.9641815419228654,1.6385152700432308,4
mock,5,118193,183527,0.00201055237986402,0.001554697518974696,0.002448548925537964,3.1785152923319258,2.641638588551813,25.398597024501694,0.9884436130346824,2.0082820859985153,5
mock,5,118193,183527,0.001122961116042529,0.0009759390203903376,0.0013835175387774698,2.1369561425958032,1.9377292611298587,29.689177927006295,0.9811642339464491,1.2632582760575108,6
mock,5,118193,183527,0.001886134018347304,0.0016168215231165835,0.0021988098653477612,2.8579203730801974,2.659902072058327,46.43397707832781,0.9612444886751608,1.352037976434174,7
mock,5,118193,183527,0.0029051784866313242,0.0017666106759262157,0.0038566824440934002,4.486134335854724,3.745191014487869,17.284848092713236,0.9941235571353492,3.2221276636956353,8
mock,5,118193,183527,0.0013140588713890142,0.001108359928289799,0.0015920719708774488,2.1513104928966573,2.00130991792918,23.385037257653543,0.9885057738594079,1.3993737782304152,9
mock,5,118193,183527,0.0016767413999630998,0.0012901207535612382,0.0020721764837306985,2.5826591113363184,2.4227163754057615,24.35999495410948,0.9894927577042589,1.6579948132776747,10
mock,5,118193,183527,0.001638758552390458,0.0015496213985089604,0.0017700312588261175,2.941643832011574,2.7566287875313122,10.5724095277304,0.9974343817386584,2.375897544871012,11
mock,5,118193,183527,0.0016928897967921116,0.001539855112068978,0.002113516664293545,2.932439114190782,2.713092423048061,38.22901352138539,0.9681773645339453,1.5350470633979028,12
mock,5,118193,183527,0.0016605977241474714,0.0013510055304236082,0.00193052043731612,3.7312787937186798,3.1542925062682756,24.70662064569703,0.9876877091480258,2.3791171863165745,13
mock,5,118193,183527,0.00169767315155914,0.0011948781264774994,0.0024422947112048682,2.718130524870118,2.350747413324002,45.27765318259255,0.9489998919848196,1.2857860916901802,14
mock,5,118193,183527,0.0018832790078182576,0.0015933454818310435,0.0021690179829243713,3.267575016114946,3.163557731850063,33.37281834681189,0.9771992191716763,1.8333936685690617,15
mock,5,118193,183527,0.001691697592155806,0.0015651928009439355,0.0019090921752733581,3.398392217297537,3.246770954060738,20.96919990364384,0.9899581033104597,2.294888619832695,16
mock,5,118193,183527,0.002122171573449822,0.00198284938020559,0.00229378497356598,3.508318923170642,3.1680659780302993,34.40693431653978,0.9800868834919017,1.9485776968793016,17
mock,5,118193,183527,0.0014245881029601348,0.000882662426514446,0.0023009850853157898,2.4832295850789357,1.9819046418579394,54.74964877504722,0.9335912540878641,1.0458629708938287,18
mock,5,118193,183527,0.0025797475967478103,0.0020706481060494704,0.003298149083838443,3.5732095435462066,3.314392321842033,8.170513303224201,0.9983446257322995,3.0191217749430317,19
mock,5,118193,183527,0.0025586199543139406,0.0020431240313699512,0.0030873639129806105,3.6769592432379707,3.570375483367434,22.605131838796787,0.9882939918274107,2.4188437819012187,20
mock,5,118193,183527,0.0018512085749588208,0.0014603464608442885,0.0022282758610643843,3.291974511007703,2.5407546836563344,23.214157035893297,0.9887752478607081,2.147296652968992,21
mock,5,118193,183527,0.0011439066556632334,0.0008964043404109962,0.0015585556664430339,2.1343620196510074,1.8299725646762741,57.99141563981568,0.9234064276171094,0.8611374239335547,22
mock,5,118193,183527,0.0027975934658346574,0.0019300238288756085,0.003943063776218108,4.001393387320935,3.426164847406117,14.214168150598036,0.9955088768970635,3.027215010615219,23
mock,5,118193,183527,0.0021005800101457626,0.001881081137679179,0.0022996294894909947,3.405116246752996,2.979306550047896,59.44862559188235,0.9241789108016496,1.3558067162779333,24
mock,5,118193,183527,0.0011705599732322746,0.0009236027634506974,0.0013713336152131716,2.4170814341005724,1.9557972352132176,57.58925962517593,0.9434094845447433,1.0002352109572608,25
mock,5,118193,183527,0.0015423910517586184,0.001285820977257129,0.0016191235673572461,2.933848484842102,2.6076847963460654,37.01217390964008,0.9683833800686681,1.5589033793579898,26
mock,5,118193,183527,0.0018547249145474225,0.0015534722053388479,0.002405782722022091,3.491278737770378,3.176707344506918,34.094935021797916,0.975504950330422,1.937661192632484,27
mock,5,118193,183527,0.0019993097586169448,0.0017279247981909535,0.0022198129842400743,3.266738352253387,2.710792714070833,31.035377748673945,0.9780339871237841,1.8908849453570664,28
mock,5,118193,183527,0.0020220597421596906,0.0015027824858414906,0.0024396925672455845,3.7385747235339877,3.2885401092279607,48.164364220892026,0.9547660907288631,1.724113057166794,29
