fit_group,bcut_deg,quality_variable,smd_before,smd_after,abs_smd_before,abs_smd_after,weighted_ks_before,weighted_ks_after
zerr_only,10.0,zerr,-0.0027276454868637007,6.918640782844452e-05,0.0027276454868637007,6.918640782844452e-05,0.002807725442473874,0.0034728673568882318
zerr_only,15.0,zerr,-0.0037048814660847564,0.0001019506759747365,0.0037048814660847564,0.0001019506759747365,0.0022740703264339523,0.0023141376688482623
zerr_only,20.0,zerr,-0.004501936826001963,9.716686930254352e-05,0.004501936826001963,9.716686930254352e-05,0.0021330398720932897,0.002223324727276932
zerr_only,25.0,zerr,-0.002548479893433326,0.00022405077330060603,0.002548479893433326,0.00022405077330060603,0.0030578629510236155,0.003366311492162488
zerr_only,30.0,zerr,-0.0027167107915861822,-9.054853354102635e-06,0.0027167107915861822,9.054853354102635e-06,0.004776075741137253,0.003229321753775438
zerr_only,35.0,zerr,-0.0029996199357571873,-0.0003268641035745261,0.0029996199357571873,0.0003268641035745261,0.006371173763953214,0.005444529162423495
gaia_g_only,10.0,g,0.0017184338373004604,-0.00010690122697782691,0.0017184338373004604,0.00010690122697782691,0.006629614174598397,0.006044159330012233
gaia_g_only,15.0,g,0.0004079036083554705,-9.674812545453184e-05,0.0004079036083554705,9.674812545453184e-05,0.006395459060052011,0.0062327424982570045
gaia_g_only,20.0,g,0.0008321741499193534,-0.00010403977830464592,0.0008321741499193534,0.00010403977830464592,0.006743063548000805,0.006441854505531475
gaia_g_only,25.0,g,-0.0003893057057231341,-0.00038811544657838784,0.0003893057057231341,0.00038811544657838784,0.007059129691175281,0.007057790270611264
gaia_g_only,30.0,g,0.0013847350097427377,-0.000118505404772532,0.0013847350097427377,0.000118505404772532,0.00669060227540319,0.006210038299144238
gaia_g_only,35.0,g,0.002348958290723605,-0.00012338241855614252,0.002348958290723605,0.00012338241855614252,0.005691832451219403,0.004722448747001118
gaia_bp_rp_only,10.0,bp_rp,0.01706192814491744,3.291782218012629e-05,0.01706192814491744,3.291782218012629e-05,0.012908685254490904,0.003691068784263618
gaia_bp_rp_only,15.0,bp_rp,0.02050968725877292,3.529996981370177e-05,0.02050968725877292,3.529996981370177e-05,0.014246681767179248,0.0032955231554044895
gaia_bp_rp_only,20.0,bp_rp,0.02282341590391333,3.6044586565768703e-05,0.02282341590391333,3.6044586565768703e-05,0.01687455415592265,0.0032455409133593793
gaia_bp_rp_only,25.0,bp_rp,0.02003680052924238,2.8078927001195963e-05,0.02003680052924238,2.8078927001195963e-05,0.014108532279657693,0.004466479949643776
gaia_bp_rp_only,30.0,bp_rp,0.028614296257936413,-8.193707847253177e-06,0.028614296257936413,8.193707847253177e-06,0.01901910716524463,0.004215818898295365
gaia_bp_rp_only,35.0,bp_rp,0.02920103251868615,-1.8825220079171735e-06,0.02920103251868615,1.8825220079171735e-06,0.018504205344550273,0.0044323418508330215
gaia_g_plus_bp_rp,10.0,g,0.0017184338373004604,-0.0002735219162692741,0.0017184338373004604,0.0002735219162692741,0.006629614174598397,0.005994569653309245
gaia_g_plus_bp_rp,10.0,bp_rp,0.01706192814491744,4.384446742045699e-05,0.01706192814491744,4.384446742045699e-05,0.012908685254490904,0.003668816967380528
gaia_g_plus_bp_rp,15.0,g,0.0004079036083554705,-7.786782514380665e-05,0.0004079036083554705,7.786782514380665e-05,0.006395459060052011,0.006220656670010372
gaia_g_plus_bp_rp,15.0,bp_rp,0.02050968725877292,1.455064583743809e-05,0.02050968725877292,1.455064583743809e-05,0.014246681767179248,0.003256592174857187
gaia_g_plus_bp_rp,20.0,g,0.0008321741499193534,-0.00021718196771462758,0.0008321741499193534,0.00021718196771462758,0.006743063548000805,0.006379887577911636
gaia_g_plus_bp_rp,20.0,bp_rp,0.02282341590391333,7.915248729815458e-05,0.02282341590391333,7.915248729815458e-05,0.01687455415592265,0.0032173316820036657
gaia_g_plus_bp_rp,25.0,g,-0.0003893057057231341,-0.0001875228172582297,0.0003893057057231341,0.0001875228172582297,0.007059129691175281,0.007065737250329995
gaia_g_plus_bp_rp,25.0,bp_rp,0.02003680052924238,3.359503792630947e-05,0.02003680052924238,3.359503792630947e-05,0.014108532279657693,0.0044434489030169555
gaia_g_plus_bp_rp,30.0,g,0.0013847350097427377,-0.00019620283925753129,0.0013847350097427377,0.00019620283925753129,0.00669060227540319,0.006075905329370412
gaia_g_plus_bp_rp,30.0,bp_rp,0.028614296257936413,2.8362093006482663e-05,0.028614296257936413,2.8362093006482663e-05,0.01901910716524463,0.004181459460153469
gaia_g_plus_bp_rp,35.0,g,0.002348958290723605,-0.00014745644705710395,0.002348958290723605,0.00014745644705710395,0.005691832451219403,0.0045806755768166285
gaia_g_plus_bp_rp,35.0,bp_rp,0.02920103251868615,-1.113431437610359e-05,0.02920103251868615,1.113431437610359e-05,0.018504205344550273,0.004470389246429507
wise_w1_only,10.0,w1,0.008382438092393103,-4.3849452211800754e-05,0.008382438092393103,4.3849452211800754e-05,0.0074360574628223874,0.00415087411136672
