fit_group,n_bcuts,N_min,N_max,ess_min,ess_max,amp_mean,amp_min,amp_max,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score,amp_ratio_vs_baseline,max_direction_sep_vs_baseline_deg,snr_delta_vs_baseline,max_abs_smd_before,max_abs_smd_after,max_weighted_ks_before,max_weighted_ks_after,passes_amp_dir_gate,passes_balance_gate,readout
baseline_unweighted,6,118193,192357,118193.0,192357.0,0.003020169000688582,0.002462554430840075,0.004064814465559679,4.785199523525018,4.446301628721809,13.472341037432457,0.9961011647645347,3.6683057844103555,1.0,0.0,0.0,,,,,,,
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0030505062874550716,0.002483945459528402,0.004095217392635055,4.8135012566904,4.484154563622729,13.395391262855188,0.996090050490036,3.6948229522133564,1.01004489707681,0.4755129656499691,0.02830173316538165,0.004501936826001963,0.0003268641035745261,0.006371173763953214,0.005444529162423495,True,True,survives matched-quality gate
gaia_colour_quality,6,118193,192357,118139.68692787412,192283.0919011731,0.0019013460415006564,0.0014771210725085637,0.0026620832705336423,3.1289270741250776,2.6778492119679975,6.759987308788811,0.998752874706135,2.7168886289003065,0.629549552050617,10.743585060294551,-1.6562724493999408,0.02920103251868615,0.0002735219162692741,0.01901910716524463,0.007065737250329995,False,True,does not pass matched-quality gate
wise_colour_quality,6,118193,192357,118180.9557657438,192322.73027840658,0.0021881791240137417,0.0013479847576643542,0.0032250098516329027,3.7747105847177598,3.127460319089739,10.752734576364924,0.9974377399745425,3.038895707052431,0.7245220792329332,3.8606194018408235,-1.0104889388072587,0.019015045661164614,0.00023498568130899232,0.009550679408257712,0.005299175057229877,False,True,does not pass matched-quality gate
pm_error_quality,6,118193,192357,117544.40320650152,191603.9278469245,0.0031040437854193345,0.0024907772355890596,0.00416776773345256,4.858978984280157,4.503247947760133,12.22632176661021,0.9964777406633173,3.8074069987755164,1.0277715534169212,2.5932697890568153,0.07377946075513897,0.0542821577994468,0.00032353138500135887,0.0271316477053114,0.0088727856697296,True,True,survives matched-quality gate
all_catalogue_quality,6,118193,192357,117408.57912670072,191307.94715652333,0.0009353730681611454,0.0003316339735883393,0.0016831277130010518,1.876381227144664,1.204762802684481,102.38496816131044,0.8315776547422956,0.4764125703468216,0.30970885005040627,121.39046047877764,-2.908818296380354,0.0542821577994468,0.00036544634532890795,0.0271316477053114,0.0076014916345207295,False,True,does not pass matched-quality gate
