label,bcut_deg,N,amp,l_deg,b_deg,formal_snr,rms_resid
baseline_no_residualization,15.0,183527,0.002548691334885939,138.99062177869544,-36.60410263515795,4.235313002903721,0.14615255334498767
baseline_no_residualization,20.0,169941,0.0026031162285208628,139.59239537848697,-37.76014873311968,4.204760886192028,0.14617147839167988
baseline_no_residualization,25.0,153651,0.003197493000486504,145.5236071398086,-33.945630563293776,4.768188414687418,0.1461562785554972
baseline_no_residualization,30.0,136052,0.0032443445438376816,139.38458928683056,-32.43057730582673,4.485617991253166,0.14614884315338122
baseline_no_residualization,35.0,118193,0.004064814465559701,145.8499241032717,-25.377758637650707,4.785199523524105,0.14606046057024089
residual_after_sfd_selection_gaia,15.0,183527,0.0018957350369814537,166.03452214124502,-21.010559700055264,2.8620867523818663,0.14614023962635833
residual_after_sfd_selection_gaia,20.0,169941,0.001959641732891495,171.97191290222284,-21.726520524549546,2.824224562020375,0.14615891081542368
residual_after_sfd_selection_gaia,25.0,153651,0.0026383925835919233,180.54843937146381,-15.972155985697245,3.43273573188742,0.14614019517979313
residual_after_sfd_selection_gaia,30.0,136052,0.0025966769363518177,181.205305263414,-13.94491399857637,3.035229269530294,0.14613008110445114
residual_after_sfd_selection_gaia,35.0,118193,0.0035168628427735653,185.4127625658458,-9.153221618399561,3.546479704736447,0.14604011588298818
residual_after_all_available_proxy_stack,15.0,183527,0.0007550430112010314,153.24847089854745,-11.413894758575562,1.393439911542397,0.11596026112742765
residual_after_all_available_proxy_stack,20.0,169941,0.000849128271534118,181.8345577610409,-12.440067768760365,1.4820728537123675,0.11592867267644717
residual_after_all_available_proxy_stack,25.0,153651,0.0017528343637293444,189.05142630839018,-7.875681116185287,2.7865642893035445,0.11599688746458585
residual_after_all_available_proxy_stack,30.0,136052,0.0017893087602903768,188.97365416084062,-7.214425802828086,2.5537532742317777,0.11602226388689471
residual_after_all_available_proxy_stack,35.0,118193,0.002296301451221554,187.99311937206943,-5.987743171316081,2.8718000979506924,0.11604817495870073
