fit_group,bcut_deg,quality_variable,smd_before,smd_after,abs_smd_before,abs_smd_after,weighted_ks_before,weighted_ks_after
zerr_only,10.0,zerr,-0.0027276454868637007,6.918640782844452e-05,0.0027276454868637007,6.918640782844452e-05,0.002807725442473874,0.0034728673568882318
zerr_only,15.0,zerr,-0.0037048814660847564,0.0001019506759747365,0.0037048814660847564,0.0001019506759747365,0.0022740703264339523,0.0023141376688482623
zerr_only,20.0,zerr,-0.004501936826001963,9.716686930254352e-05,0.004501936826001963,9.716686930254352e-05,0.0021330398720932897,0.002223324727276932
zerr_only,25.0,zerr,-0.002548479893433326,0.00022405077330060603,0.002548479893433326,0.00022405077330060603,0.0030578629510236155,0.003366311492162488
zerr_only,30.0,zerr,-0.0027167107915861822,-9.054853354102635e-06,0.0027167107915861822,9.054853354102635e-06,0.004776075741137253,0.003229321753775438
zerr_only,35.0,zerr,-0.0029996199357571873,-0.0003268641035745261,0.0029996199357571873,0.0003268641035745261,0.006371173763953214,0.005444529162423495
gaia_colour_quality,10.0,g,0.0017184338373004604,-0.0002735219162692741,0.0017184338373004604,0.0002735219162692741,0.006629614174598397,0.005994569653309245
gaia_colour_quality,10.0,bp_rp,0.01706192814491744,4.384446742045699e-05,0.01706192814491744,4.384446742045699e-05,0.012908685254490904,0.003668816967380528
gaia_colour_quality,15.0,g,0.0004079036083554705,-7.786782514380665e-05,0.0004079036083554705,7.786782514380665e-05,0.006395459060052011,0.006220656670010372
gaia_colour_quality,15.0,bp_rp,0.02050968725877292,1.455064583743809e-05,0.02050968725877292,1.455064583743809e-05,0.014246681767179248,0.003256592174857187
gaia_colour_quality,20.0,g,0.0008321741499193534,-0.00021718196771462758,0.0008321741499193534,0.00021718196771462758,0.006743063548000805,0.006379887577911636
gaia_colour_quality,20.0,bp_rp,0.02282341590391333,7.915248729815458e-05,0.02282341590391333,7.915248729815458e-05,0.01687455415592265,0.0032173316820036657
gaia_colour_quality,25.0,g,-0.0003893057057231341,-0.0001875228172582297,0.0003893057057231341,0.0001875228172582297,0.007059129691175281,0.007065737250329995
gaia_colour_quality,25.0,bp_rp,0.02003680052924238,3.359503792630947e-05,0.02003680052924238,3.359503792630947e-05,0.014108532279657693,0.0044434489030169555
gaia_colour_quality,30.0,g,0.0013847350097427377,-0.00019620283925753129,0.0013847350097427377,0.00019620283925753129,0.00669060227540319,0.006075905329370412
gaia_colour_quality,30.0,bp_rp,0.028614296257936413,2.8362093006482663e-05,0.028614296257936413,2.8362093006482663e-05,0.01901910716524463,0.004181459460153469
gaia_colour_quality,35.0,g,0.002348958290723605,-0.00014745644705710395,0.002348958290723605,0.00014745644705710395,0.005691832451219403,0.0045806755768166285
gaia_colour_quality,35.0,bp_rp,0.02920103251868615,-1.113431437610359e-05,0.02920103251868615,1.113431437610359e-05,0.018504205344550273,0.004470389246429507
wise_colour_quality,10.0,w1,0.008382438092393103,-8.091359623711054e-05,0.008382438092393103,8.091359623711054e-05,0.0074360574628223874,0.004259670295617246
wise_colour_quality,10.0,w2,0.003274766489820799,-0.00013259822637509393,0.003274766489820799,0.00013259822637509393,0.006397756500950258,0.005299175057229877
wise_colour_quality,10.0,w1_w2,0.01798810574954316,0.00023498568130899232,0.01798810574954316,0.00023498568130899232,0.009118434315797952,0.003881350714723175
wise_colour_quality,15.0,w1,0.0024541039086530586,1.1582686636289068e-05,0.0024541039086530586,1.1582686636289068e-05,0.004851295089196295,0.0041243293468457565
wise_colour_quality,15.0,w2,-0.0024368728886906984,-4.113015329319802e-05,0.0024368728886906984,4.113015329319802e-05,0.0032931418747264574,0.004493301945269701
wise_colour_quality,15.0,w1_w2,0.019015045661164614,0.00020973212480826216,0.019015045661164614,0.00020973212480826216,0.009550679408257712,0.0038750145759447463
wise_colour_quality,20.0,w1,0.00295406056362114,2.3795393322754376e-05,0.00295406056362114,2.3795393322754376e-05,0.005227466074021414,0.004220669976715108
wise_colour_quality,20.0,w2,-0.0017545386359309537,-1.9508745362763505e-05,0.0017545386359309537,1.9508745362763505e-05,0.003996162828166727,0.00486809669282795
wise_colour_quality,20.0,w1_w2,0.018140968561313597,0.0001679567421078096,0.018140968561313597,0.0001679567421078096,0.009164164945915432,0.0034955687954519865
wise_colour_quality,25.0,w1,0.0029299599468323536,9.893686362840746e-06,0.0029299599468323536,9.893686362840746e-06,0.006110199001004513,0.004471975581986087
wise_colour_quality,25.0,w2,-0.0003030528697229019,-5.739076910392071e-06,0.0003030528697229019,5.739076910392071e-06,0.005341845930193934,0.004955501339909851
wise_colour_quality,25.0,w1_w2,0.012162097547050311,6.018561787277491e-05,0.012162097547050311,6.018561787277491e-05,0.006713537002387415,0.003999555885208506
wise_colour_quality,30.0,w1,6.936234966654601e-06,-8.898951481393142e-05,6.936234966654601e-06,8.898951481393142e-05,0.004339019806209987,0.004435731542916932
wise_colour_quality,30.0,w2,-0.003427015745548211,-0.00012324290902463215,0.003427015745548211,0.00012324290902463215,0.0030126119148863595,0.004428153389593181
