label,bcut_deg,N,amp,l_deg,b_deg,formal_snr,rms_resid
observed,15.0,183527,0.002548691334885939,138.99062177869544,-36.60410263515795,4.235313002903721,0.14615255334498767
observed,20.0,169941,0.0026031162285208628,139.59239537848697,-37.76014873311968,4.204760886192028,0.14617147839167988
observed,25.0,153651,0.003197493000486504,145.5236071398086,-33.945630563293776,4.768188414687418,0.1461562785554972
observed,30.0,136052,0.0032443445438376816,139.38458928683056,-32.43057730582673,4.485617991253166,0.14614884315338122
observed,35.0,118193,0.004064814465559701,145.8499241032717,-25.377758637650707,4.785199523524105,0.14606046057024089
