role,tag,bcut_deg,N,ess,weighted_snr,weighted_priority,weighted_amp,amp_ratio_weighted_vs_baseline,direction_sep_weighted_vs_baseline_deg,global_p_any_window_snr_ge_observed,global_p_any_window_priority_ge_observed,z1p00_family_p_any_bcut_snr_ge_observed,z1p00_family_p_any_bcut_priority_ge_observed
matched_observed_max_snr+matched_observed_max_priority,z1p90_2p00,35.0,18180,18043.169337604926,3.532101971142685,0.03156337076297182,0.0012569492959246004,1.0383322468097183,1.6892857885661265,1.0,1.0,nan,nan
target,z1p00_1p50,10.0,194552,194414.604595997,0.7051405617142232,0.006769553600452857,0.00043624017943601424,0.20852050850400508,14.050825013534245,1.0,1.0,1.0,1.0
target,z1p00_1p50,15.0,185739,185584.5209876559,1.4645590018185748,0.014060190552269848,0.0009239082729733758,0.41067604380982536,5.4414473208971605,1.0,1.0,1.0,1.0
target,z1p00_1p50,25.0,155609,155397.95074043053,1.9587653441590969,0.01880471456039774,0.0013648946495721458,0.5764410444419162,5.099866727432481,1.0,1.0,1.0,1.0
target,z1p00_1p50,35.0,119719,119345.23847400425,1.8475614684258725,0.0177371251488284,0.0015812456557934584,0.5184984302050382,4.041748571617365,1.0,1.0,1.0,1.0
