fit_group,n_bcuts,N_min,N_max,ess_min,ess_max,amp_mean,amp_min,amp_max,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score,amp_ratio_vs_baseline,snr_delta_vs_baseline,max_direction_sep_vs_baseline_deg,mock_id
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001342507473416351,0.0007584807283861359,0.0019237326308950919,2.2515280672762406,1.8987711467267268,96.29793347775139,0.7552367285064655,0.5415482678464466,0.4445140232583894,-2.533671456248778,64.57174013400619,0
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0013350574908179297,0.0006247826042738012,0.0019868783738790285,3.2437047860486357,1.8982272874174937,170.14727849060202,0.1536528567816309,0.10424581230734777,0.44204727964347157,-1.5414947374763828,156.46682068851493,1
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0015829214885621377,0.000974038434513694,0.003066247035447047,4.071800373541771,2.1770835629212066,166.42890569453937,0.24718157478543215,0.2142154174032989,0.5241168584278695,-0.713399149983247,134.42919577879726,2
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0010425642200635283,0.0004252986306732767,0.001662188144841778,3.207464228102548,1.740678845511271,164.74649817093106,0.4455379891967915,0.3065944980164515,0.34520062282138164,-1.5777352954224706,169.1881371713437,3
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0007592454192480187,0.00030352378865294014,0.0012873633002257847,1.9618941782517292,1.0633859812529958,84.20024102521425,0.8926978183311207,0.6099991667747925,0.25139169995947735,-2.8233053452732895,150.21797474301667,4
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001024669860571228,0.0004616134241341091,0.00172373018034007,1.7358918998234076,1.336654315370147,162.0273010776707,0.43309822090887934,0.1634157718888087,0.3392756697845746,-3.049307623701611,140.41093788642962,5
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0012269645365505194,0.0005203259260026942,0.001990233701592483,3.1731902079887777,2.0091987617804112,138.05142367579114,0.6714891990363262,0.5238109099423206,0.40625691352728216,-1.6120093155362407,105.36263859179837,6
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001059682808689178,0.00019422066643370186,0.003269417135756843,3.33088344684026,1.3861762042015162,140.591330952114,0.612017025702342,0.49428538301718783,0.3508687124619769,-1.4543160766847585,162.63739130688222,7
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0010385399808838997,0.0004225690524570539,0.0018894303552507699,2.018685004957885,1.4560947641768367,146.01387929736998,0.4587058690091818,0.21814760178031325,0.3438681678565399,-2.7665145185671336,151.980607724569,8
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.001140560297761894,0.0005319392074819892,0.0019663601267186034,2.303201788078298,1.673574118344608,175.57189509880556,0.18571456458923571,0.08726504012178292,0.37764783940960006,-2.4819977354467206,165.11312366040522,9
