direction_label,amp_scale,bcut_deg,n_mocks,raw_pass_rate,matched_pass_rate,scanlaw_colour_pass_rate,raw_snr_p50,raw_snr_p95,matched_snr_p50,matched_snr_p95,scanlaw_colour_snr_p50,scanlaw_colour_snr_p95,raw_sep_p50_deg,matched_sep_p50_deg,scanlaw_colour_sep_p50_deg,raw_amp_ratio_p50,matched_amp_ratio_p50,scanlaw_colour_amp_ratio_p50,scanlaw_colour_delta_bic_p50,scanlaw_colour_delta_bic_p05,scanlaw_colour_delta_bic_p95
anti_cmb,0.0,10.0,500,0.032,0.786,0.0,4.752943251498275,6.372235091129897,2.250087314653742,3.6707707235733116,3.590728846178658,5.074488436491581,29.084637101926766,78.12246843027538,42.5853953278846,nan,nan,nan,23.60766225581756,10.751102198235458,32.70332680688734
anti_cmb,0.0,15.0,500,0.022,0.826,0.0,4.77073176877251,6.436934784536797,2.2307894760859526,3.639794429458871,3.630251368328027,5.155393247317909,26.065355937696534,71.97584839401564,42.19984810176625,nan,nan,nan,23.181279558804817,9.782587828410033,31.55825455007143
anti_cmb,0.0,25.0,500,0.08,0.884,0.0,4.3425939462415,5.872418075255039,1.9938188698323145,3.4594136630906016,3.58317095189819,5.1703882856924395,30.600413828358477,75.70831535102006,45.63389832131308,nan,nan,nan,22.98782027697598,9.094813803822035,31.450277428932882
anti_cmb,0.0,35.0,500,0.134,0.922,0.0,4.077961345428723,5.566938193959687,1.7919878361362334,3.1795369211974043,3.3693059289378837,4.7858097175459005,35.17257530917664,76.65847566634403,49.29007831755734,nan,nan,nan,23.687479770946084,12.136287412445382,32.084850684289265
anti_cmb,0.25,10.0,500,0.0,0.0,0.0,5.963970238016353,7.494760620465827,2.9062764475371,4.49283214973375,4.37632920644808,6.040297871715439,23.076378839144894,50.24650509460301,32.807619326263186,4.915755604837368,2.573464142137178,4.119897387642428,17.34891209178022,0.017478255533206546,28.62858555101993
anti_cmb,0.25,15.0,500,0.0,0.0,0.0,5.948658391268992,7.521674215869556,2.958392674598538,4.557566125848373,4.3687912096953205,5.971913403926656,22.374695983439654,48.772417719491216,34.30543644815974,4.969474461170749,2.539522802276052,4.167173381966542,17.273862578804255,0.6979260860185608,27.9433799314138
anti_cmb,0.25,25.0,500,0.0,0.0,0.0,5.319199402183882,7.080040895173966,2.6160907654232544,4.254922282051095,4.146387457204716,5.772366786395413,22.163881805536484,47.89011119771955,32.45172751703478,4.672907461574908,2.456436815749111,4.1333177820626155,18.634516060279566,2.5083163567978777,28.665569238990425
anti_cmb,0.25,35.0,500,0.0,0.0,0.0,5.055273574554489,6.6601249174312445,2.486045632685376,4.199560891463991,3.950846668438901,5.6962684004239135,26.03248238100027,51.34406250590118,34.15074625076091,4.819553263952647,2.7553350103393623,4.377717877939201,19.43061102307547,2.5941809532698246,28.495812878263674
anti_cmb,0.5,10.0,500,0.002,0.068,0.0,7.051164728886006,8.654092437750583,3.857853602439275,5.308362810393338,5.206313344760977,6.664091834154671,20.085388807085366,38.50969211349702,25.86388150374016,2.8925164076095498,1.646560658762126,2.482268409454327,9.395980944973417,-7.906214711679786,23.41813069899799
anti_cmb,0.5,15.0,500,0.0,0.09,0.0,6.988058282903746,8.661595742827352,3.822369811859507,5.4359054915091605,5.190517066262307,6.708249104045765,18.410698439598015,34.92711291641085,27.237561554239615,2.9038458403960874,1.61984500391649,2.483252079220314,9.419246372344787,-8.637460846028988,25.088355888731886
anti_cmb,0.5,25.0,500,0.0,0.046,0.0,6.479303086100238,7.956680858422013,3.5996694153214897,5.084847108541815,4.9189501901831925,6.4611772929553215,18.054293180180878,31.661837014678163,26.846685185126006,2.8130119722182023,1.6272458331743143,2.5328047765110413,11.631418782577384,-5.916813014537911,24.14922403973613
anti_cmb,0.5,35.0,500,0.0,0.02,0.0,5.902647397250169,7.435091577271927,3.239282856356862,4.740570101614801,4.628627110330488,6.08922017313471,21.874289125286136,37.347023860294215,31.592185510016265,2.8063530659746783,1.6613270505316218,2.5566197016771692,13.615976238041185,-2.036031616214313,26.46518470855808
anti_cmb,1.0,10.0,500,0.01,0.67,0.0,9.31369709684331,10.692450418263741,5.915776047014663,7.366479931474714,6.865782171722472,8.494127810907367,14.684062302586113,23.22583801742401,18.70228458241408,1.9111628445810902,1.2302342925034675,1.6630304604941561,-10.634571055314154,-35.639479593539725,8.034347567662175
anti_cmb,1.0,15.0,500,0.022,0.658,0.0,9.285845097188762,10.942936056401823,5.961731640382741,7.592959002313889,6.873401966213624,8.420029864175815,13.788795990376537,21.551563872011755,19.685425662306386,1.9324446672790967,1.2420226667055099,1.704734553605823,-10.880074005995994,-34.527110487836765,10.507008454823515
anti_cmb,1.0,25.0,500,0.032,0.716,0.0,8.448120410972347,10.052222148451083,5.473313281631636,7.086209267436004,6.261878742344262,7.911776720036975,12.366310499161262,18.479747418006074,17.87745816881079,1.8530403028071158,1.2139011882409925,1.6958616297040008,-3.381612679499085,-26.760891942476153,13.201772478294144
anti_cmb,1.0,35.0,500,0.056,0.506,0.0,7.700573999394486,9.470049984835127,4.9419025299877735,6.716140473394163,5.885943809218931,7.617332309238729,16.93267731428991,23.522231770567167,22.509229328408264,1.844255987256001,1.2324808896729342,1.67506039771178,0.3976978292412241,-22.97476149674694,15.616873441271304
anti_cmb,1.5,10.0,500,0.206,0.948,0.59,11.677155982412025,13.280615049746094,8.218485290171364,9.809903896091773,8.706405322076785,10.179637518212356,11.404285863666342,16.046500363943228,14.458474212833899,1.5959358914511037,1.1267007327789091,1.4380103575102616,-39.28957090516633,-67.10172025992506,-12.973550867619675
anti_cmb,1.5,15.0,500,0.234,0.968,0.586,11.494956354253798,12.950957640268637,8.10167564417024,9.617960809815587,8.384565519866515,9.899438317265906,9.851441110787762,14.026881155846048,13.806678261185482,1.611708835577784,1.1402260449340882,1.4424351507448487,-33.93134051725792,-61.61825945054006,-12.552660589148582
anti_cmb,1.5,25.0,500,0.36,0.926,0.44,10.685021790115545,12.343360660714966,7.675372952845656,9.28093991803474,8.050351635239998,9.610574516036094,10.799765302193592,14.40045674361393,14.932387727116378,1.5701501210944615,1.1323978493784896,1.4513502033212504,-28.971826922876062,-56.514684725471305,-3.2759073907014926
anti_cmb,1.5,35.0,500,0.36,0.844,0.27,9.69923061551676,11.404750140484323,6.910874374761134,8.620640237395977,7.369935062363048,8.855583816658084,13.222542642672089,15.999420139740966,16.438632596784792,1.554106699160902,1.1315306507442346,1.4328534660079824,-19.268303798424313,-43.362436409313524,1.1542045135996706
anti_cmb,2.0,10.0,500,0.66,0.994,0.892,14.053926152986673,15.636537403627704,10.55977839865962,12.1882918966896,10.57004924337885,12.210392497927858,9.471498278637862,12.40527134418579,11.489550724171405,1.447052703609078,1.0906205947183363,1.331273066825383,-75.19856779628026,-112.54313272690779,-45.07576077539416
anti_cmb,2.0,15.0,500,0.668,0.996,0.894,13.849958473142237,15.405348638128581,10.410166255254804,12.0511449892562,10.201631920492366,11.81824782546988,8.476208687356369,10.928729819481136,11.593977858024054,1.4548412046374497,1.09958671384934,1.3235036119557422,-67.68968305129965,-103.26588014447479,-37.43359003072552
anti_cmb,2.0,25.0,500,0.76,1.0,0.848,12.788357851786817,14.29905242007662,9.728916793560494,11.234209685336213,9.42244470315236,11.054280283719992,8.806001800299473,11.063449881440901,12.196373044353878,1.411833569180783,1.0814337473945395,1.3126029343762733,-52.93585954877199,-86.3300024924567,-25.260008512347127
anti_cmb,2.0,35.0,500,0.734,0.964,0.748,11.717590289524274,13.130486160863228,8.893118132793733,10.314812253948906,8.844794829727597,10.386177955773045,10.838842245500448,13.115228123646371,14.284684483586972,1.4130791398456275,1.0940691784050434,1.32035389616162,-43.171586630785896,-72.79330455304152,-17.46899377581795
cmb,0.0,10.0,500,0.016,0.774,0.0,4.922850774013183,6.5292649827324505,2.299970236420646,3.7214053970342333,3.6148187015635322,5.21748709416028,151.45390183835138,107.0472838632339,138.54868179994307,nan,nan,nan,23.434106606946443,9.279515783197713,32.096388543241474
cmb,0.0,15.0,500,0.032,0.828,0.0,4.748843148708692,6.4393812984548955,2.138369389016703,3.7075214108658443,3.6105167003870977,5.327734323905141,153.24995530199416,108.81438721264901,135.95466975729238,nan,nan,nan,23.324192393673002,7.975984124699609,31.386154679932215
cmb,0.0,25.0,500,0.06,0.876,0.0,4.4897758538720165,6.194248552289511,2.037449592986742,3.5788408170727304,3.5988467872822163,5.255936262932788,152.7053780013151,109.21642047894179,140.2885503937526,nan,nan,nan,22.875236653737375,8.202901451684012,31.809527567410257
cmb,0.0,35.0,500,0.114,0.89,0.0,4.132679911436082,5.690134651012951,1.9015536403969795,3.3925401109436613,3.4497032063968933,5.0207425275636375,147.0049520089353,103.63445797450034,134.07686832490447,nan,nan,nan,23.139261572025134,9.832696348783065,31.513858232013444
cmb,0.25,10.0,500,0.0,0.0,0.0,3.8122940741076796,5.3001231447972215,2.1336356589452388,3.585712554079451,2.9862795512533813,4.512957032642638,142.71903128074894,74.52275276866443,123.20517573419917,3.1734872955233726,2.054709935407862,2.7249418955556854,27.583135942200897,16.13435380512674,34.38437292553135
cmb,0.25,15.0,500,0.0,0.0,0.0,3.798073640936643,5.376923597217618,1.9799318992484478,3.5120223001325015,3.0640202476650003,4.645275264660264,144.0300665227434,75.08270199389938,122.16834480273181,3.132557723822992,1.9813718747849767,2.820064787804684,26.97180779899645,14.781737771775807,33.802631853167256
