window_index,tag,bcut_deg,z_center,N,ess,baseline_snr,baseline_amp,weighted_snr,weighted_amp,weighted_l_deg,weighted_b_deg,weighted_priority,amp_ratio_weighted_vs_baseline,direction_sep_weighted_vs_baseline_deg
1,z0p10_0p30,10.0,0.2,13225,13206.9545326924,2.1618897148893526,0.001615645056122002,0.9604041888405238,0.0007074207774570945,176.9376480426516,16.383364676486746,0.0004612746042341119,0.4378565544310217,5.510900856003682
2,z0p30_0p40,10.0,0.35,18463,18453.33184243332,2.088137468992529,0.0007876368584163572,1.6369403486842053,0.000615750513795535,210.41373657542974,-28.051877452202827,0.005379272444893018,0.7817695518129747,1.7233504717975694
3,z0p30_0p50,10.0,0.4,39665,39623.11551536237,2.822238955445778,0.0014937152979759586,1.6693795303547805,0.0008810905087346201,238.30001124501,-13.599926136959414,0.007053556824580421,0.589865090039937,1.864330838398607
4,z0p40_0p50,10.0,0.45,21202,21156.00592196886,1.9129252218417223,0.0007243431320624489,1.9048874054011118,0.0007276680065185472,339.17815273562525,-12.292933459177375,0.009626833692080458,1.0045901925605774,2.6811359461060866
5,z0p50_0p60,10.0,0.55,23827,23665.63672261588,1.8278925366449934,0.0005961156958142232,0.7342763254223729,0.00024561220560656365,281.51822239459364,21.134196372499474,0.004712587703142574,0.41202103439179966,14.252504777535764
6,z0p50_0p75,10.0,0.625,62022,61846.83119173285,1.8971849510795415,0.0010378324304773387,0.40610430628958555,0.0002263379460042376,286.7794464912284,-6.444113143010351,0.0029322480686265486,0.21808717800438762,13.61178597263382
7,z0p60_0p70,10.0,0.6499999999999999,23898,23724.94747518112,3.2263473789441592,0.0009571038513585752,3.4860195545375157,0.0010439885613378426,358.5186036445214,-52.76737019183907,0.025975579950036045,1.0907787695723277,1.3978518317458015
8,z0p70_0p80,10.0,0.75,29621,29502.71273578918,2.4688426991674803,0.0007021946559760062,2.7142683531306218,0.0007726082908291211,319.3701581075441,45.45201578292919,0.02230259721003813,1.1002765177061116,0.4005956280128169
9,z0p75_1p00,10.0,0.875,83848,83751.60896786311,1.839238073500683,0.0008652710817974678,1.2324586814086227,0.000578684518253952,228.19717233870216,-12.067956870500087,0.010940961313374542,0.6687898514438085,2.386247728257475
10,z0p80_0p90,10.0,0.8499999999999999,32152,32101.063701698575,1.6333692383002738,0.0004920780655335493,1.8611905019725454,0.0005608340962934288,276.50874363941955,-13.775986334613172,0.016318429742021977,1.1397258597278237,1.3943001302098939
11,z0p90_1p00,10.0,0.95,36372,36132.944943125054,2.915492646388471,0.0007115902071130518,2.4544698337132176,0.0006220128597774833,173.25864637788925,37.19521377255784,0.02245491258156379,0.8741166665306045,6.688778335439652
12,z1p00_1p10,10.0,1.0499999999999998,35898,35490.99694986415,2.1782476067635987,0.000498544026191863,2.2086249982924024,0.0005124280638564583,257.9460053943792,69.86992097064856,0.02075151014127044,1.0278491706552955,3.8864878728462564
13,z1p00_1p50,10.0,1.25,194552,194414.604595997,3.4795472766159117,0.0020920732572817188,0.7051405617142232,0.00043624017943601424,145.23437577771776,-24.957833729074927,0.006769553600452857,0.20852050850400508,14.050825013534245
14,z1p10_1p20,10.0,1.15,37929,37682.047597518686,1.153919408231462,0.00029776069077565445,1.2534550893047267,0.00031438152469072216,296.0605329239665,41.10411106716448,0.011955947250128053,1.0558194363123323,6.282741647308388
15,z1p20_1p30,10.0,1.25,37668,37319.878369317594,2.582447331320598,0.0005721408767335786,2.6060964769930424,0.0005799610826347451,30.003065478781956,-82.6994731083948,0.025019280902047563,1.0136683222946996,2.7429872301152862
16,z1p30_1p40,10.0,1.35,40224,40101.46576740429,1.6108655874149005,0.0004483447322601908,1.3016782779465272,0.0003627168869372721,30.31434975295171,-5.3736956686322515,0.012496215418584658,0.8090133793002263,3.177987945283131
17,z1p40_1p50,10.0,1.4500000000000002,42834,42766.80324652897,1.770852585879088,0.0004682210868230222,1.9338340386192057,0.0005106835194214924,288.03598916150384,0.8609614329162472,0.018473087333845877,1.0906888514709723,1.9234391013073542
