response_field,template_group,n_bcuts,N_min,N_max,template_r2_mean,template_r2_max,raw_colour_amp_mean,resid_colour_amp_mean,resid_amp_ratio_vs_raw,dipole_absorption_fraction,raw_abs_smd_mean,resid_abs_smd_mean,smd_absorption_fraction,max_resid_direction_sep_from_raw_deg,raw_sep_from_z_dipole_mean_deg,resid_sep_from_z_dipole_mean_deg,mechanism_score,rank_within_response
gaia_bp_rp_colour,gaia_scanlaw,5,118193,183527,0.006406315624741055,0.007394487834655017,0.07593730373943759,0.04152488689754267,0.5468311995909985,0.45316880040900154,0.02423704649371023,0.003976847029254578,0.8359186615297118,16.77601552854768,56.43348950498853,59.87648219486474,0.49777875484439804,1
gaia_bp_rp_colour,all_external_templates,5,118193,183527,0.07914780845321656,0.11274712223533434,0.07593730373943759,0.044071572632476776,0.5803678885373496,0.41963211146265045,0.02423704649371023,0.010717962739647988,0.5577859397006392,58.78929150880748,56.43348950498853,50.702276767767515,0.3998890907440597,2
gaia_bp_rp_colour,dust_selection_scanlaw,5,118193,183527,0.07857417739092162,0.11188940873075881,0.07593730373943759,0.05730564900700506,0.7546442418292462,0.24535575817075383,0.02423704649371023,0.018062106314522253,0.2547727991853479,70.02053005137039,56.43348950498853,45.658255765643844,0.2152954063698953,3
gaia_bp_rp_colour,sfd_dust,5,118193,183527,0.07840375022270815,0.11174631622354902,0.07593730373943759,0.06289086962254162,0.8281946622484518,0.17180533775154816,0.02423704649371023,0.02490617055647023,-0.027607491817686736,65.57993061137182,56.43348950498853,41.51955169907505,0.09299315203273831,4
gaia_bp_rp_colour,quaia_selection_depth,5,118193,183527,0.05788685022573934,0.08749695398495438,0.07593730373943759,0.06924387985235642,0.9118559185344767,0.08814408146552333,0.02423704649371023,0.03242457882668745,-0.33781064599195165,68.91701516732185,56.43348950498853,33.61340470638471,0.051242206704633364,5
gaia_bp_rp_colour,wise_depth,5,118193,183527,0.00376069129951484,0.007145339390720595,0.07593730373943759,0.07345700152785124,0.967337499628681,0.032662500371319014,0.02423704649371023,0.024664181816858498,-0.017623241481139695,15.180677675082173,56.43348950498853,49.69878431697292,0.015450263426996525,6
gaia_bp_rp_colour,wise_depth_stellar_density,5,118193,183527,0.010533797794169297,0.02126979936894935,0.07593730373943759,0.10140024051225875,1.3353152603388674,-0.3353152603388674,0.02423704649371023,0.05143347261798782,-1.1221014957963362,62.743317021556024,56.43348950498853,28.097787938777174,0.0021067595588338595,7
gaia_bp_rp_colour,stellar_density,5,118193,183527,0.008309941508758033,0.019171751166297768,0.07593730373943759,0.0965407463822964,1.2713217566106252,-0.2713217566106252,0.02423704649371023,0.05239410875759597,-1.16173652887916,61.36393700731868,56.43348950498853,26.59787720576738,0.0016619883017516069,8
gaia_wise_colour_cross,all_external_templates,5,118193,183527,0.0026752927803072035,0.004825225261136046,0.012774930743213736,0.007447129127148559,0.5829486888689869,0.4170513111310131,0.0039491661542310095,0.00721607424518157,-0.8272399699998694,75.44320882363685,80.89418924824352,137.196084680239,0.18820814856501736,1
gaia_wise_colour_cross,gaia_scanlaw,5,118193,183527,3.723900565202332e-05,5.830183115507204e-05,0.012774930743213736,0.011745433046855738,0.9194126592893754,0.08058734071062457,0.0039491661542310095,0.0024287653423872646,0.3849928700049342,18.042428646422827,80.89418924824352,69.67703761264013,0.17101925562263842,2
gaia_wise_colour_cross,dust_selection_scanlaw,5,118193,183527,0.002552622970842644,0.004611281009895496,0.012774930743213736,0.008979193493081971,0.7028760995711757,0.2971239004288243,0.0039491661542310095,0.004047342760450677,-0.024860084986417785,47.291950536397096,80.89418924824352,94.48497621636493,0.1342162797871395,3
gaia_wise_colour_cross,wise_depth_stellar_density,5,118193,183527,4.513259072647102e-05,7.63896523984231e-05,0.012774930743213736,0.009844038484205963,0.7705747046366797,0.22942529536332035,0.0039491661542310095,0.005707818815532518,-0.4453225295211609,18.538078513181233,80.89418924824352,95.30702457190574,0.10325040943163946,4
gaia_wise_colour_cross,stellar_density,5,118193,183527,2.3890916326352317e-05,2.9492606983483327e-05,0.012774930743213736,0.00995653874335161,0.7793810348945098,0.22061896510549017,0.0039491661542310095,0.005629616603665347,-0.4255203209502738,18.652438418667685,80.89418924824352,94.74813384816566,0.09928331248073585,5
gaia_wise_colour_cross,quaia_selection_depth,5,118193,183527,0.0006616598755838421,0.001480252972063667,0.012774930743213736,0.01918727757944545,1.5019476790226878,-0.5019476790226878,0.0039491661542310095,0.0031030357376731995,0.21425546140956697,19.44370797696452,80.89418924824352,78.47928406110934,0.0751217434684652,6
gaia_wise_colour_cross,sfd_dust,5,118193,183527,0.0025140798309481126,0.0045741611174268115,0.012774930743213736,0.011463704146439813,0.8973593968428777,0.10264060315712231,0.0039491661542310095,0.006629851056580685,-0.6787976999847616,42.2744676248036,80.89418924824352,105.26660467253177,0.04669108738689467,7
gaia_wise_colour_cross,wise_depth,5,118193,183527,2.1580165619417e-05,5.479947055320178e-05,0.012774930743213736,0.012497373891802065,0.9782733185024026,0.021726681497597378,0.0039491661542310095,0.0039955702244959205,-0.011750346390261512,2.4968708039486254,80.89418924824352,81.30684843322608,0.009781322707042702,8
