mock_id,max_snr,max_snr_window_index,max_snr_tag,max_snr_bcut_deg,max_snr_amp,max_snr_l_deg,max_snr_b_deg,max_snr_sep_cmb_deg,max_priority,max_priority_window_index,max_priority_tag,max_priority_bcut_deg,max_priority_snr,max_priority_amp,max_priority_l_deg,max_priority_b_deg,max_priority_sep_cmb_deg,max_abs_par_cmb,max_abs_par_cmb_window_index,max_abs_par_cmb_tag,max_abs_par_cmb_bcut_deg,max_abs_par_cmb_snr,max_z1p00_snr,max_z1p00_snr_bcut_deg,max_z1p00_priority,max_z1p00_priority_bcut_deg
0,4.065623228429376,26,z2p20_2p30,10.0,0.0014328840691477172,213.05868581208526,30.707018530025337,42.135569417944836,0.034370386898856735,26,z2p20_2p30,10.0,4.065623228429376,0.0014328840691477172,213.05868581208526,30.707018530025337,42.135569417944836,0.0028209489439855085,74,z1p50_2p50,20.0,3.6186085964688544,1.9258112940673704,10.0,0.018488346136057456,10.0
1,3.583599025301917,148,z0p70_0p80,35.0,0.0017406775258360628,109.47031559181713,-12.759675620796333,138.69175710532966,0.0305011434021691,15,z1p20_1p30,10.0,3.1771065953437194,0.0009379923919323162,147.30816714968358,-2.7011135375778985,109.52004670299193,0.0022024738026856106,29,z0p10_0p30,15.0,3.2853661979479436,2.59675488078142,20.0,0.024929598873099135,20.0
2,3.6978885285894965,147,z0p60_0p70,35.0,0.0012751455179920912,67.88392776181504,-54.371626071069656,168.24313613239343,0.03147603046483718,39,z0p90_1p00,15.0,3.4405374316358524,0.0008395204821945904,37.52126348433185,52.37773920115379,71.87142438395747,0.0012617893627297593,1,z0p10_0p30,10.0,2.4343865777292995,2.6122861845061887,10.0,0.025078703886706827,10.0
3,3.601484384752487,117,z0p50_0p60,30.0,0.0013883194421813964,245.47125230634288,34.09452544956128,19.78375482190603,0.03249341185331827,68,z1p00_1p10,20.0,3.4583392346141695,0.0009465642901190965,10.934487861430277,-37.4139568896675,127.38455332991622,0.0013063763501542833,117,z0p50_0p60,30.0,3.601484384752487,2.231719106581202,20.0,0.02142514972678457,20.0
4,3.4577505967868616,61,z0p50_0p60,20.0,0.0011101112132216372,315.32712189095304,45.82588419339268,34.39306763415523,0.029857157307787905,48,z1p60_1p70,15.0,3.1899357914630664,0.000829122870389949,88.4709639892481,34.57249545271899,97.07907176569651,0.0013807676004876216,62,z0p50_0p75,20.0,2.872342423411447,2.7753318743360595,30.0,0.02664398972694111,30.0
5,3.4749544198721187,83,z2p30_2p40,20.0,0.001471511704775967,342.67893535082135,-12.584000882417625,91.99135649802672,0.033299921868754544,13,z1p00_1p50,10.0,3.46863722446965,0.0018708393779369185,14.6168370660413,-29.044630823670484,124.54066015863309,0.0017278874238025235,113,z0p10_0p30,30.0,2.2138223753519504,3.46863722446965,10.0,0.033299921868754544,10.0
6,3.6513895333665523,19,z1p50_1p60,10.0,0.001030433628946831,117.51427755535765,5.27917195218403,118.96514863022851,0.0345765633128956,19,z1p50_1p60,10.0,3.6513895333665523,0.001030433628946831,117.51427755535765,5.27917195218403,118.96514863022851,0.0014517945068118381,57,z0p10_0p30,20.0,2.169863200789383,2.275308274700221,20.0,0.02184361836410633,20.0
7,4.048550874571965,157,z1p40_1p50,35.0,0.001492459993551097,207.05248232422906,-18.988171574003488,84.23533404594973,0.03867407046722941,157,z1p40_1p50,35.0,4.048550874571965,0.001492459993551097,207.05248232422906,-18.988171574003488,84.23533404594973,0.0020526877189103463,141,z0p10_0p30,35.0,2.3280742738209668,2.3897354950122813,15.0,0.02294215281710984,15.0
8,3.632351794552563,8,z0p70_0p80,10.0,0.0011633140320639432,27.986089275086478,-5.1718103357652785,115.95966339925182,0.029846304218824754,8,z0p70_0p80,10.0,3.632351794552563,0.0011633140320639432,27.986089275086478,-5.1718103357652785,115.95966339925182,0.001282074650207903,143,z0p30_0p50,35.0,2.361223249356275,2.79506547148118,10.0,0.02683343797436412,10.0
9,3.727173238702134,14,z1p10_1p20,10.0,0.0009823316131453831,167.54849842667474,26.379684653137833,74.67703033780072,0.03555124313127923,14,z1p10_1p20,10.0,3.727173238702134,0.0009823316131453831,167.54849842667474,26.379684653137833,74.67703033780072,0.0013906898138182147,46,z1p50_2p50,15.0,3.4220141012024947,2.2820338492728642,25.0,0.021908185827723324,25.0
10,3.9747232167337527,74,z1p50_2p50,20.0,0.003680689475717194,274.5672641628268,26.569855044695444,23.193300303506305,0.03520689226983448,74,z1p50_2p50,20.0,3.9747232167337527,0.003680689475717194,274.5672641628268,26.569855044695444,23.193300303506305,0.0033832212952925964,74,z1p50_2p50,20.0,3.9747232167337527,2.63891610168378,25.0,0.025334358803608893,25.0
11,3.6025230671633697,89,z0p50_0p60,25.0,0.0012383424387295322,331.3810940559046,42.08990640057548,46.34555401879851,0.030406742896133206,99,z1p20_1p30,25.0,3.1672735059288124,0.0010954534644911833,35.07635001640491,-7.291890700679617,121.90265234733727,0.0016995413849623378,125,z1p00_1p50,30.0,2.772461727883587,2.772461727883587,30.0,0.026616435489805853,30.0
12,4.9093215819739,114,z0p30_0p40,30.0,0.002340690832693762,162.14599316097375,23.546836034591074,80.06934021760857,0.031242702283248196,44,z1p30_1p40,15.0,3.254421082240007,0.0009359171998051776,293.5149258836159,2.900451537611321,51.93426885106004,0.001852709144582805,74,z1p50_2p50,20.0,2.622274532515555,2.3880152314185414,30.0,0.02292563778842333,30.0
13,4.080792101780566,117,z0p50_0p60,30.0,0.0016137799215232777,277.89229335622593,32.27443750483216,19.1003860316913,0.03193008490193147,149,z0p75_1p00,35.0,3.596805546455429,0.001986398096452098,313.4724165302383,36.27037856779336,37.77975406818133,0.0018928248134033958,113,z0p10_0p30,30.0,3.5078746224679564,2.232286868820822,30.0,0.021430600408708297,30.0
14,3.9481845082999123,55,z2p30_2p40,15.0,0.001565288033496362,146.99137093294542,14.208681374646021,96.32710823593476,0.03273549434896035,55,z2p30_2p40,15.0,3.9481845082999123,0.001565288033496362,146.99137093294542,14.208681374646021,96.32710823593476,0.0023871112156207156,158,z1p50_2p50,35.0,2.8148931301825297,2.704253281645846,20.0,0.025961614652826225,20.0
15,3.9431137110756738,145,z0p50_0p60,35.0,0.002177819679334121,180.2077513634736,4.310857236113327,82.66696258960796,0.030927147739864425,74,z1p50_2p50,20.0,3.49155646021954,0.0033790511706739243,79.76003758427095,14.231363173935698,117.40044993902676,0.002623579637111825,130,z1p50_2p50,30.0,2.8374122664489523,2.0651324784890734,15.0,0.019825869853780462,15.0
16,3.4846996226686757,55,z2p30_2p40,15.0,0.0013749674385017034,63.16190656279758,6.210173704715416,122.53686539183579,0.02889261243133105,55,z2p30_2p40,15.0,3.4846996226686757,0.0013749674385017034,63.16190656279758,6.210173704715416,122.53686539183579,0.0016380887977406285,113,z0p10_0p30,30.0,2.7873241100335435,2.8813918125618967,25.0,0.027662195848760413,25.0
17,4.377033409701024,35,z0p60_0p70,15.0,0.0012791732700134385,221.96694028310046,61.029098334936734,26.84907233410699,0.03261484323278608,35,z0p60_0p70,15.0,4.377033409701024,0.0012791732700134385,221.96694028310046,61.029098334936734,26.84907233410699,0.0012893252327569262,69,z1p00_1p50,20.0,2.604931570741983,2.604931570741983,20.0,0.025008097464681717,20.0
18,4.074124979240315,141,z0p10_0p30,35.0,0.0039985277196878215,147.64533051743908,26.424322382140346,86.15121459785733,0.02893177132283347,163,z1p90_2p00,35.0,3.2376125885107436,0.0015514558415350823,272.63533371892527,11.830400852333131,37.12621879634143,0.001645089642283065,29,z0p10_0p30,15.0,2.5440616059041044,2.047887170877267,35.0,0.019660309906483407,35.0
