fit_group,null_kind,n_mocks,observed_amp_mean,mock_amp_mean_p50,mock_amp_mean_p95,p_amp_mean_ge_observed,observed_snr_max,mock_snr_max_p50,mock_snr_max_p95,mock_snr_max_p99,p_snr_max_ge_observed,observed_max_pair_direction_sep_deg,mock_pair_sep_p05,mock_pair_sep_p50,p_pair_sep_le_observed,observed_coherence_score,mock_coherence_p50,mock_coherence_p95,p_coherence_ge_observed,p_joint_snr_and_pair_sep
zerr_only,matched_quality_propensity_strata_zshuffle,300,0.0030505062874550716,0.0011253038909177634,0.0014784846801903706,0.0033222591362126247,4.8135012566904,2.477701768768488,3.449942440167177,3.7614423697791186,0.0033222591362126247,13.395391262855188,113.6647157749814,154.76699158250636,0.0033222591362126247,3.6948229522133564,0.21921908802566667,0.4902056246312852,0.0033222591362126247,0.0033222591362126247
gaia_g_only,matched_quality_propensity_strata_zshuffle,300,0.003022059429567471,0.0011020622966194892,0.001495966188442452,0.0033222591362126247,4.779492845520536,2.43478339949501,3.3772396602099777,3.720430790142975,0.0033222591362126247,13.394517814668134,123.96914002524204,156.95216431860922,0.0033222591362126247,3.6687529848750877,0.20142662039573417,0.44415258817680375,0.0033222591362126247,0.0033222591362126247
gaia_bp_rp_only,matched_quality_propensity_strata_zshuffle,300,0.0018924637851877662,0.003507727990225887,0.003956878879608604,1.0,3.1115192230651054,6.635545929805907,7.765283738426371,8.421549641822281,1.0,6.628697040628542,25.187684297201848,42.00545410229701,0.0033222591362126247,2.708702463324161,3.2482238133599726,4.275928114935635,0.8205980066445183,0.0033222591362126247
gaia_g_plus_bp_rp,matched_quality_propensity_strata_zshuffle,300,0.0019013460415006564,0.003461785998708648,0.003942000526596083,1.0,3.1289270741250776,6.517309056586043,7.552761734501826,8.18325731104314,1.0,6.759987308788811,25.952631951798285,42.342173336181105,0.0033222591362126247,2.7168886289003065,3.1938318682570177,4.331153831711883,0.7641196013289037,0.0033222591362126247
wise_w1_only,matched_quality_propensity_strata_zshuffle,300,0.0029106662169538413,0.0014982167750801927,0.0019210692608787338,0.0033222591362126247,4.641870608642972,3.4588591543857587,4.608669993931478,5.06898877045315,0.04983388704318937,13.244621296720144,74.1497912293817,132.37714275004106,0.0033222591362126247,3.5727188362703424,0.5869827861306025,1.1587995122823231,0.0033222591362126247,0.0033222591362126247
wise_w2_only,matched_quality_propensity_strata_zshuffle,300,0.003041087065981357,0.001275965165416531,0.0016846979902759736,0.0033222591362126247,4.79055176296652,2.85916384236769,4.005150377898001,4.472674479954318,0.0033222591362126247,13.449108269176739,96.08173687865911,149.31642315336805,0.0033222591362126247,3.6738008303486542,0.34841936273056845,0.7415999105494525,0.0033222591362126247,0.0033222591362126247
wise_w1_w2_only,matched_quality_propensity_strata_zshuffle,300,0.00247627645456246,0.001365119432480173,0.0017615964389750883,0.0033222591362126247,4.20009773293403,2.9607844716084415,3.863478067790858,4.400077918716356,0.019933554817275746,11.486355042387888,74.17399924847666,125.52972213573793,0.0033222591362126247,3.3359125753385825,0.5278813666416239,1.0560833645088321,0.0033222591362126247,0.0033222591362126247
wise_w1_plus_w2,matched_quality_propensity_strata_zshuffle,300,0.002167858175168762,0.0014934608734757803,0.0019126877201979828,0.009966777408637873,3.8525287990323163,3.002568753412035,3.9929652606658497,4.613386543096473,0.09966777408637874,10.932659152440166,63.75563322110677,108.1453497250663,0.0033222591362126247,3.0911128754189656,0.6506816731345509,1.209878438961938,0.0033222591362126247,0.0033222591362126247
wise_w1_w2_plus_mags,matched_quality_propensity_strata_zshuffle,300,0.0021881791240137417,0.001476358333695657,0.0018844068187639001,0.0033222591362126247,3.7747105847177598,3.06445259492309,4.203906147765911,4.751306299700368,0.132890365448505,10.752734576364924,67.27883632719879,114.53894742566668,0.0033222591362126247,3.038895707052431,0.6313269701815771,1.2361430999170977,0.0033222591362126247,0.0033222591362126247
gaia_wise_colour_cross,matched_quality_propensity_strata_zshuffle,300,0.001534664841800145,0.004018705638268826,0.004438618859632609,1.0,2.7879852585778164,7.401446139070498,8.501868749745709,9.197715272385505,1.0,9.289921494959415,21.833513523894723,35.527800027506146,0.0033222591362126247,2.3069260223399106,4.010900737003541,5.1733024875287805,1.0,0.0033222591362126247
zerr_x_gaia_colour,matched_quality_propensity_strata_zshuffle,300,0.001930761700601638,0.0032848394443012077,0.0037923529703739016,1.0,3.1683643455843424,6.160006642062235,7.683457106752381,8.067578530762024,1.0,6.756352455434524,25.39149121259025,46.64831457570318,0.0033222591362126247,2.7513140679810615,2.907693686346612,4.062806966068271,0.5813953488372093,0.0033222591362126247
