fit_group,n_bcuts,N_min,N_max,ess_min,ess_max,amp_mean,amp_min,amp_max,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score,amp_ratio_vs_baseline,max_direction_sep_vs_baseline_deg,snr_delta_vs_baseline,max_abs_smd_before,max_abs_smd_after,max_weighted_ks_before,max_weighted_ks_after,passes_amp_dir_gate,passes_balance_gate,readout
baseline_unweighted,6,118193,192357,118193.0,192357.0,0.003020169000688582,0.002462554430840075,0.004064814465559679,4.785199523525018,4.446301628721809,13.472341037432457,0.9961011647645347,3.6683057844103555,1.0,0.0,0.0,,,,,,,
zerr_only,6,118193,192357,118186.49807087993,192345.20832497522,0.0030505062874550716,0.002483945459528402,0.004095217392635055,4.8135012566904,4.484154563622729,13.395391262855188,0.996090050490036,3.6948229522133564,1.01004489707681,0.4755129656499691,0.02830173316538165,0.004501936826001963,0.0003268641035745261,0.006371173763953214,0.005444529162423495,True,True,survives matched-quality gate
gaia_g_only,6,118193,192357,118189.27284123849,192347.51204354086,0.003022059429567471,0.0024586311183025567,0.004063895521166569,4.779492845520536,4.445148054169564,13.394517814668134,0.9960845845051524,3.6687529848750877,1.0006259347998268,0.41687079332473914,-0.005706678004482768,0.002348958290723605,0.00038811544657838784,0.007059129691175281,0.007057790270611264,True,True,survives matched-quality gate
gaia_bp_rp_only,6,118193,192357,118140.33572573386,192283.01325035322,0.0018924637851877662,0.0014653723840619096,0.002661898034884609,3.1115192230651054,2.6628378556869534,6.628697040628542,0.9987745451411613,2.708702463324161,0.6266085721548347,10.96484008579751,-1.673680300459913,0.02920103251868615,3.6044586565768703e-05,0.01901910716524463,0.004466479949643776,False,True,does not pass matched-quality gate
gaia_g_plus_bp_rp,6,118193,192357,118139.68692787412,192283.0919011731,0.0019013460415006564,0.0014771210725085637,0.0026620832705336423,3.1289270741250776,2.6778492119679975,6.759987308788811,0.998752874706135,2.7168886289003065,0.629549552050617,10.743585060294551,-1.6562724493999408,0.02920103251868615,0.0002735219162692741,0.01901910716524463,0.007065737250329995,False,True,does not pass matched-quality gate
wise_w1_only,6,118193,192357,118189.1447670949,192344.26379146182,0.0029106662169538413,0.0021813559683289364,0.003947511016052162,4.641870608642972,4.26747969650918,13.244621296720144,0.9962059272242851,3.5727188362703424,0.9637428290569916,0.49672476350332406,-0.14332891488204602,0.008382438092393103,7.49128517586659e-05,0.0074360574628223874,0.005331623943730102,True,True,survives matched-quality gate
wise_w2_only,6,118193,192357,118189.68169901642,192347.1572318351,0.003041087065981357,0.0023917294449173694,0.004073524232781845,4.79055176296652,4.472333887884938,13.449108269176739,0.9960828133615398,3.6738008303486542,1.0069261240970309,0.39839893130932336,0.005352239441501538,0.003427015745548211,0.00030162643586366557,0.006397756500950258,0.005342039089513639,True,True,survives matched-quality gate
wise_w1_w2_only,6,118193,192357,118183.36916909638,192328.40641139584,0.00247627645456246,0.0018299548248585634,0.003583730139824878,4.20009773293403,3.5746791846886494,11.486355042387888,0.9969796689009113,3.3359125753385825,0.8199132081674511,2.349253485542626,-0.5851017905909881,0.019015045661164614,0.00011684473251901034,0.009550679408257712,0.004578391652155345,True,True,survives matched-quality gate
wise_w1_plus_w2,6,118193,192357,118184.03842658266,192324.88122080936,0.002167858175168762,0.0013012931941439165,0.0032830129263699387,3.8525287990323163,3.1035038222361266,10.932659152440166,0.9972910543903644,3.0911128754189656,0.7177936647500527,3.188024812125233,-0.9326707244927022,0.008382438092393103,0.0002920969676361052,0.0074360574628223874,0.005470195998437233,False,True,does not pass matched-quality gate
wise_w1_w2_plus_mags,6,118193,192357,118180.9557657438,192322.73027840658,0.0021881791240137417,0.0013479847576643542,0.0032250098516329027,3.7747105847177598,3.127460319089739,10.752734576364924,0.9974377399745425,3.038895707052431,0.7245220792329332,3.8606194018408235,-1.0104889388072587,0.019015045661164614,0.00023498568130899232,0.009550679408257712,0.005299175057229877,False,True,does not pass matched-quality gate
