N,k,rss,r2,aic,bic,loglike,rms_resid,columns,dipole_amp,dipole_l_deg,dipole_b_deg,dipole_snr,model,bcut_deg
136052,14,1537.6841249159525,0.47092166293882665,-223761.57152483918,-223624.08043061505,111894.78576241959,0.10631717938126407,intercept;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;zerr;g;w1;w2;pmra_error;pmdec_error,nan,nan,nan,nan,scanlaw_colour_quality,30.0
136052,17,1537.57438781694,0.4709594207077459,-223765.2812463077,-223598.32777474984,111899.64062315386,0.10631455790739619,intercept;n_x;n_y;n_z;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;zerr;g;w1;w2;pmra_error;pmdec_error,0.002249241398767182,269.30526892128,-4.7781094861158975,3.115903506613932,scanlaw_colour_quality_plus_dipole,30.0
136052,13,2414.774184635492,0.1691370878560453,-162359.4525873435,-162231.78228556394,81192.72629367175,0.13323138627155462,intercept;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,nan,nan,nan,nan,all_external_colour,30.0
136052,16,2414.595238842394,0.16919865859160943,-162363.53503534815,-162206.40235623484,81197.76751767407,0.13322791866547729,intercept;n_x;n_y;n_z;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,0.0024978056239752353,266.4859924044926,-15.041789618316576,3.175159184119149,all_external_colour_plus_dipole,30.0
118193,1,2521.892223115833,1.4432899320127035e-15,-119305.83339518319,-119296.15332102265,59653.916697591594,0.14607275500796363,intercept,nan,nan,nan,nan,null_intercept,35.0
118193,4,2521.403722142751,0.00019370414350305953,-119322.73008667973,-119284.00979003755,59665.365043339865,0.14606046057021163,intercept;n_x;n_y;n_z,0.004064814465565032,145.84992410320453,-25.377758637536193,4.785199523524725,dipole_only,35.0
118193,8,2101.156737454269,0.16683325393729254,-140864.59485838655,-140787.1542651022,70440.29742919328,0.13333619124113605,intercept;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,nan,nan,nan,nan,scanlaw_colour,35.0
118193,11,2100.9186773191086,0.1669276513635498,-140871.98683202235,-140765.50601625638,70446.99341601117,0.1333303297959808,intercept;n_x;n_y;n_z;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z,0.003962308816840411,234.66675034601556,3.8573007163465522,3.659437924514063,scanlaw_colour_plus_dipole,35.0
118193,14,1335.7016452727855,0.4703573637962587,-194397.72207841015,-194262.20104016256,97212.86103920508,0.10631255975866588,intercept;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;zerr;g;w1;w2;pmra_error;pmdec_error,nan,nan,nan,nan,scanlaw_colour_quality,35.0
118193,17,1335.6240111712848,0.4703881478641856,-194398.59193146543,-194234.03067073622,97216.29596573272,0.1063108195169179,intercept;n_x;n_y;n_z;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;zerr;g;w1;w2;pmra_error;pmdec_error,0.0022277745557070226,251.6585813733347,-1.9127543998603789,2.6208900346400066,scanlaw_colour_quality_plus_dipole,35.0
118193,13,2095.201391354046,0.16919471333894187,-141190.0670333378,-141064.22606925076,70608.0335166689,0.13314991517052296,intercept;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,nan,nan,nan,nan,all_external_colour,35.0
118193,16,2095.0396817535343,0.16925883566702127,-141193.18963153168,-141038.308444963,70612.59481576584,0.13314646672660835,intercept;n_x;n_y;n_z;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;bp_rp_z;w1_w2_z;bp_rp_x_w1_w2_z;ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p,0.002943923453983869,245.51070362291608,-7.593238615083546,3.020217752338265,all_external_colour_plus_dipole,35.0
