response_field,template_group,n_bcuts,N_min,N_max,template_r2_mean,template_r2_max,raw_colour_amp_mean,resid_colour_amp_mean,resid_amp_ratio_vs_raw,dipole_absorption_fraction,raw_abs_smd_mean,resid_abs_smd_mean,smd_absorption_fraction,max_resid_direction_sep_from_raw_deg,raw_sep_from_z_dipole_mean_deg,resid_sep_from_z_dipole_mean_deg,mechanism_score,rank_within_response
gaia_bp_rp_colour,gaia_scanlaw,5,118193,183527,0.006406315624741055,0.007394487834655017,0.07593730373943759,0.04152488689754267,0.5468311995909985,0.45316880040900154,0.02423704649371023,0.003976847029254578,0.8359186615297118,16.77601552854768,56.43348950498853,59.87648219486474,0.49777875484439804,1
wise_w1_w2_colour,gaia_scanlaw,5,118193,183527,0.0002667782322425927,0.0002727980608563385,0.030125665568310755,0.017230666829662185,0.5719597062707605,0.42804029372923946,0.015108609067918102,0.005722684516274176,0.6212302210912433,22.828003039309078,38.96992894575178,36.411995176054646,0.4101020652065414,1
gaia_wise_colour_cross,all_external_templates,5,118193,183527,0.0026752927803072035,0.004825225261136046,0.012774930743213736,0.007447129127148559,0.5829486888689869,0.4170513111310131,0.0039491661542310095,0.00721607424518157,-0.8272399699998694,75.44320882363685,80.89418924824352,137.196084680239,0.18820814856501736,1
