fit_group,bcut_deg,N,ess,variables,a0,amp,l_deg,b_deg,formal_snr,rms_resid,amp_ratio_vs_baseline_same_bcut,direction_sep_vs_baseline_same_bcut_deg,propensity_min,propensity_p01,propensity_p50,propensity_p99,propensity_max,weight_min,weight_p99,weight_max
baseline_unweighted,10.0,192357,192357.0,,1.2065939845584015,0.002462554430840075,144.89631609370707,-38.13748959283713,4.198729953761553,0.14612059259928803,1.0,0.0,,,,,,,,
baseline_unweighted,15.0,183527,183527.0,,1.2068648164422267,0.002548691334886179,138.99062177868373,-36.60410263516501,4.235313002905859,0.14615255334493482,1.0,0.0,,,,,,,,
baseline_unweighted,20.0,169941,169941.0,,1.2070158632406227,0.002603116228521061,139.59239537847753,-37.760148733126734,4.204760886194077,0.14617147839162764,1.0,0.0,,,,,,,,
baseline_unweighted,25.0,153651,153651.0,,1.2071072324837666,0.0031974930004866884,145.5236071398047,-33.945630563298295,4.768188414689513,0.1461562785554472,1.0,0.0,,,,,,,,
baseline_unweighted,30.0,136052,136052.0,,1.2071677474156155,0.0032443445438378083,139.38458928682857,-32.4305773058285,4.4856179912548315,0.14614884315333537,1.0,0.0,,,,,,,,
baseline_unweighted,35.0,118193,118193.0,,1.2070139975891185,0.004064814465559679,145.8499241032721,-25.377758637650363,4.785199523525018,0.1460604605702116,1.0,0.0,,,,,,,,
zerr_only,10.0,192357,192345.20832497522,zerr,1.2065938958089326,0.002483945459528402,145.13543225212132,-38.128954764965634,4.234300641884884,0.14612607067917863,1.0086865201517716,0.1882767910726151,0.43084852660763223,0.4922804975361252,0.49651534957877247,0.49812775666226805,0.49813059823670447,0.8617498727724392,1.0112090716279258,1.1373256383570423
zerr_only,15.0,183527,183512.47579325482,zerr,1.2068640057957682,0.0025753970556221216,139.2647874571122,-36.49726447216603,4.2761468709632435,0.1461593429269885,1.0104782090990767,0.24479063342772672,0.43625876325721075,0.4908952566461668,0.4960071122479627,0.4969139992480381,0.49691550313203514,0.8725865876558974,1.0142433445586478,1.126653408427528
zerr_only,20.0,169941,169927.39294649364,zerr,1.207016129819094,0.0026343417063600704,140.08568984045414,-37.64059983365029,4.250572434245969,0.14617836937946557,1.01199542206256,0.4082019285457945,0.4350085425567368,0.49016807859571887,0.4960977452048984,0.4967725794319361,0.4967737741652077,0.8700868206725878,1.0154808454843187,1.1291542852308003
zerr_only,25.0,153651,153639.01291656055,zerr,1.2071065659744404,0.0032309695786836043,145.78851961655698,-33.70887380916756,4.807887342257625,0.14616258502413604,1.010469632988038,0.32323909377741206,0.4007823886436474,0.4914845650873291,0.49632155295701996,0.4994006226964147,0.4994055906030504,0.8016276216097026,1.0112576260763961,1.1969879499574447
zerr_only,30.0,136052,136039.15815772195,zerr,1.2071633214112292,0.003283166531901176,139.7679615403476,-32.08272011844957,4.522518835694252,0.1461579790146,1.011966049702429,0.4755129656499691,0.3890309926195187,0.49106329908670915,0.49598365085415275,0.4997362591690217,0.49974247020440293,0.7781355535428744,1.0122161893690764,1.220324920966532
zerr_only,35.0,118193,118186.49807087993,zerr,1.2070085559976536,0.004095217392635055,146.09124195080847,-25.254684745499965,4.8135012566904,0.14606662040136423,1.0074795362329505,0.250465751360999,0.4079148919240259,0.4925498424913296,0.49710201948933763,0.49993663128679977,0.4999409670235319,0.8158749816088601,1.0094441771814993,1.1771465613714682
gaia_colour_quality,10.0,192357,192283.0919011731,"g,bp_rp",1.2065986262341917,0.0016047715818551277,145.26062404457284,-30.212865982382723,2.6243918200592473,0.14615628984840057,0.6516694866751337,7.930331405327555,0.33642290806831154,0.46602544436048854,0.49890897429239317,0.5062087838506154,0.5064785503677977,0.6731044600921264,1.0542466575388592,1.3117688180504055
gaia_colour_quality,15.0,183527,183442.40131652914,"g,bp_rp",1.2068718099378568,0.0015575633134798067,140.48840801445752,-28.941461888091013,2.473075587592242,0.14619329153040117,0.6111227719732351,7.765098337112096,0.33627934489412536,0.46327077236785286,0.4983617237343,0.5065422426560764,0.5067760125229953,0.6728687443229473,1.0593197968473083,1.3133147499764197
gaia_colour_quality,20.0,169941,169836.33561287314,"g,bp_rp",1.207026331894208,0.0014771210725085637,142.03129297922638,-27.214102068601147,2.2139174393595673,0.14622434066590473,0.5674433804854645,10.743585060294551,0.30626694522200854,0.4572697782846539,0.49876078214811415,0.5085225169993306,0.5088188574914039,0.6129113609549144,1.0681703882951565,1.3714263132414084
gaia_colour_quality,25.0,153651,153584.83570813626,"g,bp_rp",1.2071090642710762,0.002180058320754211,145.9235621456657,-29.524612214814912,3.1289270741250776,0.14619868520701138,0.6818023746799088,4.4340711264037695,0.3443667926500383,0.4646846852269815,0.4987340776448694,0.507141197308024,0.5073491390521392,0.6890302164177209,1.0566742223540264,1.2984038758753644
gaia_colour_quality,30.0,136052,135972.8896438627,"g,bp_rp",1.2071715752162586,0.0019264786898725858,140.667195186483,-27.621595482524597,2.5330752606517377,0.14620538829851915,0.5937959621248213,4.93538275817222,0.34920558804448176,0.4604825219888685,0.4983753760654771,0.5104856855548461,0.5108665965890865,0.6988176114577942,1.0648027817229853,1.2857817918442314
gaia_colour_quality,35.0,118193,118139.68692787412,"g,bp_rp",1.2070115417522633,0.0026620832705336423,146.0673442566842,-24.373624549214462,3.0937080900201126,0.14611277176169224,0.6549089246480783,1.023323301573338,0.3892407156518305,0.46674727836129065,0.49878026090228683,0.511545157773406,0.5120230630216632,0.7788322778233704,1.0554362554654733,1.206465538364534
wise_colour_quality,10.0,192357,192322.73027840658,"w1,w2,w1_w2",1.206594613326061,0.0013479847576643542,144.50465999488384,-34.28981147918525,2.2524978104513638,0.14613617615245578,0.5473928782173164,3.8606194018408235,0.44318716143499143,0.47850211617935917,0.4972208552660348,0.5066664413070187,0.51294441860224,0.8865319389654621,1.0351151437333193,1.1127349101326531
wise_colour_quality,15.0,183527,183491.97960877558,"w1,w2,w1_w2",1.2068701220171993,0.0016639902019929642,139.3967563000358,-33.79576573110036,2.7189093808189595,0.14616922346055966,0.6528802366989157,2.827868351414453,0.4349779508097065,0.475904515730859,0.49715937479988415,0.5034309798807011,0.5071707997181497,0.870121650138266,1.0391078253075323,1.1276957165497197
wise_colour_quality,20.0,169941,169911.44618163968,"w1,w2,w1_w2",1.207024368253101,0.00173640412792159,140.290633237886,-34.51024984422818,2.7399654593915774,0.14618615613351726,0.6670482512062528,3.2984270990610947,0.44337780427695833,0.47788845581939327,0.49697777242109026,0.5034995800320272,0.5073046643510414,0.8885417259234264,1.0360878496858084,1.1134376435765243
wise_colour_quality,25.0,153651,153627.73393018445,"w1,w2,w1_w2",1.2071127494857339,0.002479033720743449,145.49664579360038,-31.907105567052973,3.6326411307769164,0.14616839214379937,0.7753054409708221,2.0386505781139697,0.403635506253361,0.47751293788475246,0.49752453028527654,0.504724025128785,0.5238077162447461,0.8073937136147286,1.0349503838359646,1.1610051000388808
wise_colour_quality,30.0,136052,136035.29770309853,"w1,w2,w1_w2",1.2071715009439539,0.0026766520841271907,139.3949689130056,-30.991475766271403,3.6460375483818597,0.146162252533544,0.8250209088338437,1.4391286259988572,0.44934549233678117,0.4810212362577323,0.4974214559710961,0.5007638810133684,0.5027875885073091,0.898800873417793,1.0308724653376762,1.0998473049901707
wise_colour_quality,35.0,118193,118180.9557657438,"w1,w2,w1_w2",1.2070205123792495,0.0032250098516329027,145.88058651350218,-24.91009792231789,3.7747105847177598,0.1460707571655005,0.7933965692549402,0.46848370874428336,0.41500434997931346,0.48230356027335064,0.49844811824589164,0.5036612466348275,0.5185197570179372,0.8520364990862178,1.028552339165543,1.1701110270946007
pm_error_quality,10.0,192357,191603.9278469245,"pmra_error,pmdec_error",1.2065760702174866,0.0024907772355890596,142.80277079992376,-36.9475130381035,4.213022307721776,0.14641448393422135,1.011460784133554,2.0423451785587514,0.02,0.4236366963784862,0.4968728374619504,0.5680803484299007,0.9783923553053266,0.04338633640880649,1.1455524851582959,1.9677577210028776
pm_error_quality,15.0,183527,182514.15122418365,"pmra_error,pmdec_error",1.206844005733129,0.0025943020334113684,137.36748748216797,-35.39508455574291,4.2686518600053756,0.14656121439449474,1.0178957325670925,1.7849040529784306,0.02,0.4090347547621691,0.49601749098311626,0.5808707072029784,0.98,0.04022368747306894,1.1736068771186605,1.9709606861803761
pm_error_quality,20.0,169941,168841.72465085785,"pmra_error,pmdec_error",1.2069947338583606,0.0026729640732771195,138.29652549810888,-35.64372289840012,4.237412759397223,0.1466565806322228,1.0268323957227765,2.3576205601008193,0.02,0.40159188532464934,0.49611676520414066,0.5876881364585846,0.98,0.04026284686466595,1.1884067989181564,1.9728794963686296
pm_error_quality,25.0,153651,152772.62367610374,"pmra_error,pmdec_error",1.2070895053397435,0.0032797531147652744,143.26480749409157,-32.82577869581282,4.826440472719916,0.1465879564975193,1.0257264407665834,2.193377802914884,0.02,0.40721428320868824,0.4965606204940168,0.5820146589339636,0.98,0.04023048422987886,1.1758803297660205,1.9712937272640625
pm_error_quality,30.0,136052,135040.15966290457,"pmra_error,pmdec_error",1.207163625528273,0.0034186985220206237,137.29995738039207,-30.542313748989567,4.614981302436347,0.14670224489794564,1.053740894601955,2.5932697890568153,0.02,0.3919069541801355,0.49637872243165976,0.5936576606406582,0.98,0.04030286565958481,1.2039888575449984,1.9748404173196539
pm_error_quality,35.0,118193,117544.40320650152,"pmra_error,pmdec_error",1.2069871449496539,0.00416776773345256,144.65496847727962,-24.906484814563658,4.858978984280157,0.14645522520631096,1.025327913184029,1.1799344301514796,0.0341896391184479,0.4074531556528692,0.4969453401630319,0.5812069259475382,0.9675839785060097,0.06519053964922339,1.174970560499024,1.837692040623829
all_catalogue_quality,10.0,192357,191307.94715652333,"zerr,g,bp_rp,w1,w2,w1_w2,pmra_error,pmdec_error",1.2065964817296722,0.0003316339735883393,250.1111432995906,34.64197975069761,0.5843060114479284,0.14653202610914082,0.13467071811087067,121.39046047877764,0.02,0.4029284430651998,0.4983309475752581,0.5829508282605584,0.98,0.04022096285290273,1.1775422678913015,1.9708271797922337
