response_field,template_group,b_cut_deg,N,n_templates,template_names,z_dipole_amp,z_dipole_l_deg,z_dipole_b_deg,raw_colour_amp,raw_colour_l_deg,raw_colour_b_deg,raw_colour_snr,raw_colour_smd_on_z_axis,raw_colour_sep_from_z_dipole_deg,template_r2,resid_colour_amp,resid_colour_l_deg,resid_colour_b_deg,resid_colour_snr,resid_colour_smd_on_z_axis,resid_colour_sep_from_z_dipole_deg,resid_direction_sep_from_raw_deg,resid_amp_ratio_vs_raw
gaia_bp_rp_colour,sfd_dust,15.0,183527,3,ebv_sfd;sfd_log1p;sfd_sq,0.0025486913348822748,138.990621778655,-36.60410263510536,0.08541581196280776,64.81388738577583,-15.285985482015434,19.654322975668883,0.020509687258772898,68.38601457486725,0.11174631622354902,0.06175625522960405,121.72791512008529,11.982219635117964,14.616163882897755,0.023639585664640552,51.235770806265826,62.588518401739826,0.7230072958446419
gaia_bp_rp_colour,quaia_selection_depth,15.0,183527,2,selection_T;random_density_log1p,0.0025486913348822748,138.990621778655,-36.60410263510536,0.08541581196280776,64.81388738577583,-15.285985482015434,19.654322975668883,0.020509687258772898,68.38601457486725,0.08749695398495438,0.07816955325807823,132.4667793878035,1.5039364728137634,17.65562357158799,0.0416980879852836,38.58791995308689,68.91701516732185,0.9151649028650019
gaia_bp_rp_colour,gaia_scanlaw,15.0,183527,4,gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3,0.0025486913348822748,138.990621778655,-36.60410263510536,0.08541581196280776,64.81388738577583,-15.285985482015434,19.654322975668883,0.020509687258772898,68.38601457486725,0.004598406698134827,0.06104206240370832,56.974015845017135,-4.7551506514565665,13.658540246870283,-0.002130924413744268,80.76170177224965,13.050464711370157,0.7146459303142562
gaia_bp_rp_colour,wise_depth,15.0,183527,8,wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio,0.0025486913348822748,138.990621778655,-36.60410263510536,0.08541581196280776,64.81388738577583,-15.285985482015434,19.654322975668883,0.020509687258772898,68.38601457486725,0.007145339390720595,0.07641819364832084,79.95028720742803,-11.564366955241471,17.409639224035214,0.02402491358546831,58.39046444144647,15.180677675082173,0.8946609754362024
gaia_bp_rp_colour,stellar_density,15.0,183527,1,gaia_dr3_density_hpx4_log1p,0.0025486913348822748,138.990621778655,-36.60410263510536,0.08541581196280776,64.81388738577583,-15.285985482015434,19.654322975668883,0.020509687258772898,68.38601457486725,0.019171751166297768,0.11150798851441979,127.40918985321187,-8.844392064882117,24.496692944832116,0.06538537499291537,29.68527159489866,61.36393700731868,1.3054724406644198
gaia_bp_rp_colour,dust_selection_scanlaw,15.0,183527,9,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3,0.0025486913348822748,138.990621778655,-36.60410263510536,0.08541581196280776,64.81388738577583,-15.285985482015434,19.654322975668883,0.020509687258772898,68.38601457486725,0.11188940873075881,0.05759067738978599,121.52361744507287,15.849578130577337,13.836939883599372,0.01812904343900312,54.98478850397282,64.06630205048036,0.6742390672919254
gaia_bp_rp_colour,wise_depth_stellar_density,15.0,183527,9,wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p,0.0025486913348822748,138.990621778655,-36.60410263510536,0.08541581196280776,64.81388738577583,-15.285985482015434,19.654322975668883,0.020509687258772898,68.38601457486725,0.02126979936894935,0.11293061057626962,128.29320256122745,-6.547874006280425,24.73528383793454,0.06339771674551173,31.6057866517808,62.743317021556024,1.322127694875072
gaia_bp_rp_colour,all_external_templates,15.0,183527,18,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p,0.0025486913348822748,138.990621778655,-36.60410263510536,0.08541581196280776,64.81388738577583,-15.285985482015434,19.654322975668883,0.020509687258772898,68.38601457486725,0.11274712223533434,0.045157470148376164,103.99722009767308,19.006815053490843,11.092692562718565,0.008542746116729059,64.68497269953285,51.60501089533443,0.5286781113552943
gaia_bp_rp_colour,sfd_dust,20.0,169941,3,ebv_sfd;sfd_log1p;sfd_sq,0.0026031162285140705,139.59239537836882,-37.760148733138635,0.07822374654342364,63.931902139488066,-17.90733139802458,17.054534926481423,0.022823415903913572,68.00028280217603,0.09319155635897736,0.06127626858008069,124.0729769360827,9.96030413294819,13.319876241589391,0.021886592197825093,49.88242960608523,65.57993061137182,0.7833461229840858
gaia_bp_rp_colour,quaia_selection_depth,20.0,169941,2,selection_T;random_density_log1p,0.0026031162285140705,139.59239537836882,-37.760148733138635,0.07822374654342364,63.931902139488066,-17.90733139802458,17.054534926481423,0.022823415903913572,68.00028280217603,0.07200631253173018,0.07007603887275114,129.68667391263756,0.6779550936809989,14.65317790518481,0.03511712547837585,39.51165657735708,67.22683216637017,0.895840994190306
