control_group,b_cut_deg,N,n_templates,template_names,amp,l_deg,b_deg,formal_snr,rms_resid
sfd_selection_gaia_external,35.0,118193,9,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3,0.0036224307602824306,182.74054731129277,-9.882219528526461,3.603281671867252,0.14604542511668733
local_catalog_quality_proxy,15.0,183527,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0028227371796962913,44.51314088182917,-39.364047303399616,6.224830048934173,0.11641576642575567
local_catalog_quality_proxy,20.0,169941,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0024622293952087496,42.29569002724803,-47.33062316812152,5.497371577121904,0.1163102020612713
local_catalog_quality_proxy,25.0,153651,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.002235028946434272,91.88946102742344,-58.38229200593652,5.090045733150846,0.11629979051982846
local_catalog_quality_proxy,30.0,136052,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.002275585574782747,105.86595141512204,-51.37780352735557,4.743944489775502,0.11626351430897884
local_catalog_quality_proxy,35.0,118193,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0030288899987041935,120.1811428312219,-35.578379336444485,5.0815986515912765,0.11623216072037744
all_available_templates,15.0,183527,16,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.000887377028477275,143.56591758469483,-17.809702905343624,1.5105849235386057,0.11596520877003426
all_available_templates,20.0,169941,16,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0008863430447897783,177.20762871337098,-14.571774787472801,1.5151307805655105,0.11593409668045354
all_available_templates,25.0,153651,16,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.00181312476590691,190.68835791416492,-6.284816310142495,2.8281378616821207,0.11600283916608554
all_available_templates,30.0,136052,16,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0018433539891956835,191.3571384242873,-5.5819147949150745,2.5846597924344787,0.11602901886704169
all_available_templates,35.0,118193,16,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.002392185521180418,190.41496398365373,-4.45119384251634,2.922021849883038,0.1160558874281373
