control_group,b_cut_deg,N,n_templates,template_names,amp,l_deg,b_deg,formal_snr,rms_resid
sfd_selection_scanlaw_external,30.0,136052,9,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3,0.0027046599061827698,172.26861322907536,-17.60685344792081,3.1114157384992516,0.14613466299289082
sfd_selection_scanlaw_external,35.0,118193,9,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3,0.0036224307602824306,182.74054731129277,-9.882219528526461,3.603281671867252,0.14604542511668733
all_external_wise_stellar,15.0,183527,18,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p,0.002109369048406887,150.42897293078056,-25.47921110667603,2.7816846805170417,0.14614373696656563
all_external_wise_stellar,20.0,169941,18,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p,0.0023872810433706987,153.73308536913004,-23.649889932312842,2.9498704987171824,0.14616200073870228
all_external_wise_stellar,25.0,153651,18,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p,0.003078098707921912,166.70591675433448,-16.444338750861593,3.531270095504433,0.1461437524132292
all_external_wise_stellar,30.0,136052,18,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p,0.0029965775081640294,170.52109810953127,-14.455005659336134,3.1447529631443225,0.1461362360952397
all_external_wise_stellar,35.0,118193,18,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p,0.0038416246277953453,182.67345435037774,-8.358310963277464,3.555337322154928,0.1460476092376955
local_catalog_quality_proxy,15.0,183527,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0028227371796962913,44.51314088182917,-39.364047303399616,6.224830048934173,0.11641576642575567
local_catalog_quality_proxy,20.0,169941,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0024622293952087496,42.29569002724803,-47.33062316812152,5.497371577121904,0.1163102020612713
local_catalog_quality_proxy,25.0,153651,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.002235028946434272,91.88946102742344,-58.38229200593652,5.090045733150846,0.11629979051982846
local_catalog_quality_proxy,30.0,136052,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.002275585574782747,105.86595141512204,-51.37780352735557,4.743944489775502,0.11626351430897884
local_catalog_quality_proxy,35.0,118193,7,zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0030288899987041935,120.1811428312219,-35.578379336444485,5.0815986515912765,0.11623216072037744
all_external_plus_local_quality,15.0,183527,25,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0013885854759625262,150.6546664822562,-10.114952966461294,2.2367262639640426,0.11596481543655969
all_external_plus_local_quality,20.0,169941,25,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0015103690254230234,170.47757432037835,-6.901162870153691,2.328899287453625,0.1159331828759675
all_external_plus_local_quality,25.0,153651,25,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0025797470766197486,181.0179386828619,-3.143530535158059,3.6654332908587333,0.11600118152053888
all_external_plus_local_quality,30.0,136052,25,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.002629197618909439,183.70469649044279,-2.9164493997789336,3.379063709835248,0.11602894280923993
all_external_plus_local_quality,35.0,118193,25,ebv_sfd;sfd_log1p;sfd_sq;selection_T;random_density_log1p;gaia_scan_count_log1p_dr3;gaia_scan_angle_cos2_mean_dr3;gaia_scan_angle_sin2_mean_dr3;gaia_scan_angle_resultant_dr3;wise_w1_medcov_log1p;wise_w2_medcov_log1p;wise_w1_mincov;wise_w2_mincov;wise_w1_lowcov_log1p;wise_w2_lowcov_log1p;wise_w1_w2_medcov_diff;wise_w1_w2_medcov_ratio;gaia_dr3_density_hpx4_log1p;zerr;g;w1;w2;w1_w2;pmra_error;pmdec_error,0.0030337365512712994,186.9085062335269,-2.528919660274912,3.441194730244391,0.11605617399602193
