label,n_bcuts,N_min,N_max,amp_mean,amp_min,amp_max,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score,amp_ratio_vs_baseline,snr_delta_vs_baseline,pair_sep_delta_vs_baseline
baseline_no_residualization,5,118193,183527,0.0031316919146581377,0.002548691334885939,0.004064814465559701,4.785199523524105,4.495815963712088,13.472341037422408,0.9960659593901321,3.668176134849447,1.0,0.0,0.0
residual_after_sfd_selection_gaia,5,118193,183527,0.002521461826518051,0.0018957350369814537,0.0035168628427735653,3.546479704736447,3.1401512041112807,22.111835720880435,0.9898594726765543,2.3538805364302293,0.8051436396780107,-1.2387198187876582,8.639494683458027
residual_after_all_available_proxy_stack,5,118193,183527,0.0014885231715952847,0.0007550430112010314,0.002296301451221554,2.8718000979506924,2.217526085348156,35.479438493176666,0.9715223727947289,1.5600358848370726,0.4753095809418964,-1.913399425573413,22.007097455754256
