response_field,template,first_template_group,N,corr_response_template,abs_corr_response_template,corr_z_template
gaia_bp_rp_colour,sfd_log1p,sfd_dust,183527,0.3314770213145671,0.3314770213145671,0.0014502094487639345
gaia_bp_rp_colour,ebv_sfd,sfd_dust,183527,0.32399637996018227,0.32399637996018227,0.0011919544297223574
gaia_bp_rp_colour,random_density_log1p,quaia_selection_depth,183527,-0.2957852566223889,0.2957852566223889,0.00025123308612096497
gaia_bp_rp_colour,gaia_dr3_density_hpx4_log1p,stellar_density,183527,0.13846209288573275,0.13846209288573275,-0.0015646978606454664
gaia_bp_rp_colour,sfd_sq,sfd_dust,183527,0.11937135899695417,0.11937135899695417,-0.0006831201033645756
gaia_bp_rp_colour,wise_w1_lowcov_log1p,wise_depth,183527,0.07756974770559019,0.07756974770559019,-0.00328039257593078
gaia_bp_rp_colour,wise_w2_mincov,wise_depth,183527,-0.05137328585403461,0.05137328585403461,-0.0005206539530416209
gaia_bp_rp_colour,gaia_scan_count_log1p_dr3,gaia_scanlaw,183527,-0.048599314777843614,0.048599314777843614,0.0074295893233963465
gaia_bp_rp_colour,gaia_scan_angle_cos2_mean_dr3,gaia_scanlaw,183527,0.047464440610752966,0.047464440610752966,-0.002481451012708525
gaia_bp_rp_colour,wise_w1_mincov,wise_depth,183527,-0.04394329709755293,0.04394329709755293,-0.000284962695504812
gaia_bp_rp_colour,gaia_scan_angle_sin2_mean_dr3,gaia_scanlaw,183527,-0.02732023667017597,0.02732023667017597,-0.007713753131258382
gaia_bp_rp_colour,selection_T,quaia_selection_depth,183527,0.027065507034372483,0.027065507034372483,-0.009486669369671366
gaia_bp_rp_colour,wise_w1_medcov_log1p,wise_depth,183527,-0.018213380215691684,0.018213380215691684,0.003873957320583741
gaia_bp_rp_colour,wise_w2_medcov_log1p,wise_depth,183527,-0.018101698737925026,0.018101698737925026,0.0035159811535127984
gaia_bp_rp_colour,gaia_scan_angle_resultant_dr3,gaia_scanlaw,183527,0.004918128082732976,0.004918128082732976,0.00013433775649839967
gaia_bp_rp_colour,wise_w1_w2_medcov_ratio,wise_depth,183527,0.004024946225358392,0.004024946225358392,0.001964796089959262
gaia_bp_rp_colour,wise_w2_lowcov_log1p,wise_depth,183527,0.0029846270057878304,0.0029846270057878304,-0.0015315634961094225
gaia_bp_rp_colour,wise_w1_w2_medcov_diff,wise_depth,183527,-0.0013522004818457328,0.0013522004818457328,0.0017402428780228072
gaia_wise_colour_cross,ebv_sfd,sfd_dust,183527,0.04542308483320948,0.04542308483320948,0.0011919544297223574
gaia_wise_colour_cross,sfd_log1p,sfd_dust,183527,0.04313815921620685,0.04313815921620685,0.0014502094487639345
gaia_wise_colour_cross,random_density_log1p,quaia_selection_depth,183527,-0.03841023088131631,0.03841023088131631,0.00025123308612096497
gaia_wise_colour_cross,sfd_sq,sfd_dust,183527,0.02685696140333645,0.02685696140333645,-0.0006831201033645756
gaia_wise_colour_cross,gaia_scan_angle_cos2_mean_dr3,gaia_scanlaw,183527,0.004834356952316028,0.004834356952316028,-0.002481451012708525
gaia_wise_colour_cross,gaia_dr3_density_hpx4_log1p,stellar_density,183527,-0.004698909687823148,0.004698909687823148,-0.0015646978606454664
gaia_wise_colour_cross,gaia_scan_angle_sin2_mean_dr3,gaia_scanlaw,183527,0.0018427261716608,0.0018427261716608,-0.007713753131258382
gaia_wise_colour_cross,wise_w1_medcov_log1p,wise_depth,183527,0.0018300726981163211,0.0018300726981163211,0.003873957320583741
gaia_wise_colour_cross,wise_w2_medcov_log1p,wise_depth,183527,0.001786747039813692,0.001786747039813692,0.0035159811535127984
gaia_wise_colour_cross,wise_w2_mincov,wise_depth,183527,0.0016130307025726247,0.0016130307025726247,-0.0005206539530416209
