comparison,n_bcuts,N_min,N_max,mean_delta_bic_full_minus_restricted,max_delta_bic_full_minus_restricted,min_delta_bic_full_minus_restricted,mean_partial_r2,max_full_dipole_snr,mean_amp_ratio_vs_raw_dipole,max_direction_sep_vs_raw_dipole_deg,bic_readout
dipole_added_to_all_external_colour,5,118193,183527,21.720464917825304,25.91762428774382,18.18044533356442,9.062659063967527e-05,4.263709809870461,0.8352094365487079,110.64199406939879,restricted model favoured
dipole_added_to_scanlaw_colour,5,118193,183527,16.723069515771932,24.70086610710132,8.367019876430277,0.0001221599578705934,5.290915649374015,1.1294703541827813,94.68029968183035,restricted model favoured
dipole_added_to_scanlaw_colour_quality,5,118193,183527,22.265456435148373,28.170369426341495,17.690688729577232,8.594375415096333e-05,4.320750245429476,0.7418651941965836,119.67577138214322,restricted model favoured
dipole_only_vs_null,5,118193,183527,15.490378429825068,18.450109186553163,12.143530985093093,0.00013825764083610358,4.785199523524725,1.0,0.0,restricted model favoured
