tag,mask,fwhm,A_eff,l_deg,b_deg,p_perm
SM_real_m0_f6_FR,0,6,0.0011557376488071352,151.60093390443373,-62.96384090607564,0.03596403596403597
SM_real_m10_f6_FR,10,6,0.001122609236314841,108.1596111730512,-73.92540764393492,0.09490509490509491
SM_real_m20_f6_FR,20,6,0.001162771910350478,76.54843977278148,-69.86734419182554,0.13586413586413587
SM_real_m30_f6_FR,30,6,0.0009731771808079051,168.5277681417947,-31.53774544601681,0.2627372627372627
