run_date,frame,datasets,offset_mode,offset_design_note,prior_config,dataset_sigma_mag,survey_sigma_mag,model,family,H0,param_name,param_value,k_base,N,raw_chi2,data_chi2_map,prior_chi2,posterior_objective,logdet_random_effect,marginal_score,AIC_base,BIC_base,chi2_dof_base,profiled_rms_mag,max_abs_offset_pull_sigma,method,success
2026-07-16T20:19:06,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_025mmag_ds050,0.05,0.025,LCDM_Omfree_H0fixed675,lcdm,67.5,Om,0.4326418312588249,1,3422,4661.160353353434,3194.6001492604564,218.12145923261357,3412.72160849307,27.192447521096426,3439.9140560141664,3441.9140560141664,3448.0520364686186,0.9338205639463479,0.22409212981845733,5.954656491623279,minimize_Om,True
2026-07-16T20:19:06,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_050mmag_ds100_stress,0.1,0.05,FR_C1PZ_ALPHA0_H0fixed675,fr_c1pz_alpha0,67.5,,,0,3422,4227.901691317376,3108.4965657100574,75.51046431698737,3184.007030027045,48.221413535664695,3232.22844356271,3232.22844356271,3232.22844356271,0.9083859046493447,0.22350391648824675,3.137134678972725,fixed,True
2026-07-16T20:19:06,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_050mmag_ds100_stress,0.1,0.05,LCDM_Om03_H0fixed675,lcdm,67.5,Om,0.3,0,3422,6281.802859923864,3055.4490608112246,142.71100268895464,3198.160063500179,48.221413535664695,3246.381477035844,3246.381477035844,3246.381477035844,0.8928840037437827,0.22267117897299757,4.224687143641468,fixed,True
2026-07-16T20:19:06,HD,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_050mmag_ds100_stress,0.1,0.05,LCDM_Omfree_H0fixed675,lcdm,67.5,Om,0.3580690562909316,1,3422,5259.638056259606,3061.0917021217274,116.54011182775794,3177.631813949485,48.221413535664695,3225.85322748515,3227.85322748515,3233.991207939602,0.8947944174573889,0.22227157401189424,3.6333954205102814,minimize_Om,True
2026-07-16T20:19:09,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,no nuisance offsets,none,0.0,0.0,FR_C1PZ_ALPHA0_H0fixed675,fr_c1pz_alpha0,67.5,,,0,3418,4173.705514868556,4173.705514868556,0.0,4173.705514868556,0.0,4173.705514868556,4173.705514868556,4173.705514868556,1.2210958206168976,0.23789729036223206,,fixed,True
2026-07-16T20:19:09,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,no nuisance offsets,none,0.0,0.0,LCDM_Om03_H0fixed675,lcdm,67.5,Om,0.3,0,3418,6267.4337241877465,6267.4337241877465,0.0,6267.4337241877465,0.0,6267.4337241877465,6267.4337241877465,6267.4337241877465,1.8336552733141447,0.2534745527702481,,fixed,True
2026-07-16T20:19:09,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,none,no nuisance offsets,none,0.0,0.0,LCDM_Omfree_H0fixed675,lcdm,67.5,Om,0.465842674822967,1,3418,4561.81223849761,4561.81223849761,0.0,4561.81223849761,0.0,4561.81223849761,4563.81223849761,4569.949049361286,1.3350343103592657,0.24010188323007783,,minimize_Om,True
2026-07-16T20:19:09,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_010mmag_ds020,0.02,0.01,FR_C1PZ_ALPHA0_H0fixed675,fr_c1pz_alpha0,67.5,,,0,3418,4173.705514868556,3493.9032048285017,229.52121544708038,3723.424420275582,10.071919607670395,3733.4963398832524,3733.4963398832524,3733.4963398832524,1.022206906035255,0.2293883133530205,8.204487686531156,fixed,True
2026-07-16T20:19:09,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_010mmag_ds020,0.02,0.01,LCDM_Om03_H0fixed675,lcdm,67.5,Om,0.3,0,3418,6267.4337241877465,3852.8059730114815,638.8196142509967,4491.625587262478,10.071919607670395,4501.697506870149,4501.697506870149,4501.697506870149,1.1272106416066359,0.23174786755485915,12.390516425125279,fixed,True
2026-07-16T20:19:09,HEL,PantheonPlusSH0ES+DES_Dovekie_raw+Union3p1_UNITY1p8,dataset+idsurvey,20 nuisance offset columns,budget_010mmag_ds020,0.02,0.01,LCDM_Omfree_H0fixed675,lcdm,67.5,Om,0.5283670330914357,1,3418,4750.98008420662,3596.8998084220657,249.05319053345733,3845.952998955523,10.071919607670395,3856.0249185631933,3858.0249185631933,3864.161729426869,1.0526484660292847,0.230450324419472,8.75248202109103,minimize_Om,True
