gate,case_label,frame,offset_mode,prior_config,model,offset_label,offset_type,prior_sigma_mag,offset_mag,pull_sigma,case_datasets,case_z_min,case_max_z
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.01,-0.020925771078116,-2.092577107811601,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.01,-0.0459786498937733,-4.597864989377337,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.01,-0.0723914694226526,-7.23914694226526,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.01,-0.041708341925912,-4.170834192591203,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.01,-0.0450254576812836,-4.502545768128361,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.01,-0.0597589587966489,-5.975895879664893,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.01,-0.0029779855860475,-0.2977985586047586,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.01,-0.030286137746706,-3.02861377467061,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.01,-0.0119020572249057,-1.190205722490575,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.01,-0.0128273014574539,-1.28273014574539,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.01,-0.0111488336414825,-1.1148833641482576,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.01,-0.0292388343954178,-2.923883439541789,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.01,-0.0119875059394932,-1.1987505939493233,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.01,-0.0300717152925904,-3.007171529259044,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.01,-0.0166078787810277,-1.6607878781027765,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.01,-0.0225295237137372,-2.2529523713737274,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.016,-0.1037679198412739,-6.485494990079618,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.016,-0.0869401275720441,-5.433757973252757,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.016,-0.0774479029124132,-4.840493932025829,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.016,-0.107040174114959,-6.690010882184941,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.016,-0.0473340601750968,-2.958378760943556,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.016,-0.0565446090171864,-3.5340380635741533,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.016,-0.0241399293037107,-1.5087455814819206,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.016,-0.0345490678285231,-2.159316739282695,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.016,-0.0229693382766279,-1.435583642289245,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.016,-0.0579054796201293,-3.6190924762580825,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.016,-0.0287645669437499,-1.7977854339843689,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.016,-0.0613232503820051,-3.832703148875322,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.016,-0.0379215255352494,-2.370095345953088,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.016,-0.0689049531614116,-4.30655957258823,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.016,-0.160741591886408,-10.0463494929005,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.016,-0.1609542627912178,-10.059641424451115,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.016,-0.1519996726405247,-9.499979540032797,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.016,-0.1320517586656426,-8.253234916602663,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.016,-0.0990373941713177,-6.189837135707359,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.016,-0.0727329100162091,-4.545806876013073,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.016,-0.0289273594136208,-1.8079599633513013,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.016,-0.0422697124516783,-2.6418570282298965,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.016,-0.0262712869569598,-1.6419554348099918,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.016,-0.069648625443321,-4.353039090207566,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.016,-0.0353809152546778,-2.211307203417363,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.016,-0.0702876403456552,-4.39297752160345,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.016,-0.0442875230494839,-2.767970190592749,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.016,-0.0795392232373762,-4.971201452336016,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.016,-0.0977154499342939,-6.1072156208933706,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.016,-0.0594690763698227,-3.71681727311392,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.016,-0.0603825186998576,-3.773907418741104,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.016,-0.0940858607862101,-5.880366299138134,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.016,-0.0009302899958425,-0.0581431247401622,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.016,-0.0546822389038599,-3.417639931491248,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.016,-0.0241688955230513,-1.5105559701907092,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.016,-0.0286476803931334,-1.7904800245708383,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.016,-0.022393427106957,-1.3995891941848124,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.016,-0.0533542501337598,-3.334640633359988,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.016,-0.0265133983442911,-1.6570873965181991,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.016,-0.0591771375385402,-3.6985710961587626,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.016,-0.0360219005521482,-2.2513687845092627,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_016mmag_ds032,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.016,-0.0395795394140262,-2.47372121337664,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.025,-0.1160693906920105,-4.642775627680422,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.025,-0.1017358138191845,-4.069432552767381,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.025,-0.0873392010961785,-3.493568043847143,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.025,-0.1362509701367175,-5.450038805468702,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.025,-0.0632647706222475,-2.530590824889901,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.025,-0.0852280343572225,-3.4091213742889,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.025,-0.0434156643487788,-1.7366265739511548,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.025,-0.0623478788634296,-2.493915154537184,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.025,-0.0421639086945278,-1.6865563477811156,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.025,-0.0870331542349724,-3.4813261693988986,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.025,-0.0530761765731018,-2.1230470629240745,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.025,-0.097294268882519,-3.8917707553007608,pantheon,0.01,
dataset_combo,pantheon_only,HD,dataset+idsurvey,budget_025mmag_ds050,FR_C1PZ_ALPHA0_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.025,-0.0684696383673713,-2.738785534694853,pantheon,0.01,
