frame,offset_mode,prior_config,model,offset_label,offset_type,prior_sigma_mag,offset_mag,pull_sigma
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.01,-0.039965638516049944,-3.996563851604994
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.01,-0.01676438168243128,-1.676438168243128
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.01,-0.03620212973797519,-3.6202129737975186
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.01,-0.020925770511979868,-2.0925770511979866
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,Union3p1_UNITY1p8,dataset,0.02,-0.07709632716043381,-3.8548163580216905
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,DES_Dovekie_raw:IDSURVEY_OTHER,survey,0.01,-0.007827463466110738,-0.7827463466110738
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Om03_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.01,-0.045978646452477796,-4.597864645247779
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_10,survey,0.01,0.04223715902505487,4.223715902505487
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_150,survey,0.01,-0.00641655084147528,-0.641655084147528
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_64,survey,0.01,-0.002772011737966891,-0.2772011737966891
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_65,survey,0.01,-0.003786411070819838,-0.3786411070819838
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_1,survey,0.01,-0.08292783332256792,-8.292783332256793
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_10,survey,0.01,-0.05643517433578937,-5.643517433578937
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_15,survey,0.01,-0.05938769329347173,-5.938769329347173
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_150,survey,0.01,-0.06539015996232526,-6.539015996232527
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_4,survey,0.01,-0.01442252316427298,-1.442252316427298
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_5,survey,0.01,-0.03322328990439934,-3.3223289904399342
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_50,survey,0.01,-0.012567232185232846,-1.2567232185232846
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_51,survey,0.01,-0.014409303606628933,-1.4409303606628932
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_56,survey,0.01,-0.01183506661669767,-1.183506661669767
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_57,survey,0.01,-0.03159148155853645,-3.159148155853645
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_63,survey,0.01,-0.013036516576772302,-1.3036516576772301
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_64,survey,0.01,-0.03143535407491552,-3.1435354074915516
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_65,survey,0.01,-0.01756697836495209,-1.756697836495209
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,Union3p1_UNITY1p8,dataset,0.02,0.08024194487473756,4.012097243736878
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,DES_Dovekie_raw:IDSURVEY_OTHER,survey,0.01,-0.005288399329043416,-0.5288399329043416
HD,dataset+idsurvey,budget_010mmag_ds020,LCDM_Omfree_H0fixed675,PantheonPlusSH0ES:IDSURVEY_OTHER,survey,0.01,-0.027411194740086176,-2.7411194740086176
HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,DES_Dovekie_raw:IDSURVEY_10,survey,0.016,0.014564618416075328,0.910288651004708
HD,dataset+idsurvey,budget_016mmag_ds032,FR_C1PZ_ALPHA0_H0fixed675,DES_Dovekie_raw:IDSURVEY_150,survey,0.016,-0.01378234818198641,-0.8613967613741507
