target_abs_residual_correlation,injected_standardised_beta,replicates,median_recovered_rho,rho_q025,rho_q975,p_component_recovery,median_cv_rmse_fractional_improvement,cv_component_recovery,sign_component_recovery,joint_primary_recovery
0.0,0.0,5000,-0.010926573426573428,-0.29852491258741254,0.278937937062937,0.0326,-0.009486783075776151,0.0062,0.8464,0.0054
0.1,-0.10050378152592121,5000,-0.13568618881118882,-0.4052545891608391,0.1539838286713286,0.1048,-0.0066004079063499855,0.0228,0.8816,0.021
0.2,-0.20412414523193154,5000,-0.25432692307692306,-0.5083479020979021,0.024271197552447346,0.3228,0.009260699096630368,0.1422,0.957,0.1334
0.3,-0.3144854510165755,5000,-0.3629807692307693,-0.5870629370629371,-0.10297202797202797,0.6392,0.040248433998815274,0.4112,0.9898,0.3974
0.307254,-0.32287211782465064,5000,-0.3698863636363636,-0.5922650786713286,-0.11405703671328696,0.6624,0.04269983058781571,0.434,0.9914,0.4208
0.4,-0.4364357804719848,5000,-0.4626966783216783,-0.6579108391608391,-0.23019230769230845,0.892,0.08398544533040891,0.7472,0.998,0.7368
0.5,-0.5773502691896258,5000,-0.5527097902097902,-0.721638986013986,-0.3503015734265735,0.9902,0.14334669295015184,0.9402,1.0,0.9374
0.6,-0.7499999999999999,5000,-0.6364291958041959,-0.7772312062937063,-0.4615690559440561,0.9998,0.21638834163011003,0.9942,1.0,0.994
