ra_deg,dec_deg,z,DH_over_rd,DM_over_rd,kind,l_deg,b_deg
31.3628,6.880880000000001,5.75717162501487e-15,,,BAO,153.3835751107009,-51.56115008981535
31.3628,6.9510930612244906,1.0189616059380364e-14,,,BAO,153.33233329319555,-51.49859071022384
31.682828571428573,6.880880000000001,1.2614792646648991e-14,,,BAO,153.83733286536417,-51.41582751427877
31.3628,7.02130612244898,1.8796559651856416e-14,,,BAO,153.2812319764857,-51.43600906510784
31.682828571428573,6.9510930612244906,2.2201897586578183e-14,,,BAO,153.78556703459762,-51.35348839238766
32.002857142857145,6.880880000000001,2.6281859122332775e-14,,,BAO,154.28803927365277,-51.268576042401854
31.3628,7.09151918367347,3.611209885079506e-14,,,BAO,153.23027051161472,-51.373405265173346
31.682828571428573,7.02130612244898,4.0750885388895087e-14,,,BAO,153.7339419111149,-51.29112652044038
32.002857142857145,6.9510930612244906,4.605295913956347e-14,,,BAO,154.2357624011396,-51.20645834439476
32.32288571428571,6.880880000000001,5.2299629427822315e-14,,,BAO,154.73568994569234,-51.11941777924363
31.3628,7.1617322448979595,7.233659137062413e-14,,,BAO,153.17944825312568,-51.310779420454736
31.682828571428573,7.09151918367347,7.800473726197122e-14,,,BAO,153.68245685105984,-51.228742010777424
32.002857142857145,7.02130612244898,8.42300533351615e-14,,,BAO,154.18362638003825,-51.14431741782935
32.32288571428571,6.9510930612244906,9.138622484860832e-14,,,BAO,154.68291487655418,-51.057522589144575
47.0442,10.32132,9.955059857982049e-14,,,BAO,169.10659731625148,-39.987022417962926
32.64291428571428,6.880880000000001,9.99524290858085e-14,,,BAO,155.18028177820347,-50.968374777077095
46.72417142857143,10.32132,1.3515904230215378e-13,,,BAO,168.79417807568421,-40.191970046371175
31.3628,7.2319453061224515,1.5098340794191669e-13,,,BAO,153.12876455904092,-51.248131640319514
31.682828571428573,7.1617322448979595,1.5581417171183946e-13,,,BAO,153.63111121399953,-51.16633497506405
32.002857142857145,7.09151918367347,1.608583946750387e-13,,,BAO,154.1316305718961,-51.082153376617065
32.32288571428571,7.02130612244898,1.6683803061465193e-13,,,BAO,154.63028074231215,-50.995603698307434
32.64291428571428,6.9510930612244906,1.744609962729191e-13,,,BAO,155.1270212251654,-50.90670309824549
32.962942857142856,6.880880000000001,1.844025466462526e-13,,,BAO,155.62181291832462,-50.81546902574063
46.40414285714285,10.32132,1.881773357230577e-13,,,BAO,168.4796013179005,-40.39583240868127
47.0442,10.251106938775512,2.442936832677441e-13,,,BAO,169.16645195252232,-40.040204840633656
46.08411428571428,10.32132,2.689599618245949e-13,,,BAO,168.16285108067368,-40.598595841826224
32.32288571428571,7.09151918367347,3.1842461834712473e-13,,,BAO,154.57778691020133,-50.933661222150555
