Galaxy,test,outcome,environment_score,outcome_crossfit_residual,environment_crossfit_residual,baseline_prediction,augmented_prediction
D512-2,primary_10_40_mpc__combined__group_richness,0.0130577872276376,0.0,0.009115504258864418,-0.25598319694663774,0.0039422829687731815,0.004388032209269699
DDO170,primary_10_40_mpc__combined__group_richness,0.0058285301174668,0.6931471805599453,0.004536105050487448,0.5528718192773249,0.0012924250669793524,4.9366411619985724e-05
ESO079-G014,primary_10_40_mpc__combined__group_richness,-0.0022941255793678,0.0,0.023459616990497614,-1.4951066261730959,-0.025753742569865415,-0.02621609928257798
ESO116-G012,primary_10_40_mpc__combined__group_richness,0.0028231842951854,0.0,0.0015282514990240526,-0.21114822426486146,0.0012949327961613473,0.001607137108473675
F583-1,primary_10_40_mpc__combined__group_richness,-0.0069192006423584,0.0,0.027131709975820578,0.11106227159037774,-0.03405091061817898,-0.034177469186802575
NGC0100,primary_10_40_mpc__combined__group_richness,-0.0002262561209041,0.0,-0.0010833153860378359,-0.03139265149633341,0.0008570592651337358,0.0008928320706218787
NGC0289,primary_10_40_mpc__combined__group_richness,0.0162453227572061,2.3978952727983707,0.004873613631756486,-0.1331602232064908,0.011371709125449613,0.0113305297727613
NGC1003,primary_10_40_mpc__combined__group_richness,-0.0143743591708144,0.0,-0.013857800789124597,0.02779091537536682,-0.0005165583816898029,-0.0006073353244529442
NGC1090,primary_10_40_mpc__combined__group_richness,0.0045536540626682,1.6094379124341005,0.03385040515286812,0.07409087762136268,-0.029296751090199923,-0.02946333456126705
NGC3198,primary_10_40_mpc__combined__group_richness,0.0083931943487017,0.0,0.005524717948512585,-1.0492789941860527,0.0028684764001891162,0.0025439903883038057
NGC3726,primary_10_40_mpc__combined__group_richness,-0.0168182922864829,0.0,-0.01082467333885383,-3.0771065868611345,-0.005993618947629069,0.0009248454104583179
NGC3769,primary_10_40_mpc__combined__group_richness,0.0146370274639115,2.8903717578961645,0.005630699436528318,0.5348363531129046,0.009006328027383182,0.008075005577184605
NGC3877,primary_10_40_mpc__combined__group_richness,0.0061951246354418,2.8903717578961645,0.001563838416073258,0.16831966003986754,0.004631286219368542,0.005149961682925982
NGC3893,primary_10_40_mpc__combined__group_richness,0.0372388766928558,2.8903717578961645,0.026996861880173622,-0.4426847179316997,0.010242014812682176,0.010746466445542786
NGC3917,primary_10_40_mpc__combined__group_richness,-4.8813673213200953e-05,3.1780538303479458,0.007391162110441367,1.03362438887019,-0.007439975783654568,-0.008842702480111193
NGC3949,primary_10_40_mpc__combined__group_richness,0.0089469514173621,2.8903717578961645,-0.0023228074346811466,-0.19558044413161957,0.011269758852043246,0.010667079536396387
NGC3953,primary_10_40_mpc__combined__group_richness,-0.0213419831347684,3.1780538303479458,-0.021513098614884832,0.07606087249884341,0.00017111548011643067,8.444198592374736e-05
NGC3972,primary_10_40_mpc__combined__group_richness,-0.001247662127434,2.833213344056216,0.00400093926582921,0.8779112572487897,-0.00524860139326321,-0.0063878741447143846
NGC3992,primary_10_40_mpc__combined__group_richness,-0.0115282985626755,3.1780538303479458,0.009560515245749416,0.6314886073605739,-0.021088813808424915,-0.022188438980978182
NGC4010,primary_10_40_mpc__combined__group_richness,0.0022847287541844,2.8903717578961645,0.02502620294200695,1.4221196179925086,-0.02274147418782255,-0.02738672136378529
