Galaxy,Q,D_Mpc,resolved,ra_deg,dec_deg,central_cz_kms,abs_gal_b_deg,matched,match_rule,match_ambiguous,catalogue_member_name,member_pgc,group_pgc1,match_separation_arcmin,match_velocity_offset_kms,catalogue_member_hrv_kms,catalogue_member_vls_kms,group_richness,group_companions,group_richness_score,grouped_indicator,group_log_mass_luminosity,group_log_mass_dynamical,group_distance_mpc,group_r2t_mpc,shifted_group_richness_score,shifted_group_log_mass_luminosity,shifted_nearest_group_separation_deg,shifted_group_pgc1,T,D_Mpc_host,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q_host,Ref,bulge_proxy,n_points,has_bulge,frac_distance_error,log_L36,log_SBeff,log_MHI,log_Vflat,log_n_points,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
UGC03546,1,28.7,True,102.5360418,60.8457995,1840.0000001061271,23.313914653431528,True,name_coordinate_velocity,False,NGC2273,19688,19688,0.0201618083104186,1.0612711776047945e-07,1840.0,1982.0,2.0,1.0,0.6931471805599453,1.0,12.403,12.35,,0.293,0.0,10.662,0.6209675049588925,43197.0,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",0.4546538163240125,30,True,0.2508710801393728,2.0057637575408704,3.3808296708221524,0.4273237863572472,2.2942457161381182,1.4771212547196624,combined_conventional,30,True,True,3.925664930766224,3.976196194884548,0.0505312641183235,0.0016843754706107,0.0016829585011637
UGC04499,1,12.5,True,129.42284,51.652473,691.02161569,37.19549124505344,True,name_coordinate_velocity,False,UGC04499,24242,24242,0.0049166188956646,0.978384310000024,692.0,764.0,1.0,0.0,0.0,0.0,11.025,,,0.102,0.6931471805599453,10.724,1.964985430998225,52966.0,8,12.5,3.75,1,50.0,3.0,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,"Sw09,Sw02",0.0,9,False,0.3,0.19089171692216964,1.5287881917748962,0.04139268515822508,1.8621313793130372,0.9542425094393249,combined_conventional,9,True,True,3.1365201310219586,3.151851368517868,0.0153312374959093,0.0017034708328788,0.0017020215720551
UGC05253,2,22.9,True,147.592625,72.27863889,1323.8834945279998,38.68283424932592,True,name_coordinate_velocity,False,NGC2985,28316,28316,0.0158320550332151,1.883494527999801,1322.0,1495.0,4.0,3.0,1.3862943611198906,1.0,12.483,12.029,16.52,0.311,0.0,10.735,3.140567440254003,91421.0,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",0.7752166217319798,73,True,0.2497816593886463,2.2344717257580173,3.172830525928742,1.2147379096444642,2.3298045221640695,1.863322860120456,combined_conventional,73,True,True,39.73086289731849,40.02699707572812,0.2961341784096305,0.0040566325809538,0.0040484266318663
UGC05716,2,21.3,True,157.9303053,25.3078291,1277.1158710799998,58.711192705219545,True,name_coordinate_velocity,False,UGC05716,31081,31081,0.0146743959063788,0.1158710799998061,1277.0,1204.0,1.0,0.0,0.0,0.0,10.537,,,0.07,0.0,10.241,0.7004831549796269,4007009.0,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,0.0,12,False,0.2488262910798122,-0.23062267392386154,1.4407517004791854,0.039017321997412,1.8639173769578605,1.0791812460476249,combined_conventional,12,True,True,2.7133517530280598,2.6798245207859868,-0.0335272322420725,-0.0027939360201727,-0.0027900402356251
UGC06399,1,18.0,True,170.84676,50.892712,791.4521131033966,60.96052244663674,True,name_coordinate_velocity,False,UGC06399,34971,34971,0.0023822007940689,13.54788689660336,805.0,881.0,1.0,0.0,0.0,0.0,11.017,,21.48,0.101,0.0,11.025,1.2404499598886969,60052.0,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",0.0,9,False,0.1388888888888889,0.36097188372593586,1.4888326343824005,-0.17134010346468015,1.9294189257142926,0.9542425094393249,combined_conventional,9,True,True,1.5977339067106666,1.5738027066581062,-0.0239312000525604,-0.0026590222280622,-0.0026554932827693
UGC06446,1,12.0,True,171.6685962,53.7469469,646.05274699,59.13970907348087,True,name_coordinate_velocity,False,UGC06446,35202,35202,0.0148146135554469,2.052746989999946,644.0,736.0,1.0,0.0,0.0,0.0,10.855,,20.8,0.089,0.0,11.1,3.747422841989522,60931.0,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",0.0,17,False,0.3,-0.005243055412371883,1.568788212315347,0.13956426617584977,1.9148718175400503,1.2304489213782739,combined_conventional,17,True,True,5.218589248408579,5.123416406865702,-0.0951728415428769,-0.0055984024436986,-0.0055827896328322
UGC06628,2,15.1,True,175.0241,45.9428,849.0122410559999,66.46617123458411,True,name_coordinate_velocity,False,UGC06628,36188,36188,0.1544899250299453,0.9877589440001202,850.0,905.0,7.0,6.0,1.9459101490553128,1.0,11.25,11.47,,0.121,0.6931471805599453,10.603,5.284234210205514,167108.0,9,15.1,4.53,1,20.0,10.0,3.739,0.076,4.14,34.74,2.82,103.0,1.5,10.47,41.8,6.4,2,"Sw09,Sw02",0.0,7,False,0.30000000000000004,0.5727554651542196,1.5408298141110799,0.17609125905568124,1.6211762817750353,0.8450980400142568,combined_conventional,7,True,True,5.065137746841751,5.075937958792265,0.0108002119505137,0.0015428874215019,0.0015416983935712
UGC06667,1,18.0,True,175.609601,51.598099,973.1263306596984,62.29007490623592,True,name_coordinate_velocity,False,UGC06667,36343,36343,0.0125193336619741,0.8736693403016034,974.0,1059.0,1.0,0.0,0.0,0.0,10.979,,18.28,0.098,0.0,11.1,4.0493977301480895,60931.0,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",0.0,9,False,0.1388888888888889,0.14519640611418191,1.256717745977487,-0.09205147838772766,1.9232440186302764,0.9542425094393249,combined_conventional,9,True,True,11.988460351755805,11.758998110001006,-0.2294622417547973,-0.0254958046394219,-0.0251762074828484
UGC06786,1,29.3,True,177.2893645,27.0220066,1799.953917832,76.14469226317298,True,name_coordinate_velocity,False,NGC3900,36914,36914,0.010872771901078,1.953917831999888,1798.0,1758.0,5.0,4.0,1.6094379124341005,1.0,12.272,12.29,24.89,0.265,0.0,10.581,5.638698776959995,2801038.0,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",0.3857664134132358,45,True,0.24982935153583619,1.865737475671118,2.996831146325563,0.7015679850559274,2.3412366232386925,1.6532125137753437,combined_conventional,45,True,True,21.12641851218151,21.099605038418723,-0.026813473762786,-0.0005958549725063,-0.0005956775214188
UGC06818,2,18.0,True,177.69563,45.807193,808.2404787596982,67.77826817951308,True,name_coordinate_velocity,False,UGC06818,37038,37038,0.0084130453472809,5.759521240301751,814.0,872.0,2.0,1.0,0.6931471805599453,1.0,10.905,9.324,19.59,0.093,0.6931471805599453,10.603,6.702471499947902,167108.0,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,"VS01,SV98",0.0,8,False,0.1388888888888889,0.20085049809107747,1.7488080049586023,0.033021444682910656,1.8524799936368563,0.9030899869919435,combined_conventional,8,True,True,8.78646294867447,8.854023066233887,0.0675601175594167,0.008445014694927,0.0084095550565734
