Galaxy,Q,D_Mpc,resolved,ra_deg,dec_deg,central_cz_kms,abs_gal_b_deg,matched,match_rule,match_ambiguous,catalogue_member_name,member_pgc,group_pgc1,match_separation_arcmin,match_velocity_offset_kms,catalogue_member_hrv_kms,catalogue_member_vls_kms,group_richness,group_companions,group_richness_score,grouped_indicator,group_log_mass_luminosity,group_log_mass_dynamical,group_distance_mpc,group_r2t_mpc,shifted_group_richness_score,shifted_group_log_mass_luminosity,shifted_nearest_group_separation_deg,shifted_group_pgc1,T,D_Mpc_host,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q_host,Ref,bulge_proxy,n_points,has_bulge,frac_distance_error,log_L36,log_SBeff,log_MHI,log_Vflat,log_n_points,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
D512-2,2,15.2,True,218.334625,26.99802778,834.9220015258492,67.35314693037694,True,coordinate_velocity,False,PGC087128,87128,87128,0.0700876776626685,1.9220015258491685,833.0,893.0,1.0,0.0,0.0,0.0,10.621,,,0.075,0.0,11.19,2.975510922647281,65330.0,10,15.2,4.56,1,56.0,10.0,0.325,0.022,2.37,9.22,1.24,93.94,0.081,0.0,0.0,0.0,2,Tr09,0.0,4,False,0.3,-0.4881166390211256,0.9647309210536293,-1.0915149811213503,-12.0,0.6020599913279624,combined_conventional,4,True,True,0.6959889348500987,0.7485625845189687,0.05257364966887,0.0131434124172175,0.0130577872276376
DDO170,2,15.4,True,198.9743336,25.4355594,941.048525662,84.26272999109034,True,name_coordinate_velocity,False,UGC08333,46159,4362343,0.0339155686612603,0.0485256619999745,941.0,940.0,2.0,1.0,0.6931471805599453,1.0,10.82,10.746,21.28,0.087,0.0,12.265,12.158813547753024,140880.0,10,15.4,4.62,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,"Be91,La90",0.0,8,False,0.3,-0.265200170411153,0.9726655922661109,-0.1337126609158051,1.7781512503836436,0.9030899869919435,combined_conventional,8,True,True,3.039492760743609,3.0862571531290683,0.0467643923854588,0.0058455490481823,0.0058285301174668
ESO079-G014,1,28.7,True,15.7143121,-65.6100396,2306.303379394,51.47623502875632,True,name_coordinate_velocity,False,NGC0360,3743,3743,0.0023948392328595,9.303379393999876,2297.0,2126.0,1.0,0.0,0.0,0.0,12.149,,30.9,0.241,0.0,11.507,2.47464494978212,20294.0,4,28.7,7.17,1,79.0,5.0,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,3.5,1,Ge04,0.0,15,False,0.24982578397212543,1.7137676639043045,2.196839145833112,0.49692964807321494,2.2430380486862944,1.1760912590556813,combined_conventional,15,True,True,13.397146621180028,13.362695234695858,-0.0344513864841697,-0.0022967590989446,-0.0022941255793678
ESO116-G012,1,13.0,True,48.2699788,-57.3569769,1146.1065669339998,50.82510401456708,True,coordinate_velocity,False,ESO116-012,11984,11984,0.011660605784249,7.893433066000171,1154.0,959.0,1.0,0.0,0.0,0.0,11.161,,15.35,0.113,0.0,11.438,2.4588577531003897,2807080.0,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,0.0,15,False,0.3,0.6326597132939135,1.9568404901592336,0.034628456625320346,2.037824750588342,1.1760912590556813,combined_conventional,15,True,True,5.732045746761294,5.774453345255092,0.0424075984937974,0.0028271732329198,0.0028231842951854
F583-1,1,35.4,True,239.3647679,20.6665745,2265.737862317104,47.229450571444254,True,coordinate_velocity,False,PGC086657,86657,86657,0.0189764489606907,0.2621376828960819,2266.0,2368.0,1.0,0.0,0.0,0.0,10.829,,,0.087,0.0,10.826,5.094303086481415,68046.0,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",0.0,25,False,0.25,-0.0061230850587887945,1.04883008652835,0.32756326018727794,1.9334872878487055,1.3979400086720377,combined_conventional,25,True,True,13.28837017480838,13.114790334393335,-0.1735798404150443,-0.0069431936166017,-0.0069192006423584
NGC0100,1,13.5,True,6.012434167,16.48711778,843.9157692699999,45.88140348414576,True,name_coordinate_velocity,False,NGC0100,1525,1525,0.060323092680971,2.9157692699999416,841.0,1056.0,1.0,0.0,0.0,0.0,11.173,,18.54,0.114,0.0,11.888,3.166048158267319,3097156.0,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,"dB02,Rh96",0.0,21,False,0.3,0.5094713521025486,1.8128465369670712,0.29885307640970665,1.944975908412048,1.3222192947339193,combined_conventional,21,True,True,5.654148905019578,5.649396988925812,-0.0047519160937659,-0.0002262817187507,-0.0002262561209041
NGC0289,2,20.8,True,13.176134,-31.2058643,1629.0722167719998,85.91303154583862,True,name_coordinate_velocity,False,NGC0289,3089,3089,0.019174769120193,0.0722167719998196,1629.0,1616.0,11.0,10.0,2.3978952727983707,1.0,12.568,12.835,23.33,0.332,0.0,11.623,1.63915534716003,19733.0,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,Wa97,0.0,28,False,0.25,1.857724390968307,3.2008313537058184,1.43884284935915,2.2121876044039577,1.4471580313422192,combined_conventional,28,True,True,20.617245572456504,21.075829445794064,0.4585838733375595,0.0163779954763414,0.0162453227572061
NGC1003,1,11.4,True,39.820784,40.8725757,623.868105098,17.544655678544906,True,name_coordinate_velocity,False,NGC1003,10052,10052,0.0731152182543459,2.131894901999999,626.0,826.0,1.0,0.0,0.0,0.0,11.314,,11.02,0.127,0.0,10.425,2.2540054089600763,23769.0,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,"Sa96,Br92",0.0,36,False,0.3,0.8337843746564789,2.1488185146020182,0.7693773260761385,2.040602340114073,1.5563025007672873,combined_conventional,36,True,True,14.277831076416886,13.7566170620452,-0.5212140143716848,-0.0144781670658801,-0.0143743591708144
NGC1090,1,37.0,True,41.6415417,-0.2471141,2740.312021463226,51.44369668790538,True,name_coordinate_velocity,False,NGC1090,10507,10507,0.0085439086774663,0.3120214632258467,2740.0,2785.0,5.0,4.0,1.6094379124341005,1.0,12.33,11.394,29.65,0.277,0.0,10.833,1.1703443980229131,1152929.0,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,0.0,24,False,0.25,1.8576038456946433,2.4528287182568427,0.943642882752129,2.215901813204032,1.380211241711606,combined_conventional,24,True,True,21.32781961710496,21.43735652191724,0.1095369048122805,0.0045640377005116,0.0045536540626682
NGC3198,1,13.8,True,154.979176,45.549816,660.1429925159999,54.82891185056577,True,name_coordinate_velocity,False,NGC3198,30197,30197,0.0172636973310663,6.857007484000064,667.0,703.0,1.0,0.0,0.0,0.0,11.669,,13.24,0.167,0.0,11.045,1.6207475175858506,57678.0,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",0.0,43,False,0.10144927536231883,1.582960583750715,2.2528287680405925,1.0361895887541992,2.1763806922432702,1.6334684555795864,combined_conventional,43,True,True,10.950801519128673,11.313227705219596,0.3624261860909232,0.0084285159556028,0.0083931943487017
NGC3726,2,18.0,True,173.3379772,47.0292224,864.001863956,64.87862241632861,True,name_coordinate_velocity,False,NGC3726,35676,35676,0.0117030961603482,1.9981360440000344,866.0,925.0,1.0,0.0,0.0,0.0,11.867,,13.49,0.194,0.6931471805599453,10.603,3.707379853739917,167108.0,5,18.0,2.5,4,53.0,2.0,70.234,0.388,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,"VS01,SV98",0.0,12,False,0.1388888888888889,1.8465474032654734,2.296840627340024,0.8111056070179304,2.225309281725863,1.0791812460476249,combined_conventional,12,True,True,12.136644275676089,11.933118084092662,-0.2035261915834265,-0.0169605159652855,-0.0168182922864829
NGC3769,2,18.0,True,174.433602,47.892963,737.1896842012458,64.74940367950794,True,name_coordinate_velocity,False,NGC3769,35999,36699,0.0114464587369673,20.18968420124577,717.0,782.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,3.6632410102661703,167108.0,3,18.0,2.5,4,70.0,2.0,18.679,0.189,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,"VS01,SV98",0.0,12,False,0.1388888888888889,1.2713536221024844,2.7968309490076453,0.7426465899387362,2.074084689028244,1.0791812460476249,combined_conventional,12,True,True,4.03775711468243,4.214693194453382,0.176936079770952,0.014744673314246,0.0146370274639115
NGC3877,2,18.0,True,176.5322004,47.49454704,894.8804871299999,65.95647234762814,True,name_coordinate_velocity,False,NGC3877,36699,36699,0.0152231807693295,11.119512870000108,906.0,971.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,5.071087819254059,167108.0,5,18.0,2.5,4,76.0,1.0,72.535,0.401,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,"VS01,SV98",0.0,13,False,0.1388888888888889,1.8605476153848894,2.7768318884097063,0.17114115102838207,2.226342087163631,1.1139433523068367,combined_conventional,13,True,True,36.83449301941119,36.91527962283104,0.0807866034198525,0.0062143541092194,0.0061951246354418
NGC3893,1,18.0,True,177.1589984,48.7108953,967.130433532905,65.22723338040848,True,name_coordinate_velocity,False,NGC3893,36875,36699,0.009818473066081,0.1304335329050445,967.0,1039.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,4.973159033810193,167108.0,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,"VS01,SV98",0.0,10,False,0.1388888888888889,1.7673414223686619,3.196830865066194,0.7633531087482155,2.2405492482826,1.0,combined_conventional,10,True,True,6.2611956740064025,6.640604985246305,0.3794093112399022,0.0379409311239902,0.0372388766928558
NGC3917,1,18.0,True,177.6895411,51.8246185,964.7321478315474,62.79377547400576,True,name_coordinate_velocity,False,NGC3917,37036,37617,0.0131983022376007,0.2678521684525776,965.0,1053.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,3.687708444780175,60931.0,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",0.0,17,False,0.1388888888888889,1.3417509792651747,2.0528477834008605,0.27600198996205016,2.1332194567324945,1.2304489213782739,combined_conventional,17,True,True,11.813194032503397,11.812364179804856,-0.0008298526985388,-4.88148646199328e-05,-4.8813673213200953e-05
NGC3949,2,18.0,True,178.4241452,47.8587188,793.5999998523417,66.40587458503215,True,name_coordinate_velocity,False,NGC3949,37290,36699,0.0147262065592812,6.400000147658261,800.0,869.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,6.051687132336969,167108.0,4,18.0,2.5,4,55.0,2.0,38.067,0.28,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,7.1,2,"VS01,SV98",0.0,7,False,0.1388888888888889,1.58054865210243,3.024830339364429,0.5277587525209719,2.2121876044039577,0.8450980400142568,combined_conventional,7,True,True,1.7706187905996376,1.8335284557314508,0.0629096651318132,0.0089870950188304,0.0089469514173621
NGC3953,1,18.0,True,178.4542849,52.3268,1049.873187916,62.59027523811394,True,name_coordinate_velocity,False,NGC3953,37306,37617,0.0180085145077338,2.1268120839999938,1052.0,1144.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,3.242673040193353,60931.0,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,"VS01,SV98",0.0,8,False,0.1388888888888889,2.150145235400895,2.768830420780154,0.4520932490177314,2.3439990690571615,0.9030899869919435,combined_conventional,8,True,True,5.362783035820127,5.190212219179581,-0.1725708166405457,-0.0215713520800682,-0.0213419831347684
NGC3972,1,18.0,True,178.9380329,55.3205853,842.4767654716,60.053541099720135,True,name_coordinate_velocity,False,NGC3972,37466,37642,0.0105156971221972,12.523234528400051,855.0,962.0,17.0,16.0,2.833213344056216,1.0,12.559,12.695,19.16,0.33,0.0,11.1,0.900727933346475,60931.0,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",0.0,10,False,0.1388888888888889,1.1569426848522257,2.2168254232660476,0.08421868673923877,2.1228709228644354,1.0,combined_conventional,10,True,True,6.431348140159759,6.41886373234351,-0.0124844078162489,-0.0012484407816248,-0.001247662127434
NGC3992,1,23.7,True,179.3998522,53.3747107,1046.65941276624,61.9231554300745,True,name_coordinate_velocity,False,NGC3992,37617,37617,0.0137659213008192,1.3405872337600613,1048.0,1146.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,2.433347441490314,60931.0,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,"VS01,SV98",0.0,9,False,0.0970464135021097,2.355895740677916,2.5568329810176795,1.2200819249338148,2.3820170425748683,0.9542425094393249,combined_conventional,9,True,True,9.479756342177655,9.375401292774672,-0.1043550494029847,-0.0115950054892205,-0.0115282985626755
NGC4010,2,18.0,True,179.658195,47.26144,901.7757406453212,67.35881793096543,True,name_coordinate_velocity,False,NGC4010,37697,36699,0.002408620239368,16.224259354678793,918.0,986.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,7.05537422767506,167108.0,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",0.0,12,False,0.1388888888888889,1.235351663177412,1.1687920203141817,0.4520932490177314,2.09968064110925,1.0791812460476249,combined_conventional,12,True,True,8.568823843709879,8.596271932539105,0.0274480888292263,0.0022873407357688,0.0022847287541844
NGC4013,2,18.0,True,179.6304505,43.94741316,831.3244650485279,70.0883174239804,True,name_coordinate_velocity,False,NGC4013,37691,37691,0.038335914905422,3.675534951472059,835.0,886.0,10.0,9.0,2.302585092994046,1.0,12.441,12.893,20.61,0.301,0.6931471805599453,10.603,8.97019127424304,167108.0,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,"VS01,SV98",0.22013278710449818,36,True,0.1388888888888889,1.8981435395567854,2.872831963754798,0.47231754631684186,2.2377949932739227,1.5563025007672873,combined_conventional,36,True,True,18.768685920364856,18.15435297151977,-0.6143329488450853,-0.0170648041345857,-0.0169208359159658
NGC4051,2,18.0,True,180.7900304,44.5313083,700.3152088693212,70.0851585995503,True,name_coordinate_velocity,False,NGC4051,38068,38440,0.0132361664669066,0.3152088693211681,700.0,756.0,14.0,13.0,2.6390573296152584,1.0,12.657,12.563,14.36,0.356,0.6931471805599453,10.603,9.196090146898491,167108.0,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,"VS01,SV98",0.0,7,False,0.1388888888888889,1.9789470479920108,2.5048241352520484,0.4308809464528912,2.1958996524092336,0.8450980400142568,combined_conventional,7,True,True,5.366474811395212,5.352440652129007,-0.0140341592662043,-0.002004879895172,-0.0020028728056762
NGC4085,2,18.0,True,181.3447645,50.3528545,760.092598843368,65.16716844979726,True,name_coordinate_velocity,False,NGC4085,38283,38795,0.0068638917541338,14.092598843368023,746.0,832.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,11.1,5.678388469426453,60931.0,5,18.0,2.5,4,82.0,2.0,21.724,0.2,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,4.8,2,"VS01,SV98",0.0,7,False,0.1388888888888889,1.3369397941205898,2.9328287669008466,0.13001194967190424,2.1189257528257768,0.8450980400142568,combined_conventional,7,True,True,13.258808857122956,13.360387216672647,0.1015783595496913,0.0145111942213844,0.0144069144479759
NGC4088,1,18.0,True,181.3928356,50.539385,745.883635504,65.0108520718113,True,name_coordinate_velocity,False,NGC4088,38302,38795,0.0700024513598089,11.11636449599996,757.0,844.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,11.1,5.520035917730429,60931.0,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",0.0,12,False,0.1388888888888889,2.030543053564888,2.6608275466983815,0.9151887051731563,2.2347702951609163,1.0791812460476249,combined_conventional,12,True,True,6.144906926201387,6.128480748786952,-0.0164261774144351,-0.0013688481178695,-0.0013679120993654
NGC4100,1,18.0,True,181.535557,49.582504,1074.4561844616228,65.91649535106305,True,name_coordinate_velocity,False,NGC4100,38370,38795,0.0222138390076104,0.4561844616227972,1074.0,1156.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,10.655,2.862831563677052,61347.0,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",0.0,24,False,0.1388888888888889,1.7737425746359972,2.5888317255942073,0.49164179347758613,2.1992064791616577,1.380211241711606,combined_conventional,24,True,True,12.632235064741362,12.736787313552034,0.1045522488106716,0.0043563437004446,0.0043468823033393
NGC4138,2,18.0,True,182.3741696,43.6853081,873.89501507,71.40379192941971,True,name_coordinate_velocity,False,NGC4138,38643,38440,0.0030587079528494,14.10498493,888.0,942.0,14.0,13.0,2.6390573296152584,1.0,12.657,12.563,14.36,0.356,0.0,11.19,8.459672742954078,60920.0,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,"VS01,SV98",0.22379234823499758,7,True,0.1388888888888889,1.644546903381652,3.280830952498799,0.17114115102838207,2.168202746842631,0.8450980400142568,combined_conventional,7,True,True,5.098245764997023,5.220019618748147,0.1217738537511241,0.0173962648215891,0.0172466821019597
NGC4157,1,18.0,True,182.768173,50.485004,771.066201976,65.40791962605526,True,name_coordinate_velocity,False,NGC4157,38795,38795,0.0063245629950525,2.933798023999998,774.0,862.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,11.1,5.97297769469028,60931.0,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",0.02061523754666225,17,True,0.1388888888888889,2.023746163152476,2.9288309529910093,0.9151887051731563,2.2664668954402414,1.2304489213782739,combined_conventional,17,True,True,5.507814784873902,5.4189549371854815,-0.0888598476884201,-0.0052270498640247,-0.0052134362576106
NGC4183,1,18.0,True,183.32032,43.698588,929.056827342,71.72696347434153,True,name_coordinate_velocity,False,NGC4183,38988,38440,0.0063183515658744,11.05682734200002,918.0,974.0,14.0,13.0,2.6390573296152584,1.0,12.657,12.563,14.36,0.356,0.0,11.19,8.822636547356822,60920.0,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",0.0,23,False,0.1388888888888889,1.034949146676372,1.936815231197633,0.5448119117577761,2.0437551269686796,1.3617278360175928,combined_conventional,23,True,True,7.307894920748866,7.371379952009052,0.0634850312601864,0.0027602187504428,0.0027564163420466
NGC4217,1,18.0,True,183.96208,47.091778,1027.988338482,68.8468165188675,True,name_coordinate_velocity,False,NGC4217,39241,39241,0.0115907997993701,0.9883384820000174,1027.0,1100.0,9.0,8.0,2.19722457733622,1.0,12.403,12.879,16.34,0.293,0.0,10.629,6.295405526245134,61819.0,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",0.7879607152899687,19,True,0.1388888888888889,1.9309439397603998,2.684827415220645,0.4085791254086675,2.258397804095509,1.2787536009528289,combined_conventional,19,True,True,25.770092998932565,25.693113624301034,-0.0769793746315308,-0.0040515460332384,-0.0040433606222065
NGC5005,1,16.9,True,197.7344369,37.0590444,946.144997448,79.24913267075664,True,name_coordinate_velocity,False,NGC5005,45749,45749,0.0098126977364686,0.1449974480000264,946.0,997.0,20.0,19.0,2.995732273553991,1.0,12.931,12.551,15.03,0.439,0.0,11.53,10.197903298595174,63552.0,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,0.23792024702022568,18,True,0.08875739644970415,2.252173155771534,3.252831194395521,0.10720996964786837,2.4186326873540653,1.255272505103306,combined_conventional,18,True,True,1.2122741805731572,1.262274185699902,0.0500000051267448,0.0027777780625969,0.0027739271667554
NGC5033,1,15.7,True,198.364474,36.593922,872.995637696,79.44786416668298,True,name_coordinate_velocity,False,NGC5033,45948,45749,0.0172032227190508,2.004362303999983,875.0,925.0,20.0,19.0,2.995732273553991,1.0,12.931,12.551,15.03,0.439,0.0,11.53,10.325828969865876,63552.0,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",0.23617262208354112,22,True,0.2993630573248408,2.043397648981944,3.3088289644961937,1.0536161744043904,2.288249225571986,1.3424226808222062,combined_conventional,22,True,True,23.53394976604631,24.90504233894583,1.3710925728995207,0.0623223896772509,0.0604574451864957
