Galaxy,Q,D_Mpc,resolved,ra_deg,dec_deg,central_cz_kms,abs_gal_b_deg,matched,match_rule,match_ambiguous,catalogue_member_name,member_pgc,group_pgc1,match_separation_arcmin,match_velocity_offset_kms,catalogue_member_hrv_kms,catalogue_member_vls_kms,group_richness,group_companions,group_richness_score,grouped_indicator,group_log_mass_luminosity,group_log_mass_dynamical,group_distance_mpc,group_r2t_mpc,shifted_group_richness_score,shifted_group_log_mass_luminosity,shifted_nearest_group_separation_deg,shifted_group_pgc1
UGC06446,1,12.0,True,171.6685962,53.7469469,646.05274699,59.139709073480866,True,name_coordinate_velocity,False,UGC06446,35202,35202,0.014814613555446957,2.052746989999946,644.0,736.0,1.0,0.0,0.0,0.0,10.855,,20.8,0.089,0.0,11.1,3.747422841989522,60931.0
UGC06614,1,88.7,True,174.8119847,17.1436695,6358.9999989056105,70.56379869277652,False,unmatched,False,SDSSJ113825.24+170501.8,5064622,36200,12.382659276849683,2946.9999989056105,3412.0,3317.0,,,,,,,,,,,,
UGC06628,2,15.1,True,175.0241,45.9428,849.0122410559999,66.46617123458411,True,name_coordinate_velocity,False,UGC06628,36188,36188,0.15448992502994532,0.9877589440001202,850.0,905.0,7.0,6.0,1.9459101490553132,1.0,11.25,11.47,,0.121,0.6931471805599453,10.603,5.284234210205514,167108.0
UGC06667,1,18.0,True,175.609601,51.598099,973.1263306596984,62.29007490623592,True,name_coordinate_velocity,False,UGC06667,36343,36343,0.01251933366197411,0.8736693403016034,974.0,1059.0,1.0,0.0,0.0,0.0,10.979,,18.28,0.098,0.0,11.1,4.0493977301480895,60931.0
UGC06786,1,29.3,True,177.2893645,27.0220066,1799.953917832,76.14469226317298,True,name_coordinate_velocity,False,NGC3900,36914,36914,0.010872771901078082,1.9539178319998882,1798.0,1758.0,5.0,4.0,1.6094379124341003,1.0,12.272,12.29,24.89,0.265,0.0,10.581,5.638698776959995,2801038.0
UGC06787,2,21.3,True,177.313612,56.0845081,1161.7857124874,58.96167416865942,True,name_coordinate_velocity,False,NGC3898,36921,36921,0.04248789936492268,14.214287512600094,1176.0,1285.0,7.0,6.0,1.9459101490553132,1.0,12.17,12.243,19.41,0.245,0.0,11.1,0.5779923215282015,60931.0
UGC06818,2,18.0,True,177.69563,45.807193,808.2404787596982,67.77826817951308,True,name_coordinate_velocity,False,UGC06818,37038,37038,0.008413045347280943,5.759521240301751,814.0,872.0,2.0,1.0,0.6931471805599453,1.0,10.905,9.324,19.59,0.093,0.6931471805599453,10.603,6.702471499947902,167108.0
UGC06917,1,18.0,True,179.1101361,50.4287882,910.7695113873966,64.44830247240313,True,name_coordinate_velocity,False,UGC06917,37525,38795,0.37053710202183565,0.23048861260338072,911.0,994.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,11.1,5.183791497088545,60931.0
UGC06923,2,18.0,True,179.206091,53.160305,1086.6153618382846,62.06375342898384,True,name_coordinate_velocity,False,UGC06923,37553,37617,0.015779131614352297,0.3846381617154293,1087.0,1184.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,2.576155927948496,60931.0
UGC06930,1,18.0,True,179.3222455,49.2832027,777.0620361463771,65.51065040920446,True,name_coordinate_velocity,False,UGC06930,37584,38795,0.05767265163302317,7.937963853622932,785.0,863.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.6931471805599453,10.603,6.236876025424886,167108.0
