Galaxy,Q,D_Mpc,resolved,ra_deg,dec_deg,central_cz_kms,abs_gal_b_deg,matched,match_rule,match_ambiguous,catalogue_member_name,member_pgc,group_pgc1,match_separation_arcmin,match_velocity_offset_kms,catalogue_member_hrv_kms,catalogue_member_vls_kms,group_richness,group_companions,group_richness_score,grouped_indicator,group_log_mass_luminosity,group_log_mass_dynamical,group_distance_mpc,group_r2t_mpc,shifted_group_richness_score,shifted_group_log_mass_luminosity,shifted_nearest_group_separation_deg,shifted_group_pgc1
KK98-251,2,6.8,True,307.6370833,60.35472222,125.9128314606226,12.228158780494564,True,coordinate_velocity,False,PGC166192,166192,65001,0.05577672815968818,4.0871685393774015,130.0,439.0,7.0,6.0,1.9459101490553132,1.0,12.068,12.246,6.23,0.227,2.0794415416798357,12.69,1.3579622083746654,9892.0
NGC0024,1,7.3,True,2.485281,-24.963219,554.016462384,80.43454410737188,True,name_coordinate_velocity,False,NGC0024,701,701,0.04358628577342159,9.016462383999965,545.0,586.0,1.0,0.0,0.0,0.0,11.236,,7.87,0.12,0.0,10.81,3.3770125915697675,18583.0
NGC0055,2,2.11,True,3.723345,-39.196571,130.9999999971282,75.73095925147447,True,name_coordinate_velocity,False,NGC0055,1014,1014,0.002721388356109382,1.9999999971282136,129.0,95.0,2.0,1.0,0.6931471805599453,1.0,11.161,10.695,1.99,0.113,0.0,10.086,13.148980872412228,19041.0
NGC0100,1,13.5,True,6.012434167,16.48711778,843.9157692699999,45.88140348414576,True,name_coordinate_velocity,False,NGC0100,1525,1525,0.06032309268097102,2.9157692699999416,841.0,1056.0,1.0,0.0,0.0,0.0,11.173,,18.54,0.114,0.0,11.888,3.166048158267319,3097156.0
NGC0247,2,3.7,True,11.785301,-20.760195,173.9999999865739,83.5568351807158,True,name_coordinate_velocity,False,NGC0247,2758,2789,0.02554223233323731,17.999999986573897,156.0,198.0,4.0,3.0,1.3862943611198906,1.0,12.775,12.714,3.49,0.39,0.0,10.316,5.648031883696604,19337.0
NGC0289,2,20.8,True,13.176134,-31.2058643,1629.0722167719998,85.91303154583862,True,name_coordinate_velocity,False,NGC0289,3089,3089,0.019174769120193082,0.07221677199981968,1629.0,1616.0,11.0,10.0,2.3978952727983707,1.0,12.568,12.835,23.33,0.332,0.0,11.623,1.63915534716003,19733.0
NGC0300,2,2.08,True,13.722702,-37.684212,147.19999999050262,79.41906923014925,True,name_coordinate_velocity,False,NGC0300,3238,3238,0.025607578833263506,3.1999999905026186,144.0,99.0,1.0,0.0,0.0,0.0,10.868,,1.99,0.09,0.0,10.316,12.221235942809932,19337.0
NGC0801,1,80.7,True,30.9366465,38.2587886,5767.107514546,22.457089038790947,False,unmatched,False,PGC007107,7107,7107,174.18942078332387,2908.107514546,2859.0,3075.0,,,,,,,,,,,,
NGC0891,1,9.91,True,35.63711,42.34832,527.934518538,17.415246823679357,True,name_coordinate_velocity,False,NGC0891,9031,9031,0.13619514348771794,0.06548146199997973,528.0,742.0,2.0,1.0,0.6931471805599453,1.0,12.624,11.305,9.12,0.347,0.0,10.425,1.2041472536750184,23769.0
NGC1003,1,11.4,True,39.820784,40.8725757,623.868105098,17.544655678544906,True,name_coordinate_velocity,False,NGC1003,10052,10052,0.07311521825434594,2.131894901999999,626.0,826.0,1.0,0.0,0.0,0.0,11.314,,11.02,0.127,0.0,10.425,2.2540054089600763,23769.0
NGC1090,1,37.0,True,41.6415417,-0.2471141,2740.312021463226,51.44369668790538,True,name_coordinate_velocity,False,NGC1090,10507,10507,0.008543908677466386,0.3120214632258467,2740.0,2785.0,5.0,4.0,1.6094379124341003,1.0,12.33,11.394,29.65,0.277,0.0,10.833,1.1703443980229133,1152929.0
NGC2683,2,9.81,True,133.1720971,33.42185359,411.0154479263017,38.76067682007146,True,name_coordinate_velocity,False,NGC2683,24930,24930,0.05161535083580259,0.015447926301703774,411.0,381.0,3.0,2.0,1.0986122886681098,1.0,11.831,12.004,9.1,0.189,0.0,10.283,1.5134727102780399,200320.0
NGC2903,1,6.6,True,143.04213,21.50083,549.8193679719999,44.54009672280068,True,name_coordinate_velocity,False,NGC2903,27077,27077,0.03424098056400135,6.180632028000105,556.0,458.0,4.0,3.0,1.3862943611198906,1.0,12.017,11.294,9.33,0.218,0.0,11.093,5.001978037787044,55506.0
NGC2915,2,4.06,True,141.5493119,-76.6266558,467.976026938,18.357278150655006,True,name_coordinate_velocity,False,NGC2915,26761,26761,0.015348888471390439,18.976026938000018,449.0,163.0,1.0,0.0,0.0,0.0,10.509,,4.29,0.068,0.6931471805599453,10.678,9.749159007678685,39573.0
NGC2955,1,97.9,True,145.3192299,35.8822297,7007.948498208,48.94233987456259,False,unmatched,False,SDSSJ094338.13+351207.8,3531624,3531624,49.935277914840256,5455.948498208,1552.0,1529.0,,,,,,,,,,,,
NGC2976,2,3.58,True,146.81381,67.916679,2.654747056855614,40.90216053923422,True,name_coordinate_velocity,False,NGC2976,28120,28630,0.02889072345836988,0.654747056855614,2.0,154.0,41.0,40.0,3.713572066704308,1.0,12.63,12.436,3.65,0.349,0.0,10.52,0.8426562552478718,55809.0
NGC2998,1,68.1,True,147.1817112,44.0814226,4784.088044764,49.8101525516,False,unmatched,False,PGC2256640,2256640,2256640,107.61821463481607,3414.088044764,1370.0,1401.0,,,,,,,,,,,,
NGC3109,1,1.33,True,150.7786667,-26.15958333,402.9210605540754,23.070172752822653,True,name_coordinate_velocity,False,NGC3109,29128,29128,0.00615637890085247,0.07893944592461821,403.0,114.0,3.0,2.0,1.0986122886681098,1.0,10.45,10.396,1.35,0.065,0.0,10.83,21.59461087939958,57323.0
NGC3198,1,13.8,True,154.979176,45.549816,660.1429925159999,54.82891185056577,True,name_coordinate_velocity,False,NGC3198,30197,30197,0.017263697331066398,6.857007484000064,667.0,703.0,1.0,0.0,0.0,0.0,11.669,,13.24,0.167,0.0,11.045,1.6207475175858506,57678.0
NGC3521,1,7.7,True,166.4524208,-0.03586388889,798.9469005699999,52.82924897041176,True,name_coordinate_velocity,False,NGC3521,33550,33550,0.004031370529298544,2.0530994300000884,801.0,613.0,7.0,6.0,1.9459101490553132,1.0,12.539,13.633,13.24,0.325,0.0,11.152,11.392489956442299,140770.0
NGC3726,2,18.0,True,173.3379772,47.0292224,864.001863956,64.87862241632861,True,name_coordinate_velocity,False,NGC3726,35676,35676,0.01170309616034829,1.9981360440000344,866.0,925.0,1.0,0.0,0.0,0.0,11.867,,13.49,0.194,0.6931471805599453,10.603,3.7073798537399174,167108.0
NGC3741,1,3.21,True,174.0257551,45.28390912,229.940815286,66.44643511759804,True,name_coordinate_velocity,False,NGC3741,35878,35878,0.10768352405507411,0.940815286000003,229.0,280.0,1.0,0.0,0.0,0.0,10.272,,3.22,0.057,0.0,11.045,13.890369275383845,57678.0
NGC3769,2,18.0,True,174.433602,47.892963,737.1896842012458,64.74940367950794,True,name_coordinate_velocity,False,NGC3769,35999,36699,0.01144645873696736,20.18968420124577,717.0,782.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,3.6632410102661708,167108.0
NGC3877,2,18.0,True,176.5322004,47.49454704,894.8804871299999,65.95647234762814,True,name_coordinate_velocity,False,NGC3877,36699,36699,0.015223180769329514,11.119512870000108,906.0,971.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,5.071087819254059,167108.0
NGC3893,1,18.0,True,177.1589984,48.7108953,967.130433532905,65.22723338040848,True,name_coordinate_velocity,False,NGC3893,36875,36699,0.009818473066081024,0.13043353290504456,967.0,1039.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,4.973159033810193,167108.0
NGC3917,1,18.0,True,177.6895411,51.8246185,964.7321478315474,62.79377547400576,True,name_coordinate_velocity,False,NGC3917,37036,37617,0.013198302237600774,0.26785216845257764,965.0,1053.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,3.687708444780175,60931.0
NGC3949,2,18.0,True,178.4241452,47.8587188,793.5999998523417,66.40587458503215,True,name_coordinate_velocity,False,NGC3949,37290,36699,0.014726206559281224,6.400000147658261,800.0,869.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,6.051687132336969,167108.0
NGC3953,1,18.0,True,178.4542849,52.3268,1049.873187916,62.59027523811394,True,name_coordinate_velocity,False,NGC3953,37306,37617,0.018008514507733827,2.1268120839999938,1052.0,1144.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,3.242673040193353,60931.0
NGC3972,1,18.0,True,178.9380329,55.3205853,842.4767654716,60.053541099720135,True,name_coordinate_velocity,False,NGC3972,37466,37642,0.010515697122197283,12.523234528400053,855.0,962.0,17.0,16.0,2.833213344056216,1.0,12.559,12.695,19.16,0.33,0.0,11.1,0.900727933346475,60931.0
NGC3992,1,23.7,True,179.3998522,53.3747107,1046.65941276624,61.9231554300745,True,name_coordinate_velocity,False,NGC3992,37617,37617,0.013765921300819233,1.3405872337600613,1048.0,1146.0,24.0,23.0,3.1780538303479458,1.0,12.962,12.735,20.08,0.45,0.0,11.1,2.433347441490314,60931.0
NGC4010,2,18.0,True,179.658195,47.26144,901.7757406453212,67.35881793096543,True,name_coordinate_velocity,False,NGC4010,37697,36699,0.0024086202393680625,16.224259354678793,918.0,986.0,18.0,17.0,2.8903717578961645,1.0,12.539,12.394,16.79,0.325,0.6931471805599453,10.603,7.05537422767506,167108.0
NGC4013,2,18.0,True,179.6304505,43.94741316,831.3244650485279,70.0883174239804,True,name_coordinate_velocity,False,NGC4013,37691,37691,0.03833591490542207,3.675534951472059,835.0,886.0,10.0,9.0,2.302585092994046,1.0,12.441,12.893,20.61,0.301,0.6931471805599453,10.603,8.97019127424304,167108.0
NGC4051,2,18.0,True,180.7900304,44.5313083,700.3152088693212,70.0851585995503,True,name_coordinate_velocity,False,NGC4051,38068,38440,0.013236166466906663,0.3152088693211681,700.0,756.0,14.0,13.0,2.6390573296152584,1.0,12.657,12.563,14.36,0.356,0.6931471805599453,10.603,9.196090146898493,167108.0
NGC4068,2,4.37,True,181.0032706,52.5882027,205.957418646,63.04348199521918,True,name_coordinate_velocity,False,NGC4068,38148,38148,0.16553080753117982,4.042581353999992,210.0,306.0,1.0,0.0,0.0,0.0,10.612,,4.39,0.074,0.0,11.017,8.791031883672003,61239.0
NGC4085,2,18.0,True,181.3447645,50.3528545,760.092598843368,65.16716844979726,True,name_coordinate_velocity,False,NGC4085,38283,38795,0.006863891754133823,14.092598843368023,746.0,832.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,11.1,5.678388469426453,60931.0
NGC4088,1,18.0,True,181.3928356,50.539385,745.883635504,65.0108520718113,True,name_coordinate_velocity,False,NGC4088,38302,38795,0.0700024513598089,11.11636449599996,757.0,844.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,11.1,5.520035917730429,60931.0
NGC4100,1,18.0,True,181.535557,49.582504,1074.4561844616228,65.91649535106305,True,name_coordinate_velocity,False,NGC4100,38370,38795,0.02221383900761048,0.45618446162279724,1074.0,1156.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,10.655,2.8628315636770516,61347.0
NGC4138,2,18.0,True,182.3741696,43.6853081,873.89501507,71.40379192941971,True,name_coordinate_velocity,False,NGC4138,38643,38440,0.003058707952849484,14.10498493,888.0,942.0,14.0,13.0,2.6390573296152584,1.0,12.657,12.563,14.36,0.356,0.0,11.19,8.459672742954078,60920.0
NGC4157,1,18.0,True,182.768173,50.485004,771.066201976,65.40791962605526,True,name_coordinate_velocity,False,NGC4157,38795,38795,0.0063245629950525704,2.933798023999998,774.0,862.0,17.0,16.0,2.833213344056216,1.0,12.768,12.677,16.54,0.388,0.0,11.1,5.97297769469028,60931.0
NGC4183,1,18.0,True,183.32032,43.698588,929.056827342,71.72696347434153,True,name_coordinate_velocity,False,NGC4183,38988,38440,0.006318351565874485,11.05682734200002,918.0,974.0,14.0,13.0,2.6390573296152584,1.0,12.657,12.563,14.36,0.356,0.0,11.19,8.822636547356822,60920.0
NGC4214,2,2.87,True,183.9132083,36.32688889,291.098476718,78.07453699915948,True,name_coordinate_velocity,False,NGC4214,39225,39225,0.030669224428880308,0.09847671799997215,291.0,310.0,4.0,3.0,1.3862943611198906,1.0,11.09,10.839,2.93,0.107,0.0,11.045,24.52507071793692,57678.0
NGC4217,1,18.0,True,183.96208,47.091778,1027.988338482,68.8468165188675,True,name_coordinate_velocity,False,NGC4217,39241,39241,0.01159079979937011,0.9883384820000174,1027.0,1100.0,9.0,8.0,2.1972245773362196,1.0,12.403,12.879,16.34,0.293,0.0,10.629,6.295405526245134,61819.0
NGC4559,1,9.0,True,188.990119,27.9599586,813.93652347,86.4700281109732,True,name_coordinate_velocity,False,NGC4559,42002,42002,0.021506259053530256,6.936523469999997,807.0,794.0,1.0,0.0,0.0,0.0,11.784,,8.42,0.182,0.0,12.265,20.225662344144236,140880.0
NGC5005,1,16.9,True,197.7344369,37.0590444,946.144997448,79.24913267075664,True,name_coordinate_velocity,False,NGC5005,45749,45749,0.00981269773646861,0.14499744800002645,946.0,997.0,20.0,19.0,2.995732273553991,1.0,12.931,12.551,15.03,0.439,0.0,11.53,10.197903298595174,63552.0
NGC5033,1,15.7,True,198.364474,36.593922,872.995637696,79.44786416668298,True,name_coordinate_velocity,False,NGC5033,45948,45749,0.01720322271905083,2.004362303999983,875.0,925.0,20.0,19.0,2.995732273553991,1.0,12.931,12.551,15.03,0.439,0.0,11.53,10.325828969865876,63552.0
NGC5055,1,9.9,True,198.9553691,42.0293247,500.053819944,74.28760880970876,True,name_coordinate_velocity,False,NGC5055,46153,46153,0.009487654311930105,16.053819943999997,484.0,561.0,7.0,6.0,1.9459101490553132,1.0,12.42,12.207,7.74,0.297,0.0,11.53,5.896459787969677,63552.0
NGC5371,1,39.7,True,208.9164152,40.4617447,2558.129044114,71.19608803720818,True,name_coordinate_velocity,False,NGC5371,49514,49356,0.00870968439123959,19.129044113999953,2539.0,2632.0,61.0,60.0,4.110873864173311,1.0,13.772,13.483,32.03,0.838,0.0,11.704,8.468862214459348,63165.0
NGC5585,1,7.06,True,214.9507063,56.7294777,303.090175038,56.47456777697307,True,name_coordinate_velocity,False,NGC5585,51210,51210,0.004666609647136893,10.090175037999984,293.0,461.0,2.0,1.0,0.6931471805599453,1.0,10.947,10.27,8.49,0.096,1.9459101490553132,12.068,3.9528318284823016,65001.0
NGC5907,1,17.3,True,228.9718321,56.32988,664.9396718439999,51.08731837957945,True,name_coordinate_velocity,False,NGC5907,54470,54470,0.08084416899707134,2.0603281560000823,667.0,860.0,7.0,6.0,1.9459101490553132,1.0,12.777,12.173,16.42,0.391,0.0,13.064,3.5784671409333186,2802329.0
NGC5985,1,39.7,True,234.9043982,59.3320345,2521.000000016365,46.82946343506933,True,name_coordinate_velocity,False,NGC5985,55725,55674,0.04100967468597735,4.000000016364993,2517.0,2729.0,11.0,10.0,2.3978952727983707,1.0,13.391,13.223,45.84,0.626,0.0,12.021,6.402215903242549,5061117.0
NGC6015,2,17.0,True,237.85536,62.31007,833.1232407819999,44.12438019331448,True,name_coordinate_velocity,False,NGC6015,56219,56219,0.006127028266629221,6.123240781999925,827.0,1050.0,1.0,0.0,0.0,0.0,11.753,,18.62,0.178,0.0,11.279,5.660114770883369,168205.0
NGC6195,1,127.8,True,249.1357648,39.0279099,8989.575446418168,42.142561053459055,False,unmatched,False,PGC2158182,2158182,2158182,59.78504771908078,5936.575446418168,3053.0,3248.0,,,,,,,,,,,,
NGC6503,1,6.26,True,267.360098,70.144333,24.882774014,30.640881057805792,True,name_coordinate_velocity,False,NGC6503,60921,60921,0.008428284829952672,0.11722598600000111,25.0,293.0,1.0,0.0,0.0,0.0,11.318,,6.25,0.127,0.0,10.893,11.81832680050677,100169.0
NGC6674,1,51.2,True,279.6410873,25.3751618,3429.026134604,13.919237427426022,False,unmatched,False,NGC6671,62148,62148,64.33321940059967,214.02613460400016,3215.0,3451.0,,,,,,,,,0.0,12.746,7.0015040853471495,660.0
NGC6789,2,3.52,True,289.1746785,63.97115769,-151.095398832,21.51688428165075,True,name_coordinate_velocity,False,NGC6789,63000,63000,0.09247037551077932,11.095398832,-140.0,153.0,1.0,0.0,0.0,0.0,10.23,,3.55,0.055,0.0,10.893,7.017861930674247,100169.0
NGC6946,1,5.52,True,308.718015,60.153915,40.00000000621745,11.67288666122126,True,name_coordinate_velocity,False,NGC6946,65001,65001,0.03021096505329424,6.2174478898668895e-09,40.0,350.0,7.0,6.0,1.9459101490553132,1.0,12.068,12.246,6.23,0.227,2.0794415416798357,12.69,0.807686817674026,9892.0
NGC7331,1,14.7,True,339.266927,34.415756,816.0000000548857,20.724004343158114,True,name_coordinate_velocity,False,NGC7331,69327,69327,0.020699672591149822,5.488573151524179e-08,816.0,1116.0,4.0,3.0,1.3862943611198906,1.0,12.931,11.548,14.24,0.439,0.0,11.004,15.851245568382843,12828.0
NGC7793,1,3.61,True,359.4572088,-32.5909942,224.39999999260917,77.17109971142101,True,name_coordinate_velocity,False,NGC7793,73049,73049,0.004623477939019219,2.6000000073908325,227.0,235.0,1.0,0.0,0.0,0.0,11.23,,3.6,0.119,0.0,10.086,8.850521826668045,19041.0
NGC7814,1,14.4,True,0.8121263,16.1453085,1051.072357748,45.17479160594727,True,name_coordinate_velocity,False,NGC7814,218,218,0.017555558494162942,7.927642251999941,1059.0,1284.0,6.0,5.0,1.791759469228055,1.0,12.498,12.272,9.84,0.315,0.0,11.888,2.3547022366137185,3097156.0
UGC00191,1,17.1,True,5.0207326,10.8791308,1143.108642354,51.23903499942777,True,name_coordinate_velocity,False,UGC00191,1292,1160,0.03368897688157644,0.8913576459999604,1144.0,1341.0,2.0,1.0,0.6931471805599453,1.0,11.789,10.41,18.58,0.183,0.0,11.888,4.692012533314479,3097156.0
UGC00634,2,30.9,True,15.3537988,7.6256687,2216.065849536,55.16216448157773,True,name_coordinate_velocity,False,UGC00634,3667,3667,0.055361470894491976,3.0658495359998597,2213.0,2373.0,1.0,0.0,0.0,0.0,11.196,,26.06,0.116,0.0,11.179,2.043823183165107,136560.0
UGC00731,1,12.5,True,17.6833359,49.602112,638.857727998,13.149396286884924,False,unmatched,False,KKH 5,2807102,2807102,114.4205561617855,577.857727998,61.0,330.0,,,,,,,,,0.0,11.508,2.452370327796022,20395.0
UGC00891,2,10.2,True,20.3291513,12.4125107,643.0548314037737,49.79997805391582,True,name_coordinate_velocity,False,UGC00891,4913,4913,0.05275937027763248,0.054831403773732745,643.0,808.0,1.0,0.0,0.0,0.0,10.76,,14.0,0.083,0.0,10.238,2.6293477162406615,20445.0
UGC01230,1,53.7,True,26.38438,25.52144,3837.043669942,35.76160607231883,False,unmatched,False,UGC01244,6528,6528,65.77675199979294,708.0436699420002,3129.0,3317.0,,,,,,,,,0.6931471805599453,12.458,7.789392728995099,23086.0
UGC01281,1,5.27,True,27.38172292,32.58875694,155.89207815999998,28.70586707178567,True,name_coordinate_velocity,False,UGC01281,6699,6699,0.2221118933293227,1.1079218400000173,157.0,368.0,1.0,0.0,0.0,0.0,10.751,,5.27,0.082,0.0,10.435,7.696733861151657,21585.0
UGC02023,2,10.4,True,38.32583333,33.49111111,602.882633038,24.739494026654672,True,name_coordinate_velocity,False,UGC02023,9726,9726,0.04259811372842129,1.1173669620000055,604.0,787.0,1.0,0.0,0.0,0.0,10.982,,,0.098,0.6931471805599453,10.26,2.563282698993946,4581803.0
UGC02259,2,10.5,True,41.9811256,37.5378733,583.0963308099999,19.796565898156043,True,name_coordinate_velocity,False,UGC02259,10586,10123,0.035194579984627626,5.903669190000073,589.0,774.0,14.0,13.0,2.6390573296152584,1.0,12.622,12.629,10.42,0.347,0.0,10.684,2.74054448443635,25232.0
UGC02487,1,69.1,True,45.4264014,35.2056077,4954.969745824,20.48586811170967,False,unmatched,False,PGC2807110,2807110,2807110,92.29438723169218,4738.969745824,216.0,378.0,,,,,,,,,,,,
UGC02885,1,80.6,True,58.2671797,35.5921086,5800.984062299999,14.046322433307576,False,unmatched,False,SDSSJ032311.37+402752.5,5064840,5064840,458.0665147616316,2499.984062299999,3301.0,3471.0,,,,,,,,,,,,
