L,energy_focus
0.001219256404729373,0.19439334166290165
0.002007052690580739,0.08112778796968259
0.0027948489764321053,0.017816524022318474
0.003582645262283471,0.009471921231054708
0.004370441548134837,0.03317264088495999
0.005158237833986204,0.06718361223485364
0.00594603411983757,0.09573641980374108
0.006733830405688935,0.11065592636624019
0.0075216266915403025,0.11581319771578652
0.008309422977391668,0.1166898106870266
0.009097219263243035,0.10816990368651673
0.0098850155490944,0.08487874042964381
0.010672811834945766,0.05126553147724203
0.011460608120797133,0.025406106257778567
0.012248404406648499,0.017272920562922515
0.013036200692499866,0.02283368149567578
0.013823996978351231,0.031037928748100317
0.014611793264202597,0.034045738420274585
0.015399589550053964,0.029395917131441934
0.01618738583590533,0.01879363587250599
0.016975182121756697,0.00729505812358375
0.01776297840760806,0.0007837967537386077
0.018550774693459428,0.0006705661974485578
0.019338570979310795,0.0035157795617779463
0.02012636726516216,0.005330668436028325
0.020914163551013526,0.0049090537847153335
0.021701959836864893,0.003317985053815216
0.02248975612271626,0.0019710135574290133
0.023277552408567624,0.001455902701532548
0.02406534869441899,0.0013098187366879345
0.02485314498027036,0.0008013715559469435
0.025640941266121722,0.00018499765035620656
0.02642873755197309,3.9391578473290736e-05
0.027216533837824457,0.00042311529806306935
0.02800433012367582,0.0008231284962494773
0.028792126409527188,0.0008496601842601518
0.029579922695378555,0.00047698686460418907
0.03036771898122992,6.119285566046217e-05
0.031155515267081286,0.00032806234851873026
0.03194331155293265,0.0017182890593451397
0.03273110783878402,0.003515239705531918
0.03351890412463538,0.00419592874718835
0.034306700410486744,0.0026301832381744167
0.035094496696338115,0.00023014977070750058
0.03588229298218948,0.001042981639697571
0.03667008926804084,0.005145217295374196
0.03745788555389221,0.008701682067345798
0.03824568183974358,0.0079960520163059
0.03903347812559494,0.0033579872835304914
0.03982127441144631,0.00046089699901623446
0.040609070697297675,0.0010723299416313037
0.041396866983149046,0.0034373756573269623
0.04218466326900041,0.006946656663469743
0.04297245955485177,0.011062831408692391
0.043760255840703144,0.014754822721437315
0.04454805212655451,0.016811912553203762
0.04533584841240587,0.016264319265183135
0.04612364469825724,0.013170607532869104
0.046911440984108606,0.008549061847035525
0.04769923726995997,0.004208447814430906
0.04848703355581134,0.0014261056754337799
0.049274829841662704,0.00021256691174345455
0.05006262612751407,0.00015461502705238045
0.05085042241336544,0.002119341063533482
0.0516382186992168,0.006884430581547513
0.052426014985068166,0.013028543733777705
0.05321381127091954,0.017081281391359206
0.0540016075567709,0.015428361827759189
0.054789403842622264,0.00846463680512678
0.055577200128473635,0.0032954351708361354
0.056364996414325,0.004936530046628632
0.05715279270017636,0.010940221401585543
0.05794058898602773,0.01260373153492969
0.0587283852718791,0.0059870676189435895
0.05951618155773046,0.0010103127307577939
0.06030397784358183,0.002876274773609564
0.061091774129433195,0.005671969807535512
0.06187957041528456,0.005170550232075555
0.06266736670113593,0.0026601226828454425
0.06345516298698729,0.001436909383593423
0.06424295927283867,0.0030737883974134433
0.06503075555869003,0.004775925168652833
0.0658185518445414,0.0038877930575847404
0.06660634813039276,0.0031277219536733638
0.06739414441624413,0.003189490049045072
0.0681819407020955,0.002741743386301964
0.06896973698794687,0.0017100737144912625
0.06975753327379823,0.0009590995792982707
0.0705453295596496,0.0007144477907283916
0.07133312584550096,0.0004396818546692433
0.07212092213135232,0.00010295549697879272
0.0729087184172037,1.9187966901989753e-05
0.07369651470305506,0.0002709986121581223
0.07448431098890643,0.0006353494442289948
0.07527210727475779,0.0009681007839056229
0.07605990356060915,0.0012751956764415382
0.07684769984646052,0.0016057098777969682
0.0776354961323119,0.001985969737504899
0.07842329241816326,0.0023877730775683243
0.07921108870401462,0.0027470214545617837
0.07999888498986599,0.0029911582221568396
0.08078668127571735,0.0030539106056142185
0.08157447756156873,0.0028952871760069485
0.08236227384742009,0.0025279727303874145
0.08315007013327146,0.0020065217358837964
0.08393786641912282,0.0014089848008790396
0.08472566270497418,0.0008290160266482036
0.08551345899082555,0.0003718439063946521
0.08630125527667692,0.00013606149497506984
0.08708905156252829,0.0001721844752361117
0.08787684784837965,0.00046838565603670443
0.08866464413423102,0.0009528854225917792
0.08945244042008238,0.001508744044349277
0.09024023670593374,0.0020008469737032644
0.09102803299178512,0.002324963775587833
0.09181582927763648,0.0024870027407935336
0.09260362556348785,0.002596821892198705
0.09339142184933921,0.002774925396163239
0.09417921813519058,0.0030981614937821756
0.09496701442104194,0.003574710015375849
0.09575481070689332,0.004137007379311992
0.09654260699274468,0.004652142877106008
0.09733040327859604,0.004949447008528576
0.09811819956444741,0.004866123191261489
0.09890599585029877,0.004312171832979347
0.09969379213615014,0.003359842763067861
0.10048158842200151,0.002343153562296012
0.10126938470785288,0.0017552930233692818
0.10205718099370424,0.0018339634819791264
0.1028449772795556,0.0024090885056657976
0.10363277356540697,0.002936357717617434
0.10442056985125835,0.002798968197244857
0.10520836613710971,0.0019208051740725982
0.10599616242296107,0.000856844182718235
0.10678395870881244,0.00013712055194595003
0.1075717549946638,6.978234729924107e-05
0.10835955128051517,0.0006910836358047537
0.10914734756636654,0.0018217720996222052
0.1099351438522179,0.0031557076011457536
0.11072294013806927,0.004342108229139223
0.11151073642392063,0.005141714587042937
0.112298532709772,0.0053896672011746315
0.11308632899562336,0.004877175340491971
0.11387412528147474,0.003684938249738281
0.1146619215673261,0.0026176257217691676
0.11544971785317747,0.003007255395576042
0.11623751413902883,0.005215100858840888
0.1170253104248802,0.007820276226772591
0.11781310671073156,0.00825250934096243
0.11860090299658294,0.005721945992372961
0.1193886992824343,0.003505536400833613
0.12017649556828566,0.0037136276243219715
0.12096429185413703,0.005331095773336461
0.12175208813998839,0.005968642974320863
0.12253988442583975,0.004912329827021063
0.12332768071169113,0.002908817431131982
0.1241154769975425,0.0010617978670072058
0.12490327328339386,0.00011318987045319667
0.12569106956924522,0.00010472675709759248
0.12647886585509657,0.0008050385561674061
0.12726666214094795,0.0018224421563460898
0.1280544584267993,0.002621368036043014
0.12884225471265068,0.0027486410727444333
