pack,IMF,BAO,slope,intercept,r,p,rs,ps,N
baseline,2,DM/rd,0.11606023599886428,730.3819605738735,0.10061959306452586,0.007806455313037026,0.07171330811167405,0.0582666710449138,698
baseline,2,DH/rd,-0.2145011261539736,879.748100450406,-0.1036913716280846,0.006107036854568758,-0.07171330811167405,0.0582666710449138,698
baseline,3,DM/rd,-0.019906412721582323,352.1719464894315,-0.029789845133489416,0.4319833482542641,-0.0822196944283746,0.02985536455648389,698
baseline,3,DH/rd,0.01786819737258096,334.3476170170964,0.01490973477330851,0.6941522626434333,0.0822196944283746,0.02985536455648389,698
conserve_time,2,DM/rd,0.059869749032688754,738.7668934085356,0.05604283311916328,0.13910206471039305,0.033432881012978255,0.37780396575570396,698
conserve_time,2,DH/rd,-0.11262204775230476,816.6296205042289,-0.058782763519427975,0.12076257815757774,-0.033432881012978255,0.37780396575570396,698
conserve_time,3,DM/rd,-0.015410147237365866,351.03259711345174,-0.02614565259642158,0.4904206893131201,-0.06675972383805566,0.07797191885456772,698
conserve_time,3,DH/rd,0.014455850607147,336.9773996493689,0.013675722663705935,0.7183404424938346,0.06675972383805566,0.07797191885456772,698
lambda_on,2,DM/rd,-0.02390709111098225,793.4623757328858,-0.020713555835880106,0.5848435868209193,0.008994359713528117,0.8124961384616373,698
lambda_on,2,DH/rd,0.05367357337543755,758.7860055066163,0.025929991121145392,0.49400706984561393,-0.008994359713528117,0.8124961384616373,698
lambda_on,3,DM/rd,0.013944485252913722,349.4067827270786,0.023408152732581552,0.5369628098959717,-0.058984946951349294,0.11948789285164636,698
lambda_on,3,DH/rd,-0.04078200561951317,373.53587650590447,-0.03817219825509468,0.31390731541659844,0.058984946951349294,0.11948789285164636,698
