kind,index,n_imfs,max_imf_energy_fraction,sum_imf_energy_fraction,dominant_imf_frequency,dominant_imf_index
original,-1,6,0.37651507864612777,0.7821990590941632,24.76662154524531,1
surrogate,0,4,0.6189351981524149,1.0228977666470846,26.762284070481464,1
surrogate,1,4,0.41998493728413566,0.7420859034064853,26.398883472962158,1
surrogate,2,5,0.4097967106747516,0.8191174728142482,23.751274590421634,1
surrogate,3,5,0.5836568225495103,1.0847803455744973,28.27114130036662,1
surrogate,4,4,0.6384011230899981,1.015617899068178,27.640641396819916,1
surrogate,5,4,0.6306565572252973,0.9200623651574081,25.486743595391225,1
surrogate,6,5,0.6304995929345111,1.4264035855409045,23.37685047599459,1
surrogate,7,4,0.5526483412008427,1.019842760405945,26.575305334874816,1
surrogate,8,5,0.5934591898301397,0.9475136880666037,24.33824054815898,1
surrogate,9,4,0.7942637518595921,1.2320286851696702,23.955812752945043,1
surrogate,10,4,0.706048801257562,1.1492371735649012,25.284460071873234,1
surrogate,11,5,0.5699145048634754,0.9438439502538222,25.90016633428058,1
surrogate,12,6,0.5691328278044834,1.052925764867542,27.831030386768987,1
surrogate,13,4,0.36327917915160324,0.7995888223732014,27.109719915748226,1
surrogate,14,4,0.46279109603582497,0.6894510519954447,27.419067373474853,1
surrogate,15,5,0.7216405573924422,1.0457366738743967,25.499619521505096,1
surrogate,16,4,0.7947724631688172,1.0466178123460061,24.139680470478254,1
surrogate,17,5,0.5910478386995345,0.9593183189825732,28.694549622269133,1
surrogate,18,5,0.7444600676042225,1.063446263039735,23.921558055815044,1
surrogate,19,6,0.4812396677019028,0.882230443484363,28.473291552280198,1
surrogate,20,4,0.6209663476647764,0.9343184592551865,25.503518650159485,1
surrogate,21,4,0.7650448791533817,1.0953304568397741,26.095241003580625,1
surrogate,22,4,0.6821991760242502,0.8347980964382834,26.978258216247216,1
surrogate,23,5,0.36842181207043123,0.8468806748707555,24.89489734964613,1
surrogate,24,4,0.5567466221625456,0.8702450852100333,30.357796274854042,1
surrogate,25,4,0.6334163538623395,0.9812751526083162,28.034179457703008,1
surrogate,26,3,0.5207087551626086,0.8789382343411243,27.01678205080363,1
surrogate,27,4,0.509939265669079,0.9399995776980435,26.727503628776223,1
surrogate,28,4,0.6204601474787304,0.9754557535663582,29.006579879437766,1
surrogate,29,4,0.680153904366169,0.8968609154810546,24.38285251208424,1
surrogate,30,4,0.5742643668897807,1.0387763010225697,27.433014303039172,1
surrogate,31,4,0.6726361061694662,1.1336648732570678,24.4553861950521,1
surrogate,32,4,0.6096751004472463,0.9640618892767943,24.252851432272525,1
surrogate,33,4,0.5888819099898822,1.037221713203752,27.06929260243366,1
surrogate,34,5,0.5309473759003969,1.2875505773216445,1.6328282428237657,5
surrogate,35,5,0.501711193949388,0.914051164661444,28.63349091600061,1
surrogate,36,5,0.4961625413212358,1.1500631560111805,24.5507161156252,1
surrogate,37,4,0.7195524515371989,1.0376680364559088,26.319617194477267,1
surrogate,38,5,0.6402157701828559,1.058322645822481,25.27589123941848,1
surrogate,39,5,0.7032357079547659,1.0547419580457758,26.26760914397015,1
surrogate,40,5,0.5545822446835279,1.2022854262154554,24.996956710184374,1
surrogate,41,5,0.6022521653869993,0.9518319762275722,28.003901678872804,1
surrogate,42,5,0.6277994386718805,0.9196484733540782,22.30724656014033,1
surrogate,43,4,0.5181976589817887,0.8968713072080121,28.08392904679702,1
surrogate,44,3,0.5274368793170403,0.7993650043613028,26.904425085024403,1
surrogate,45,4,0.5021335314745662,0.8139890092034275,23.39763238561974,1
surrogate,46,4,0.6861393718676179,1.0004514179898751,25.364124758647243,1
surrogate,47,4,0.5641399678645781,1.0908124984714487,28.77737604344094,1
surrogate,48,5,0.6382019764051631,1.1284550306422259,24.338504349572464,1
surrogate,49,4,0.6118736282797498,1.1670303370421025,28.462474857165404,1
surrogate,50,4,0.6159738448634853,0.9716784535494817,27.804111924179097,1
surrogate,51,4,0.4441015843799763,0.935178518779753,25.74451213943698,1
surrogate,52,3,0.5699569652402123,1.023787692259375,25.28662159389395,1
surrogate,53,4,0.7071237860455382,1.1554035869391837,23.01524630253813,1
surrogate,54,6,0.6182570738420606,0.9759486919013001,24.323356629895397,1
surrogate,55,4,0.6873513897869934,1.0398482374739304,26.440889431213726,1
surrogate,56,5,0.6384490775156312,0.9297837335430285,30.019929730423858,1
surrogate,57,6,0.5366275808682369,0.8225701679584831,25.676077814671448,1
surrogate,58,4,0.7079918726286831,1.136207882234701,24.49653689142886,1
surrogate,59,5,0.5102795338765372,0.9009792223187927,27.02863656119376,1
surrogate,60,4,0.622695151233255,1.0303431516356438,30.160424696360867,1
surrogate,61,5,0.5681156847326038,1.0231077099064556,28.31128618052206,1
surrogate,62,4,0.5380813336708833,0.8241526293764538,26.14003568777214,1
surrogate,63,4,0.4605403542601154,0.832728156433195,27.75065456476274,1
surrogate,64,5,0.6232354560693009,1.0403715843335268,27.419960493494532,1
surrogate,65,4,0.6139629908628876,1.0981695401032094,25.621802027467897,1
surrogate,66,4,0.5767957651228084,1.0961728121973737,24.28140053888666,1
surrogate,67,4,0.5117226794741723,0.9177561072761885,28.734131179604596,1
surrogate,68,4,0.5167244981787509,0.9496124700021367,28.467493573422207,1
surrogate,69,5,0.45754698130852606,1.2589122560687573,26.938955698589734,1
surrogate,70,4,0.5599567272265222,0.9442039449693462,26.828451649307993,1
surrogate,71,4,0.6156764418960824,0.9977222706052504,26.62685096625164,1
surrogate,72,5,0.5531810978330672,1.0055291354892513,26.31970530502455,1
surrogate,73,4,0.4220379433718406,0.8848471726983781,28.52028569576329,1
surrogate,74,4,0.5600956317069341,0.9984885432568931,26.997021029939138,1
surrogate,75,4,0.6187708895233546,1.0495981686325464,27.767285933959233,1
surrogate,76,4,0.5341783335653235,0.8762752343051147,29.35362387279841,1
surrogate,77,4,0.6863043081659838,1.0682683424306048,25.646567312724116,1
surrogate,78,3,0.6848131458424657,0.8625338380305576,23.88079536652393,1
surrogate,79,4,0.48974122230562833,0.8581307759338992,31.780581411068844,1
surrogate,80,4,0.4727140066780342,0.8025161462269198,26.21174912555984,1
surrogate,81,5,0.47164596243432744,0.7816191875112689,31.54631672810498,1
surrogate,82,5,0.6606666940177852,0.9537875755954311,25.91691578205881,1
surrogate,83,4,0.5476138229094474,0.914474740422859,26.95610386621221,1
surrogate,84,6,0.4471461699097043,1.1344766563513786,29.37884579164702,1
surrogate,85,4,0.5379257842403056,0.9168997370499042,28.005549692879438,1
surrogate,86,4,0.5610337031549228,1.0998282476743197,28.912494608406277,1
surrogate,87,4,0.6977308047492431,0.8941825787783014,23.051120604887238,1
surrogate,88,5,0.4910005811430114,0.909461374409228,25.976551459571162,1
surrogate,89,4,0.5236773002600725,0.8211674375549223,22.141585935851683,1
surrogate,90,5,0.4438650845028855,0.9382025351068014,24.950886359578583,1
surrogate,91,4,0.7428345184255349,1.1382298371505875,21.751350180948133,1
surrogate,92,5,0.5987642370131497,1.0789591487763306,26.000940490481966,1
surrogate,93,6,0.6679749959244209,1.1735584425531027,24.78617853263165,1
surrogate,94,5,0.5886728849522271,1.0423219052797172,23.871371773818517,1
surrogate,95,5,0.35891387323720864,0.7046044267396068,26.69128178392734,1
surrogate,96,4,0.5599649581446009,0.9789725671557465,28.950932344391884,1
surrogate,97,4,0.6528938739900456,1.016816868971452,23.927776602296408,1
surrogate,98,4,0.5131659778303438,0.7979638962617795,30.212175168063713,1
surrogate,99,6,0.5692483493397008,1.0428864528033643,26.58304524823438,1
