IMF,energy,median_freq,rank,p_val,model,H0,Om,Ol,A_acc,n_acc,gamma_c,epsilon_M
1,2.814308383,1667.333994,2,0.0696517,PBH,70,0.3,0.7,0,0,0,0
2,0.8928386941,821.3930573,6,0.0696517,PBH,70,0.3,0.7,0,0,0,0
3,1.163177508,368.1078916,5,0.0696517,PBH,70,0.3,0.7,0,0,0,0
4,1.45507065,161.7595285,4,0.0696517,PBH,70,0.3,0.7,0,0,0,0
5,4.833293925,62.44315105,1,0.0696517,PBH,70,0.3,0.7,0,0,0,0
6,2.277945731,34.80702699,3,0.0696517,PBH,70,0.3,0.7,0,0,0,0
7,0.3606313079,11.74583948,7,0.0696517,PBH,70,0.3,0.7,0,0,0,0
8,0.210879884,3.971853613,9,0.0696517,PBH,70,0.3,0.7,0,0,0,0
9,0.2130457118,1.147750612,8,0.0696517,PBH,70,0.3,0.7,0,0,0,0
