run_fp,seed,runtime_s,log_path,summary_path,env_HHT_SANITY,env_HHT_CALENDAR,env_TRIALS,env_N_SPIN,env_N_PERM,env_N_SHIFT,env_N_IAAFT,env_BLOCK_LEN,E2_raw,E2_det,p_raw,p_det,PLV_raw_lambda,PLV_det_lambda,PLV_phase_stab,PLV_p_raw,PLV_p_det,PLV_p_det_spin,PLV_p_det_shift,PLV_p_det_block_lambda,PLV_spin_med_det,PLV_spin_q95_det,Rayleigh_p_raw,Rayleigh_p_det,amp_ecl,wald_F,wald_p,phi_ecl_raw_deg,se_phi_raw_deg,E23_raw_iaaft,p23_raw_iaaft,E23_det_iaaft,p23_det_iaaft,E23_raw_block,p23_raw_block,E23_det_block,p23_det_block,E23_raw_ar1,p23_raw_ar1,E23_det_ar1,p23_det_ar1,amp_ecl_det,wald_F_det,wald_p_det,phi_ecl_det_deg,se_phi_det_deg,phi_det_gal_l_deg,phi_det_gal_b_deg,runL_best_center,runL_best_amp,runL_best_p,phi_det_boot_deg,phi_det_ci68_lo,phi_det_ci68_hi,n_perm,n_spin,n_shift,n_iaaft,BLOCK_LEN,trials,noise,data_raw,data_det,provenance_hash,calendar,schema_version,run_timestamp,runningL_obs_amp_det,runningL_obs_L_deg_det,runningL_spin_global_p_det,runningL_spin_q50_det,runningL_spin_q95_det
170bae473f,3,20252.06182575226,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed3_FP170bae473f_20260114_002754.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.022895439898292833,0.027216622269507117,1.0,1.0,0.11839636295197407,0.10820171115784302,0.9487751894524473,0.03689815509224539,0.08379581020948952,0.22138930534732634,0.6094390560943905,0.528047195280472,0.07623860681978933,0.15248418870131386,0.004540482900545233,0.011075122516833371,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.09591602852988897,0.0012484394506866417,0.11079048764695665,0.0012484394506866417,0.11671671439069932,0.9962546816479401,0.11926287372777111,0.9975031210986267,0.10174349999741762,0.9925093632958801,0.0990957017890706,0.9962546816479401,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,47.43456859201874,25.003228644863917,110.4182090506989,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-13T13:27:54Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
170bae473f,5,20307.29588508606,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed5_FP170bae473f_20260114_060621.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.024884874729962453,0.02813510585707598,1.0,1.0,0.10063870325365182,0.11488434444861545,0.9426144983644067,0.1534923253837308,0.04439778011099445,0.2098950524737631,0.5106489351064893,0.46235376462353767,0.07854691186824311,0.157653744178806,0.020363644816086646,0.006230081631569512,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.10713242737881172,0.0012484394506866417,0.10417347281202835,0.0012484394506866417,0.10431033671511872,0.9987515605493134,0.1018240750338582,0.9962546816479401,0.09461447896147675,0.9962546816479401,0.11289440761670606,0.9950062421972534,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,46.05187041290369,24.070292737343912,104.68053816308425,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-13T19:06:21Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
170bae473f,7,20228.544657707214,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed7_FP170bae473f_20260114_114330.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.02528208461043357,0.02579147608505757,1.0,1.0,0.10710726217516253,0.11317722300997983,0.9739719223898003,0.08964551772411379,0.05744712764361782,0.22088955522238882,0.5277472252774722,0.47685231476852313,0.07792947731714446,0.1542098169751057,0.012128989204379659,0.007240401888163609,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.10476164554643194,0.0012484394506866417,0.10018941141247711,0.0012484394506866417,0.10857951958495748,0.9937578027465668,0.10132246300081507,0.9950062421972534,0.1105595916531247,0.9937578027465668,0.10481015628497373,0.9975031210986267,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,46.44300805149762,25.36102810423523,115.4371147903902,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-14T00:43:30Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
170bae473f,9,20178.500904083252,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed9_FP170bae473f_20260114_171948.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.027221568405232013,0.023748370688155433,1.0,1.0,0.11029453810239236,0.0782857884707163,0.9295327148891965,0.071996400179991,0.43377831108444576,0.4337831084457771,0.8163183681631837,0.7418258174182581,0.07110763509688456,0.15434554661368682,0.009283903965638473,0.09499330523911328,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.10696313179551106,0.0012484394506866417,0.1155569591816359,0.0012484394506866417,0.10099147384598078,0.9962546816479401,0.11036320957146914,0.9975031210986267,0.0964176843305195,0.9937578027465668,0.09629922255747939,0.9950062421972534,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,48.094397694138486,26.28768068842271,107.78479452799357,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-14T06:19:48Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
170bae473f,11,20167.187211990356,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed11_FP170bae473f_20260114_225555.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.025085961489726097,0.027777521745054417,1.0,1.0,0.11900844110378393,0.09757887241272696,0.9674502450402659,0.040697965101744914,0.15479226038698066,0.3003498250874563,0.6983301669833016,0.6182381761823817,0.07432123758863111,0.1594694532626069,0.004292674058746455,0.02572585299940044,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.10436804314148282,0.0012484394506866417,0.11123776588939155,0.0012484394506866417,0.10614972424845305,0.9975031210986267,0.11305005465922073,0.9950062421972534,0.10548185341266376,0.9962546816479401,0.10479957654620449,0.9950062421972534,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,44.46646960742712,24.438900694009394,112.51087005578589,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-14T11:55:55Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
170bae473f,13,20225.243144989014,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed13_FP170bae473f_20260115_043301.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.022822306689408697,0.029492959793811474,1.0,1.0,0.10937314857925694,0.10455134189473916,0.9308370869372545,0.07069646517674116,0.12574371281435928,0.2493753123438281,0.6671332866713329,0.5706429357064293,0.07134580322273956,0.15770807735987544,0.010037961944061936,0.01494287303187616,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.10292568637673995,0.0012484394506866417,0.09360510518116251,0.0012484394506866417,0.1108643804213162,0.9950062421972534,0.10433109812978669,0.9987515605493134,0.11232754234168349,0.9950062421972534,0.09377977028359236,0.9962546816479401,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,45.9278871635665,23.30657806721062,106.61315374838323,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-14T17:33:01Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
170bae473f,15,20182.973892211914,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed15_FP170bae473f_20260115_100924.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.025093206370763784,0.026307675321522412,1.0,1.0,0.09768178692875894,0.11141029804243428,0.9447891579666966,0.15084245787710615,0.06264686765661717,0.2273863068465767,0.5374462553744626,0.47335266473352666,0.07760844910440162,0.1585677003489333,0.02552741736029032,0.008438701698230373,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.10498933784269988,0.0012484394506866417,0.0963600913726488,0.0012484394506866417,0.09688023276372279,0.9987515605493134,0.11940829767851402,0.9912609238451935,0.0903689377156707,0.9962546816479401,0.10594625460726939,0.9937578027465668,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,45.587159495531196,25.82741675167081,110.517326203629,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-14T23:09:24Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
170bae473f,17,20229.736389875412,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed17_FP170bae473f_20260115_154633.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.02581036613869115,0.026759853160942232,1.0,1.0,0.09304529476234452,0.0945658204041978,0.9534126870156455,0.22828858557072146,0.18429078546072697,0.32033983008495753,0.7274272572742726,0.6416358364163584,0.07398660835836056,0.1562921719112255,0.03588906507604166,0.03215440771395033,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.09923816019233321,0.0012484394506866417,0.1019302554281869,0.0012484394506866417,0.09928538210233934,0.9987515605493134,0.10785689710751456,0.9950062421972534,0.09666793606671495,0.9975031210986267,0.09164815576537691,0.9937578027465668,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,47.57065363793692,24.93136250250001,110.14651195782747,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-15T04:46:33Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
170bae473f,19,20102.95598912239,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed19_FP170bae473f_20260115_212136.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.024709607135854593,0.02739009759556184,1.0,1.0,0.13755490609389848,0.09533771211748465,0.9267078154550998,0.008249587520623968,0.1944902754862257,0.29535232383808097,0.7230276972302769,0.642035796420358,0.07161113938017302,0.15988420589682714,0.0006816298898518043,0.03038897447306834,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.10550745597117805,0.0012484394506866417,0.09477432616935953,0.0012484394506866417,0.09737231164831403,0.9975031210986267,0.10217096547453983,0.9975031210986267,0.10877297309793045,0.9950062421972534,0.09529627688902942,0.9937578027465668,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,45.86905081916041,25.821981869119163,101.3882957620425,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-15T10:21:36Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
170bae473f,21,20301.230710029602,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/seedgrid_runs/hht_run_seed21_FP170bae473f_20260116_025958.log,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/hht_seasonal_robustness_summary_v4.csv,0,solar,200,2000,20000,10000,800,32,0.022750606899401858,0.024882389791192207,1.0,1.0,0.08802125825405596,0.10551899162849447,0.9570949310625922,0.3009849507524624,0.10744462776861156,0.2543728135932034,0.6171382861713829,0.5472452754724527,0.07637526770401923,0.15640904807028255,0.050944246667256665,0.01381625867122904,0.07907051197430282,0.5056514046144721,0.6033169460832852,33.45915089113453,55.086939990096354,0.10912969629738899,0.0012484394506866417,0.11607961735340007,0.0012484394506866417,0.10447734524831846,0.9950062421972534,0.10180542149564507,0.9937578027465668,0.10575592696785586,0.9925093632958801,0.10964976768372797,0.9925093632958801,0.6494741106220926,1.332872353765099,0.2643393123298152,46.79999452704258,33.987690244769425,161.34348615584423,-36.45362888742166,0.17621925640472935,1.0630654300907871,0.00035760011107192647,46.26592412769195,24.29477174206917,115.65222278619004,20000,2000,10000,800,32,200,0.2,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_enriched.csv,/Users/boyde/.spyder-py3/plamb_runs/hht_bridge/FR_log1pz_hht_export_v4/sn_residuals_detrended.csv,ef9860acdf808199d04f0b2a817a4f50e46006ec4c26241ba5b370a93c3f5540,solar,4,2026-01-15T15:59:58Z,61.64154354328165,232.00000000000003,0.3568215892053973,61.1894394356781,62.45699921883317
