L,energy_focus
0.001219256404729373,0.21962123844143502
0.0018100050953202673,0.12816528751064904
0.002400753785911162,0.08971303250285305
0.002991502476502056,0.13428898203438136
0.0035822511670929504,0.06695961154169595
0.004172999857683844,0.017485283778285295
0.00476374854827474,0.06605017214408601
0.005354497238865634,0.027013424024171662
0.005945245929456527,0.01030528527588699
0.006535994620047423,0.045593184017059134
0.007126743310638317,0.06289369367700809
0.007717492001229211,0.05229093194783325
0.008308240691820106,0.042936376484389666
0.008898989382411,0.04962456020287587
0.009489738073001894,0.06041832115413136
0.01008048676359279,0.058263876219200095
0.010671235454183683,0.04487989847135809
0.011261984144774577,0.03703078818799592
0.011852732835365472,0.033985083777158136
0.012443481525956366,0.028339396145172648
0.01303423021654726,0.030043809835186966
0.013624978907138156,0.028269967784524917
0.01421572759772905,0.022097360629250003
0.014806476288319943,0.02479025587859956
0.015397224978910839,0.017495485198243475
0.01598797366950173,0.009715485073576143
0.016578722360092626,0.013880907799385559
0.017169471050683522,0.016799385756471778
0.017760219741274414,0.00894975167453216
0.01835096843186531,0.006526686975849823
0.018941717122456205,0.021550281864464435
0.019532465813047097,0.012564872687654152
0.020123214503637993,0.014996411548753577
0.02071396319422889,0.023357440159753735
0.02130471188481978,0.012566479383859512
0.021895460575410676,0.017841847901052726
0.02248620926600157,0.01677711725426198
0.023076957956592464,0.0116630704740828
0.02366770664718336,0.011701279123774179
0.024258455337774255,0.013392252661530412
0.024849204028365147,0.014738237320900616
0.025439952718956042,0.015010669794773775
0.026030701409546938,0.013555134923124981
0.02662145010013783,0.010090268776652391
0.027212198790728725,0.02067652294925219
0.02780294748131962,0.010261821184524842
0.028393696171910513,0.02058161555690948
0.02898444486250141,0.031083398822235937
0.029575193553092304,0.01676299815787868
0.030165942243683196,0.014998622060779208
0.030756690934274092,0.029413067512637666
0.031347439624864984,0.013897375233007662
0.031938188315455876,0.008197550434895676
0.03252893700604677,0.008522378971678428
0.03311968569663767,0.007242742983305146
0.03371043438722856,0.008311656667729435
0.03430118307781945,0.011489846078398296
0.03489193176841035,0.004194391278809968
0.03548268045900124,0.0068679981748244814
0.036073429149592134,0.00428920746389925
0.03666417784018303,0.0027957854715688754
0.037254926530773926,0.0028713080446136612
0.03784567522136482,0.0016119744656778617
0.03843642391195572,0.001709665112192261
0.03902717260254661,0.0013702514890134492
0.0396179212931375,0.0007538767762147081
0.0402086699837284,0.0016322462593096126
0.04079941867431929,0.001032215756517973
0.041390167364910184,0.002232224459119314
0.04198091605550108,0.0010185810286657763
0.042571664746091975,0.0024730167899887504
0.04316241343668287,0.0028234403267976826
0.043753162127273766,0.0006336312503136462
0.04434391081786466,0.0028948047000951545
0.04493465950845555,0.0029632251193384487
0.04552540819904645,0.003970393003783311
0.04611615688963734,0.002775750030516636
0.04670690558022823,0.00496221967089876
0.04729765427081913,0.002618960630732915
0.047888402961410025,0.0036896733868204126
0.04847915165200092,0.004952111184927959
0.049069900342591816,0.001992788427269513
0.04966064903318271,0.00255559391808652
0.0502513977237736,0.0005792922874689159
0.0508421464143645,0.0055020646141168425
0.05143289510495539,0.003390574029525589
0.05202364379554628,0.006660492226699233
0.05261439248613718,0.014526722838046163
0.053205141176728074,0.005058228083171605
0.053795889867318966,0.017613054836105528
0.054386638557909865,0.01008965732832001
0.05497738724850076,0.004124541208945706
0.05556813593909165,0.03127627978006436
0.05615888462968255,0.034501336466821485
0.05674963332027344,0.007672694082177651
0.05734038201086433,0.021558194694750343
0.05793113070145523,0.04593911314214877
0.058521879392046124,0.024992352895921808
0.059112628082637016,0.003252032527534404
0.05970337677322791,0.012683742956915205
0.06029412546381881,0.027372424269168374
0.0608848741544097,0.016632530913004404
0.06147562284500059,0.003983975679554911
0.06206637153559149,0.008494050921479967
0.06265712022618239,0.013414293595587073
