window,IMF,r_1_over_k,p_1_over_k
hht_sn_FRPBH_z0.02_1.9,2,0.0577324428183758,0.0612346913271682
hht_sn_FRPBH_z0.02_1.9,3,-0.0714567289951049,0.979005248687828
hht_sn_FRPBH_z0.05_1.5,2,-0.050935106458932,0.9142714321419644
hht_sn_FRPBH_z0.05_1.5,3,-0.0164489605595545,0.6763309172706823
