IMF,energy,median_freq,rank,p_val,model,H0,Om,Ol,A_acc,n_acc,gamma_c,epsilon_M
1,2.911366656,1681.093163,2,0.134328,PBH,70,0.3,0.7,0,0,0,0
2,0.9206345682,796.552085,6,0.134328,PBH,70,0.3,0.7,0,0,0,0
3,1.095753078,374.2900455,5,0.134328,PBH,70,0.3,0.7,0,0,0,0
4,1.339901004,166.494623,4,0.134328,PBH,70,0.3,0.7,0,0,0,0
5,4.652418929,65.00427354,1,0.134328,PBH,70,0.3,0.7,0,0,0,0
6,2.218786252,34.05648416,3,0.134328,PBH,70,0.3,0.7,0,0,0,0
7,0.2785868087,12.86714413,8,0.134328,PBH,70,0.3,0.7,0,0,0,0
8,0.3114000105,3.255826383,7,0.134328,PBH,70,0.3,0.7,0,0,0,0
9,0.2744594078,3.236918233,9,0.134328,PBH,70,0.3,0.7,0,0,0,0
