config,nside,fwhm,bmask,R0,A_eff,frac,R2,rho,perm_p,d_FR,d_KdS
SM_grid_n64_f4.0_b30,64,4.0,30.0,0.7564279820783845,0.0268005537240028,0.035430410242578265,0.4388420901255513,0.6624515756834998,0.87125,47.93203283209459,35.11536929031246
SM_grid_n64_f8.0_b20,64,8.0,20.0,0.32048642487322226,0.006846718723994949,0.021363521798788726,0.5332164697534658,0.7302167279331976,0.8925,48.37627297145514,36.29868414369855
SM_grid_n128_f8.0_b20,128,8.0,20.0,0.19019742054988878,0.0030368354406151363,0.015966754080235145,0.8081245043940649,0.8989574541623566,0.87125,49.840458436523306,34.26142962400192
