nside,frac,R2,l,b
32,0.030214479910346988,0.15490648494181747,167.51631364500102,
64,0.021363521798788726,0.5332164697534658,160.8067194592261,
128,0.015966754080235145,0.8081245043940649,159.42478155853507,
256,0.019030494725556138,0.5826708404973213,158.64875094193573,
