zmin,zmax,l,b,R0,A_eff,frac,cond
0.1,0.4,161.63394215221325,-49.686609391595084,0.37050292295009446,0.007696039735378746,0.020771873199001395,257.3383288504572
0.15,0.45,157.94190130675827,-48.20065538305329,0.3368184060948508,0.009182579570794876,0.02726270122010193,261.2464704939417
0.2,0.5,152.3581598683018,-39.985244117897466,0.3001770405034323,0.010647562647071151,0.035470942844975525,258.48667474230996
0.25,0.55,151.42806879412848,-39.9009157598722,0.28522833313655643,0.01138620100051109,0.03991960011581252,258.48667474230996
0.3,0.6,154.36687061332634,-45.51888918430494,0.2547124540992894,0.0049235450374125675,0.019329816654718116,256.0069081097198
0.35,0.65,157.5938036009913,-54.20036133948904,0.21885741399287906,0.008059266790461934,0.03682428044555145,263.0701849643871
0.4,0.7,146.5584514457655,-51.31203800185678,0.1644743569988665,0.0052073343175467485,0.031660463141878314,254.97418194609722
0.45,0.75,161.28168076659313,-48.54710443724497,0.12569004912135381,0.000417375895212322,0.0033206757267581727,262.8140872847581
0.5,0.8,160.95816707900167,-48.9236862521191,0.12157924975126558,0.0004509081654294839,0.003708759236070135,262.8140872847581
0.55,0.85,159.457094539367,-49.712849408209316,0.11320179298875427,0.0008386867976135171,0.007408776623324634,262.8140872847581
0.6,0.9,156.48389258683883,-42.879179398785304,0.07143405418720124,0.00015538927628413196,0.0021752828962628428,234.77015030053727
0.65,0.95,155.59752264086245,-40.71288432535947,0.06656818810099686,0.00018246865356422843,0.00274107886619038,234.77015030053727
0.7,1.0,188.56965616348398,-70.88177798289377,0.05292767592106003,0.00048045935821662,0.009077658330080658,236.56503255068415
