group,template,status,finite_rows_before_joint_mask,finite_fraction,raw_std_before_joint_mask,joint_rows,centre,scale
colour,w1_w2,omitted_exact_affine_redundancy_with_w1_and_w2,46793,1.0,0.14382733174622345,,,
angular_main,n_x,retained,46793,1.0,0.4082259880740429,46687,-0.2536474567929829,0.4080468837282856
angular_main,n_y,retained,46793,1.0,0.3798611867909934,46687,0.25300565863344693,0.3797654053162661
angular_main,n_z,retained,46793,1.0,0.6777183020151566,46687,0.7105003545660183,0.6779679335787335
redshift_and_scalar_main,zspec_z,retained,46793,1.0,0.9999999999999998,46687,2.931520154578668e-05,1.000112499785089
redshift_and_scalar_main,zspec_z2,retained,46793,1.0,0.9147855899843155,46687,0.7289015611524226,0.914859762801717
redshift_and_scalar_main,zspec_z3,retained,46793,1.0,2.0097563984693365,46687,2.5192928441186896e-14,2.0101566705227203
redshift_and_scalar_main,scalar_main,retained,46793,1.0,1.0,46687,-0.00022263321997657883,0.9999600967086838
dust,ebv_sfd,retained,46793,1.0,0.026159973683611795,46687,0.02702954817806122,0.026154994474278537
dust,sfd_log1p,retained,46793,1.0,0.02464017160697892,46687,0.02667070188410264,0.02463599200218931
dust,sfd_sq,retained,46793,1.0,0.003695010330128453,46687,0.0007305964747101326,0.003693648942829845
depth,selection_T,retained,46793,1.0,0.39425440812956897,46687,0.8621038770944937,0.3943274456742028
depth,random_density_log1p,retained,46793,1.0,0.1102872962802614,46687,5.407171771460119,0.11028746739428082
depth,wise_w1_medcov_log1p,retained,46793,1.0,0.30572477404627413,46687,3.4086032239227486,0.3058033373690977
depth,wise_w2_medcov_log1p,retained,46793,1.0,0.31684161208585804,46687,3.400930679433611,0.31693557651670135
depth,wise_w1_lowcov_log1p,retained,46793,1.0,0.004679498579318556,46687,0.002798081715648648,0.004678045613388971
depth,wise_w2_lowcov_log1p,retained,46793,1.0,0.09129150020558419,46687,0.001561779786796688,0.09139480074784925
depth,gaia_dr3_density_hpx4_log1p,retained,46793,1.0,0.5844371879547982,46687,4.128995516405692,0.5844111788907235
gaia_scanning_geometry,gaia_scan_count_log1p_dr3,retained,46793,1.0,0.37860615313262724,46687,3.8918202981106265,0.37850638251115243
gaia_scanning_geometry,gaia_scan_angle_cos2_mean_dr3,retained,46793,1.0,0.2240070879605049,46687,0.15753398543968292,0.22400741830948706
gaia_scanning_geometry,gaia_scan_angle_sin2_mean_dr3,retained,46793,1.0,0.2550656080293585,46687,-0.035914416614496986,0.2549923731499301
gaia_scanning_geometry,gaia_scan_angle_resultant_dr3,retained,46793,1.0,0.17831431038608828,46687,0.3031600100468129,0.17827719565558123
colour,bp_rp,retained,46793,1.0,0.1685385666040495,46687,0.5792636871337891,0.1685154314490621
colour,bp_rp_x_w1_w2,retained,46793,1.0,1.0604454002950847,46687,0.014419343638967892,1.0602977257279713
quaia_quality,zerr,retained,46793,1.0,0.12032471551442987,46687,0.08985409347534179,0.12030850976714699
quaia_quality,g,retained,46793,1.0,0.6139253332628971,46687,19.317859649658203,0.6139155650801101
quaia_quality,w1,retained,46793,1.0,0.6012345776794297,46687,15.563413,0.60116641815673
quaia_quality,w2,retained,46793,1.0,0.6507094497685895,46687,14.350205,0.6506142859951942
quaia_quality,pmra_error,retained,46793,1.0,0.14860684386471987,46687,0.2873411476612091,0.14863717871152687
quaia_quality,pmdec_error,retained,46793,1.0,0.12359690024398003,46687,0.26173660159111023,0.12361204172989718
dr16q_quality,z_conf,retained,46793,1.0,1.341098034634241,46687,0.0,1.3407769596365988
dr16q_quality,zwarning_nonzero,retained,46793,1.0,0.4938628363811429,46687,0.0,0.4937256311098612
dr16q_quality,sn_median_all,retained,46793,1.0,5.677413787238624,46687,9.945601463317871,5.677460583426643
dr16q_quality,platesn2,retained,46793,1.0,5.619926080236458,46687,15.329999923706055,5.616406331974805
dr16q_quality,psfmagerr_i,retained,46694,0.9978842989336012,0.11599878956711475,46687,0.022762270644307137,0.11597081037678209
dr16q_quality,w1_mag_err,retained,46691,0.9978201867800739,0.015761853054302888,46687,0.024196799844503403,0.015761514025674002
dr16q_quality,w2_mag_err,retained,46691,0.9978201867800739,0.019896095779907745,46687,0.027636120095849037,0.019886290090199172
dr16q_quality,w1_chi2,retained,46694,0.9978842989336012,107.38447113125102,46687,1.959150791168213,68.72655547059202
dr16q_quality,w2_chi2,retained,46694,0.9978842989336012,28.51505430493453,46687,1.5918911695480347,17.844372877688265
dr16q_quality,w1_flux_snr,retained,46793,1.0,51.95017680693206,46687,44.871063232421875,51.92586745349303
dr16q_quality,w2_flux_snr,retained,46793,1.0,50.14903697230993,46687,39.28684997558594,50.13167314154072
