group,template,status,finite_rows_before_joint_mask,raw_std_before_joint_mask,joint_rows,centre,scale
dust,ebv_sfd,retained,185739,0.05366918911351644,185739,0.03889792410729571,0.05366918911351644
dust,sfd_log1p,retained,185739,0.046661626376535974,185739,0.03816046292823256,0.046661626376535974
dust,sfd_sq,retained,185739,0.03820404516046249,185739,0.0015130484998569366,0.03820404516046249
depth,selection_T,retained,185739,0.3728474068030601,185739,0.7929088035895038,0.3728474068030601
depth,random_density_log1p,retained,185739,0.22923765048761136,185739,5.365976015021851,0.22923765048761136
depth,wise_w1_medcov_log1p,retained,185739,0.38162220801104807,185739,3.4391352210025476,0.38162220801104807
depth,wise_w2_medcov_log1p,retained,185739,0.3935530074943133,185739,3.43040013347025,0.3935530074943133
depth,wise_w1_lowcov_log1p,retained,185739,0.005446355478685835,185739,0.0036194419103076836,0.005446355478685835
depth,wise_w2_lowcov_log1p,retained,185739,0.06840572149933542,185739,0.0020608749376670584,0.06840572149933542
depth,gaia_dr3_density_hpx4_log1p,retained,185739,0.7948047641044361,185739,4.529079847223581,0.7948047641044361
gaia_scanning_geometry,gaia_scan_count_log1p_dr3,retained,185739,0.37250374916580004,185739,3.871201010907891,0.37250374916580004
gaia_scanning_geometry,gaia_scan_angle_cos2_mean_dr3,retained,185739,0.223937826699054,185739,0.13081531602920674,0.223937826699054
gaia_scanning_geometry,gaia_scan_angle_sin2_mean_dr3,retained,185739,0.2313745330420252,185739,0.006490303761339589,0.2313745330420252
gaia_scanning_geometry,gaia_scan_angle_resultant_dr3,retained,185739,0.17564947293143948,185739,0.26953531036603917,0.17564947293143948
colour,w1_w2_z,retained,185739,1.0,185739,0.0,1.0
colour,bp_rp_z,retained,185739,1.0,185739,0.0,1.0
colour,bp_rp_x_w1_w2_z,retained,185739,1.0,185739,0.0,1.0
catalogue_quality,zerr,retained,185739,0.1260151922265026,185739,0.09251158742904664,0.1260151922265026
catalogue_quality,g,retained,185739,0.5804154660463686,185739,19.479578018188477,0.5804154660463686
catalogue_quality,w1,retained,185739,0.572185269620317,185739,15.653514,0.572185269620317
catalogue_quality,w2,retained,185739,0.6212945756559942,185739,14.452747,0.6212945756559942
catalogue_quality,pmra_error,retained,185739,0.15485894032565467,185739,0.31577229499816895,0.15485894032565467
catalogue_quality,pmdec_error,retained,185739,0.13108659056619934,185739,0.2937456965446472,0.13108659056619934
